Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-5 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,219133.52800000002,15762.641999999998,,80869.5528,,,,98561.64,68897.08,35579.36,1316.5786,,7720.395,23591.0526,2749.4523,,,,,,,,,,,,,,,,9100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,244,254,,,,146,,,21.9,,,,,12.4,692.5,29.7,167.2,37.4,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,9.7,5,,,,,,,,,,,,,,,,,,,,,,,,,210227,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-7 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,219787.93700000003,15403.037999999999,,81928.05480000001,,,,98095.26,68468.26,34252.672,1161.687,,6890.245,23442.6812,2574.8839,,,,,,,,,,,,,,,,15100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,254,270,,,,134,,,23.1,,,,,11.3,740.7,29.1,149.6,34.5,,,,,,,,,,,,,403,25.89,55.17,7.22,30.67,6.59,2.21,6.03,0.83,4.61,0.87,2.2,0.29,1.77,0.25,25.89,55.17,,,,,,,,,5.3,,10.3,4.8,0.512934,,,0.703349,,,,,,,,,,,,,,,,,,,,,210228,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-10 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,217123.55750000002,14683.83,,84256.7592,,,,97628.88,68396.79000000001,28282.576,1239.1328,,6309.14,21662.2244,2269.3892,,,,,,,,,,,,,,,,24200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,260,270,,,,89,,,22.6,,,,,8.1,639,29.6,149.8,33.8,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,9.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,210229,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-13 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,212402.464,14204.358,,88067.36640000001,,,,95296.98,71112.65,29790.176,1316.5786,,6973.259999999999,20771.996,4015.0732000000003,,,,,,,,,,,,,,,,26900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,261,218,,,,86,,,23.3,,,,,9.2,573.8,33.1,141.3,25.4,,,,,,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,9.2,5,,,,,,,,,,,,,,,,,,,,,,,,,210230,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-15 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,217637.73600000003,16781.519999999997,,84203.83410000001,,,,94830.59999999999,54603.079999999994,26352.847999999998,1239.1328,,9214.665,22700.8242,2051.1787,,,,,,,,,,,,,,,,44500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,246,228,,,,96,,,23.9,,,,,17.7,555.5,34.4,183.7,36.4,,,,,,,,,,,,,442,27.66,59.93,7.87,34.07,7.73,2.46,7.3,1.03,5.69,1.06,2.71,0.35,2.09,0.3,4.86,1.24,,,,,,,,,3.4,,9.2,5.3,0.512842,,,0.703579,,,,,,,,,,,,,,,,,,,,,210231,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-18 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,213617.79500000004,14923.566,,90448.99590000001,,,,102292.68000000001,54531.61,22915.519999999997,1316.5786,,6060.095,21662.2244,1483.8314,,,,,,,,,,,,,,,,49800.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,254,285,,,,111,,,23.4,,,,,8.6,443,30.3,131.2,18.8,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,7.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,210232,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-22 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,212355.72050000002,17620.595999999998,,79281.79980000001,,,,93664.65000000001,60963.909999999996,37569.392,1161.687,,8799.59,20326.8818,2094.8208,,,,,,,,,,,,,,,,39800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,267,314,,,,173,,,22.7,,,,,13.2,679.3,28.1,166.9,38.6,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,9.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,210233,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-25 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,208289.03600000002,15043.433999999997,,82510.23090000001,,,,98017.53,69468.84000000001,38232.736,1471.4702,,9546.724999999999,18398.0536,2531.2418,,,,,,,,,,,,,,,,26900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,238,304,,,,228,,,21.1,,,,,14.3,744,32.9,142.9,35.5,,,,,,,,,,,,,590,34.43,60.55,7.66,31.68,7.17,2.33,6.54,0.94,5.26,0.99,2.6,0.34,1.97,0.29,3.88,1.66,,,,,,,,,3.4,,11.3,4.7,,,,,,,,,,,,,,,,,,,,,,,,,210234,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-29 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,217777.96650000004,14444.094,,78487.92330000001,,,,93975.56999999999,70969.70999999999,42815.84,1239.1328,,7969.44,21736.4101,2094.8208,,,,,,,,,,,,,,,,15100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,250,326,,,,169,,,21.8,,,,,13.9,606.3,28.9,153.4,29.6,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,10.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,210235,
[7934],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - CENOZOIC / LEBANON / NORTHERN LEBANON,AKKAR REGION,34.9,34.95,36.2,36.4,SUBAERIAL,,,s PN-32 [7934],BASALT [7934],,,,PLIOCENE [7934],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7934] ,216422.405,13724.885999999999,,80816.6277,,,,88301.28,79045.82,31961.119999999995,2091.0366,,7139.29,23442.6812,2269.3892,,,,,,,,,,,,,,,,26800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,237,218,,,,85,,,21.9,,,,,11.3,680.4,28.1,142.8,28.7,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,210236,
