Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-1 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,203053.764,16182.18,,75841.6683,,,,83482.02,74114.39,42876.144,1703.8076,,9961.8,13501.7974,2705.8102,,,,,,,,,,,,,,,,58700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,213,401,,,,284,,,19,,,,,17.1,967,29.7,172,45.4,,,,,,,,,,,,,861,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,11.6,3.9,,,,,,,,,,,,,,,,,,,,,,,,,210170,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-4 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,204689.78650000002,15343.104,,72295.6866,,,,96462.93000000001,66610.04000000001,58615.488,1471.4702,,9795.769999999999,22033.1529,2574.8839,,,,,,,,,,,,,,,,18000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,200,363,,,,297,,,19.1,,,,,19.2,624,27.2,172,42.1,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,11.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,210171,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-6 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,220161.885,14623.895999999999,,77270.64600000001,,,,75242.64,69325.9,40886.112,1858.6992,,6890.245,21662.2244,1527.4734999999998,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,239,287,,,,135,,,21.2,,,,,17.2,411,27.9,143,26.7,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,8.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,,210172,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-9 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,194406.21650000004,22115.645999999997,,76370.91930000001,,,,97939.8,69325.9,45167.695999999996,1471.4702,,5562.005,32567.522299999997,3229.5153999999998,,,,,,,,,,,,,,,,32100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,276,151,,,,115,,,18.6,,,,,4.8,826,29.5,247,65.5,,,,,,,,,,,,,683,37.43,77.49,9.46,38.61,8.24,2.63,7.23,0.99,5.35,0.97,2.46,0.3,1.88,0.26,5.92,3.36,,,,,,,,,6.5,,13.5,5.2,0.512886,,,0.703669,,,,,,,,,,,,,,,,,,,,,210173,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-11 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,216843.0965,15043.433999999997,,73512.9639,,,,82704.72,70040.6,52343.871999999996,1239.1328,,7388.335,20994.5531,1745.6840000000002,,,,,,,,,,,,,,,,27000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,246,328,,,,241,,,20.6,,,,,17.4,468,27.2,155,32.1,,,,,,,,,,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,9.7,6.1,,,,,,,,,,,,,,,,,,,,,,,,,210174,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-14 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,203941.89050000004,15103.367999999999,,73777.5894,,,,96773.84999999999,70969.70999999999,55479.67999999999,1548.9160000000002,,9463.71,23294.3098,2313.0313,,,,,,,,,,,,,,,,13300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,226,292,,,,256,,,20.2,,,,,17.4,614,28.9,176,41.2,,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,10.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,,210175,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-20 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,219507.47600000002,10608.318,,75841.6683,,,,77496.81000000001,60320.67999999999,48785.935999999994,619.5664,,1494.27,18620.610699999997,1003.7683000000001,,,,,,,,,,,,,,,,68700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,174,288,,,,218,,,19.3,,,,,1.7,303,24.1,96.5,16.4,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,6,5.8,0.512826,,,0.703528,,,,,,,,,,,,,,,,,,,,,210176,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-29 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,205811.63050000003,14563.962,,70602.0834,,,,81694.23,75758.2,62113.12,1471.4702,,1743.3149999999998,13279.2403,1571.1155999999999,,,,,,,,,,,,,,,,56900.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,237,375,,,,255,,,19.6,,,,,1.8,513,25.2,140,31.4,,,,,,,,,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,8.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,210177,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-30 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,201931.92000000004,15103.367999999999,,70972.5591,,,,100427.16,63822.71,59700.96,1394.0244,,8135.47,20771.996,2531.2418,,,,,,,,,,,,,,,,30299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,225,353,,,,286,,,20.9,,,,,17.1,513,27.1,211,40.7,,,,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,11.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,210178,
[7917],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - MESOZOIC / LEBANON / CENTRAL LEBANON / BHANNES FORMATION,,34,34.5,35.6,36.2,SUBAERIAL,,,s AR-33 [7917],BASALT [7917],,,,MESOZOIC [7917],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7917] ,188703.50950000001,10008.978,,54936.253800000006,,,,107966.97,35020.3,93471.2,1316.5786,,3652.66,13575.9831,1571.1155999999999,,,,,,,,,,,,,,,,96000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,166,367,,,,568,,,14.2,,,,,9.3,224,20.9,85.8,20.3,,,,,,,,,,,,,221,13.44,29.78,3.72,16.08,3.73,1.26,3.59,0.52,2.95,0.56,1.46,0.2,1.16,0.17,2.05,1.01,,,,,,,,,2.3,,6.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,210179,
