Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 5 [9313],PHONOLITE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,269909,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 7 [9313],TRACHYTE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,269910,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 8 [9313],PHONOLITE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,51,,,,,,,,,,,,,,,,,,,,,,,,,269911,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 67 [9313],TRACHYTE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,269912,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 68 [9313],PHONOLITE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2.6,,,,,,,,,,,,,,,,,,,,,,,,,269913,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 69 [9313],TRACHYTE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,269914,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 70 [9313],TRACHYTE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,269915,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 71 [9313],TRACHYTE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,269916,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 72 [9313],PHONOLITE [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,3,,,,,,,,,,,,,,,,,,,,,,,,,269917,
[9313],INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD - NEOPROTEROZOIC / ETHIOPIA / NAKFA TERRANE,AXUM AREA,14.13,14.13,38.72,38.72,SUBAERIAL,,,s CH 1 [9313],BASALT [9313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9313] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,269918,
