Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s ST 139 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,233156.57800000004,19838.154,,80922.4779,,,,82005.15000000001,58533.92999999999,29187.136,1471.4702,,11290.04,26632.666299999997,2269.3892,,,,,,,,,,,,,,,,4300.,,,,,,,,,,,,,,24.47,1.92,,,,,,,,,,,,,26.26,,181.54,47.8,,,35.19,24.35,34.7,73.2,31,,,,,37.68,468.13,24.68,100.72,46.96,,,,,,,,,,,,1.33,337.08,18.89,40.34,6.02,26.3,6.24,2.24,6.36,1.01,5.59,1.13,2.9,0.45,2.42,0.42,,,,,,,,,,,9.51,,0.99,0.92,,,,,,,,,,,,,,,,,,,,,,,,,380693,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s ST 40 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,229370.35450000002,16481.85,,90872.39670000001,,,,80916.93000000001,54960.43,38775.471999999994,1394.0244,,16270.94,9792.5124,2443.9576,,,,,,,,,,,,,,,,13100.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,19.9,,193.19,61,,,46.57,51.15,123.75,67.58,18.66,,,,,54.98,671.72,26.53,257,40.66,,,,,,,,,,,,1.99,347,35.79,74.11,8.84,34.84,7.31,2.38,6.2,0.91,4.8,0.94,2.65,0.34,2.15,0.31,5.75,3.36,,,,,,,,,,,4.61,1.42,,,,,,,,,,,,,,,,,,,,,,,,,380694,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s STJ 3 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,237830.92800000004,20617.296,,79493.5002,,,,84026.13,50457.82,30996.255999999998,1626.3618,,12452.25,24555.4667,3491.3680000000004,,,,,,,,,,,,,,,,6300.,,,,,,,,,,,,,,,3,,,,,,,,,,,,,23,,271,45,,,38.4,16,,,20,1.1,,,,36.24,530,34,209,55.65,,,,,,,,,,,,0.83,603,35.98,79.51,8.86,41.82,8.7,2.52,8.1,1.28,6.78,1.1,3.63,0.51,2.86,0.43,5.37,4.05,,,,,,,,,,,0.55,0.29,,,,,,,,,,,,,,,,,,,,,,,,,380695,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s ST 39A [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,224415.5435,13365.282,,82721.93130000001,,,,78351.84,69969.12999999999,41006.719999999994,1316.5786,,6392.155,27300.3376,1134.6946,,,,,,,,,,,,,,,,14800.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,26.4,,246,146,,,56.6,68,65,82,21,1.2,,,,6,432,24,161,18,,,,,,,,,,,,0.01,178,18.8,39,4.97,21.9,5.32,1.85,5.65,0.84,4.6,0.9,2.57,0.33,2.03,0.27,4.3,1.7,,,,,,,,,7,,2.36,0.6,,,,,,,,,,,,,,,,,,,,,,,,,380696,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SUYA TACO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES, SUYA TACO COMPLEX",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s ST J4GG [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,219273.7585,9229.836,,98811.16170000001,,,,78351.84,81404.33,46011.952,929.3496,,6226.125,22478.267099999997,872.8420000000001,,,,,,,,,,,,,,,,14600.,,,,,,,,,,,,,,,1,,,,,,,,,,,,,26,,170,173,,,39.8,106,,,18,10.46,,,,721,14,94,17.39,0.5,,,,,,,,,,,,139,12.56,26.86,3.05,14.76,3.41,1.32,3.12,0.5,2.72,0.42,1.43,0.2,1.11,0.15,1.65,,,,,,,,,,,1.26,,0.4,2.76,,,,,,,,,,,,,,,,,,,,,,,,,380697,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s SM 24 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,208849.958,24333.203999999998,,87538.1154,,,,98095.26,60177.74,41368.544,1548.9160000000002,,7720.395,8086.241300000001,3229.5153999999998,,,,,,,,,,,,,,,,8100.000000000001,,,,,,,,,,,,,,,3,,,,,,,,,,,,,20,,284,,,,45.6,36,,,25,1.2,,,,20.67,815,29,250,60.46,,,,,,,,1.08,,,,0.35,257,36.29,82.4,9.42,44.72,9.73,3.22,8.54,1.29,6.49,0.96,2.93,0.42,2.23,0.32,6.98,4.31,,,,,,,,,,,1.06,0.51,,,,,,,,,,,,,,,,,,,,,,,,,380698,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s SM 21 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,200342.641,30206.735999999997,,90872.39670000001,,,,90399.99,62607.72,37690.,1239.1328,,9878.785,26706.852,916.4841,,,,,,,,,,,,,,,,13000.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,18,,290,12,,,48.6,51,,,21,1.2,,,,11.49,1449,27,131,53.53,,,,,,,,1.3,,,,1.09,2.64,17.51,45.81,6.03,33.17,8.61,3.25,7.85,1.25,6.01,0.9,2.73,0.34,1.89,0.28,4.2,4.22,,,,,,,,,,,0.74,0.2,,,,,,,,,,,,,,,,,,,,,,,,,380699,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s SM 20 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,206793.24400000004,22714.985999999997,,82616.0811,,,,84414.78,57890.7,39981.551999999996,1394.0244,,13365.415,27226.151899999997,2618.526,,,,,,,,,,,,,,,,11000.,,,,,,,,,,,,,,,3,,,,,,,,,,,,,19,,263,,,,39.2,55,,,24,1.3,,,,22.62,815,27,228,51.78,,,,,,,,2.4,,,,0.63,2.97,36.21,78.93,8.83,39.88,8.68,2.87,7.68,1.14,5.8,0.87,2.61,0.36,1.9,0.3,6.12,4,,,,,,,,,,,2.19,0.67,,,,,,,,,,,,,,,,,,,,,,,,,380700,
[12553],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / SIERRAS PAMPEANAS / SOL DE MAYO COMPLEX,"SIERRAS PAMPEANAS, NORTHERN SIERRAS DE COMECHINGONES",-31.93,-31.98,-64.7,-64.73,SUBAERIAL,,,s SM 48 [12553],NOT GIVEN [12553],,,,CAMBRIAN [12553],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [12553] ,212122.00300000003,14743.764,,55730.1303,,,,89078.58,76115.55,81229.488,1471.4702,,8384.515,14466.2115,1527.4734999999998,,,,,,,,,,,,,,,,7400.,,,,,,,,,,,,,,4.43,0.37,,,,,,,,,,,,,34.67,,198.46,172.8,,,51.98,168.63,28,40.54,19.42,1.23,,,,14.65,662.79,19.23,167.25,25.1,,,,,,,,0,,,,0.03,166.93,17.28,39.08,5.41,24.29,5.57,1.73,5.44,0.7,4.49,0.74,2,0.18,1.55,0.13,,5.59,,,,,,,,,2.56,,1.94,0,,,,,,,,,,,,,,,,,,,,,,,,,380701,
[15022],INTRAPLATE VOLCANICS,ARGENTINA - PALEOZOIC / PRECORDILLERA / SIERRA DEL TORO NEGRO / CERROS PABELLONES,500 M TO THE EAST OF THE PUESTO RAMBLONES SECTION,-28.1272,-28.1272,-68.1767,-68.1767,SUBAERIAL,,,s FLPDAT [15022],RHYOLITE [15022],,,LOWER [15022],CARBONIFEROUS [15022],,,,"FINE-GRAINED, POORLY PORPHYRITIC [15022] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [15022] ,343798.4425,1558.2839999999999,,71660.5854,,,,8783.49,2930.27,2110.64,286.54946,,40096.245,30787.0655,480.0631,,,,,,,,,,,,,,,,7200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,150,198,53,305,23,,,,,,,,,,,,,1175,,,,57.93,10.61,,,,,,,,,,,,,,,,,,,,,,19,1,0.512295,,,0.72511,,,,,,,,,,,,,,,,,,,,,505850,
