Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8051],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,"DJEBEL TARGOU, OULMES TO TIDDAS ROAD, 20 KM WEST OF OULMES, OULMES PLATEAU",33.43,33.43,-6.02,-6.02,SUBAERIAL,,,s HR102 [8051],"NEPHELINITE, MELILITE [8051]",,,,PLEISTOCENE [8051],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [8051] ,211561.081,6293.07,,94841.77920000002,,32102.46,18111.09,,53316.62,4944.927999999999,4956.5312,,42586.695,72998.7288,1221.9788,,,,,,,,,,,,,,,,34600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436805,
[10043],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS / JEBEL TAZEKKA,,34.08,34.08,-4.2,-4.2,SUBAERIAL,,,s TZ1 [10043],BASALT [10043],,,,NEOGENE [10043],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10043] ,210345.75000000003,13664.951999999997,,70390.383,,,,88689.93000000001,71255.59000000001,62414.63999999999,1548.9160000000002,,12452.25,29971.0228,4189.6416,,,,,,,,,,,,,,,,15000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,195,350,,,51,250,,,,,,,,41,1100,31,260,94,,,,,,,,,,,,,697,78.5,141,,61,,3.1,,,6.1,,3,,2.2,,,,,,,,,,,,,,,,0.512882,,,0.70318,,,,,,,,,,,,,,,,,,,,,436830,
[10043],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AZROU,34.53,34.53,-4.35,-4.35,SUBAERIAL,,,s AZ25 [10043],NEPHELINITE [10043],,,,NEOGENE [10043],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10043] ,189778.61000000002,16421.916,,62451.61800000001,,,,88379.01,80761.1,75380.,1471.4702,,13282.400000000001,31528.9225,4451.4942,,,,,,,,,,,,,,,,7200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,235,420,,,55,300,,,,,,,,38,1150,29,265,99,,,,,,,,,,,,,680,75.5,143,,63,,3.2,,,5.7,,2.6,,1.93,,,,,,,,,,,,,,,,0.512878,,,0.70318,,,,,,,,,,,,,,,,,,,,,436831,
[10043],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AZROU,34.53,34.53,-4.35,-4.35,SUBAERIAL,,,s AZ31 [10043],"BASALT, ALKALINE [10043]",,,,NEOGENE [10043],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10043] ,220161.885,12765.942,,73989.2898,,,,81305.58,69683.25,59097.92,1471.4702,,10791.95,23368.495499999997,3054.9469999999997,,,,,,,,,,,,,,,,-3700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,200,350,,,50,203,,,,,,,,37,920,29,210,77.5,,,,,,,,,,,,,510,57,112,,49,,2.65,,,5.5,,2.6,,1.93,,,,,,,,,,,,,,,,0.512811,,,0.70368,,,,,,,,,,,,,,,,,,,,,436832,
[10043],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AZROU,34.53,34.53,-4.35,-4.35,SUBAERIAL,,,s AZ21 [10043],NEPHELINITE [10043],,,,NEOGENE [10043],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10043] ,186974.,18459.672,,62980.869000000006,,,,93742.38,90052.2,69048.07999999999,1626.3618,,13448.43,28561.4945,5455.2625,,,,,,,,,,,,,,,,2200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,255,295,,,56,210,,,,,,,,54,1380,32,315,118,,,,,,,,,,,,,740,87.5,167,,76,,3.8,,,6.5,,2.9,,1.93,,,,,,,,,,,,,,,,0.512869,,,0.70325,,,,,,,,,,,,,,,,,,,,,436833,
[10043],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,KHENIFRA,32.94,32.94,-5.67,-5.67,SUBAERIAL,,,s KH41 [10043],BASANITE [10043],,,,NEOGENE [10043],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10043] ,204502.81250000003,18939.144,,67744.12800000001,,,,74387.61,85049.3,53730.863999999994,1394.0244,,28391.13,20771.996,2924.0207,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,300,365,,,42,115,,,,,,,,93,1120,25,310,124,,,,,,,,,,,,,975,77,147,,69,,2.9,,,5,,2.4,,1.95,,,,,,,,,,,,,,,,0.512757,,,0.70375,,,,,,,,,,,,,,,,,,,,,436834,
[13153],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AIN KAHLA AREA,32.97,32.97,-6.93,-6.93,SUBAERIAL,,,s ATL010400-6B [13153],BASANITE [13153],,,,MIOCENE [13153],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13153] ,179027.605,16361.981999999998,,58217.61,,,,86280.3,110778.5,81410.4,1626.3618,,10293.86,33235.1936,8291.999,14400.,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,586,,,60,296,,93,14,,,,,40,1595,,363,,,,,,,,,,,,,,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437941,
[13153],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AIN KAHLA AREA,32.97,32.97,-6.93,-6.93,SUBAERIAL,,,s ATL010400-6E [13153],BASANITE [13153],,,,MIOCENE [13153],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13153] ,179495.04,16361.981999999998,,58217.61,,,,87057.59999999999,110063.8,81410.4,1626.3618,,10210.845,33235.1936,8379.2832,14400.,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,7.01,,,,,,,,,,,,,,21.8,,263,604,,,59,309,28,88,14,,,,,39,1602,24.2,370,140,,,,,,,,,,,,1.13,943,117,216,22.4,81.5,,,,,,,,,,,,8.55,,,,,,,,0.12,4.55,,14.6,3.88,,,,,,,,,,,,,,,,,,,,,,,,,437942,
[13153],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AIN KAHLA AREA,32.97,32.97,-6.93,-6.93,SUBAERIAL,,,s ATL010400-9 [13153],BASANITE [13153],,,,MIOCENE [13153],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13153] ,179495.04,16781.519999999997,,58217.61,,,,88612.2,113637.3,81410.4,1781.2534,,12037.175,23887.7954,9295.7673,17600.,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,8.99,,,,,,,,,,,,,,25.9,,277,436,,,57,364,64.9,89,16,,,,,43,2363,38.5,328,213,,,,,,,,,,,,0.65,1424,235,397,37.6,128,,,,,,,,,,,,13.1,,,,,,,,0.11,6.72,,40.9,9.31,,,,,,,,,,,,,,,,,,,,,,,,,437943,
[13153],INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,AIN KAHLA AREA,32.97,32.97,-6.93,-6.93,SUBAERIAL,,,s ATL010400-5 [13153],PICRITE [13153],,,,MIOCENE [13153],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13153] ,179495.04,16781.519999999997,,58217.61,,,,90944.09999999999,127216.6,85631.68,1626.3618,,2490.45,10608.5551,8553.8516,33400.,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,422,,,63,295,,92,13,,,,,15,2081,,363,,,,,,,,,,,,,,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437944,
