Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,"DIKES, NEW ENGLAND FAULT BELT",-20,-22,148,150,SUBAERIAL,,,s 1 [4828],DOLERITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4828] ,242084.5865,10068.911999999998,,92036.7489,,11120.460000000001,61873.08,,60678.03,32503.855999999996,1394.0244,,12701.295,24703.8381,2007.5366000000001,42800.,,,,,,,,,,,,,,,30099.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,205,123,,,,63,50,112,,,,,,49,538,32,220,11,,,,,,,,,,,,,322,18,44,,27,,,,,,,,,,,,,,,,,,,,,4,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,108644
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,"DIKES, NEW ENGLAND FAULT BELT",-20,-22,148,150,SUBAERIAL,,,s 2 [4828],"ANDESITE, BASALTIC [4828]",,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,263119.1615,7371.882,,89020.0182,,9162.140000000001,50835.42,,50029,28041.36,1084.2412000000002,,13780.49,29525.9086,1571.1155999999999,39100.,,,,,,,,,,,,,,,23200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,194,107,,,,40,46,106,,,,,,46,554,25,170,8,,,,,,,,,,,,,294,16,39,,22,,,,,,,,,,,,,,,,,,,,,5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,108645
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,"DIKES, NEW ENGLAND FAULT BELT",-20,-22,148,150,SUBAERIAL,,,s 3 [4828],ANDESITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,289996.674,6712.608,,88120.29149999999,,7413.64,41119.17,,27730.36,14472.96,1084.2412000000002,,21666.914999999997,32864.2651,1745.6840000000002,33800.,,,,,,,,,,,,,,,20500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,119,30,,,,11,21,112,,,,,,66,426,35,262,10,,,,,,,,,,,,,474,27,60,,37,,,,,,,,,,,,,,,,,,,,,10,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,108646
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,"DIKES, NEW ENGLAND FAULT BELT",-20,-22,148,150,SUBAERIAL,,,s 4 [4828],DACITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,323979.19850000006,3476.1719999999996,,81769.2795,,3986.5799999999995,21997.59,,14008.119999999999,5668.575999999999,619.5664,,28972.235,33977.0506,916.4841,23300.,,,,,,,,,,,,,,,19400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,41,11,,,,14,10,74,,,,,,101,263,33,308,10,,,,,,,,,,,,,560,28,62,,35,,,,,,,,,,,,,,,,,,,,,10,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,108647
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,"DIKES, NEW ENGLAND FAULT BELT",-20,-22,148,150,SUBAERIAL,,,s 5 [4828],RHYOLITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,347070.48750000005,1798.0199999999998,,74465.61570000001,,2308.02,12825.449999999999,,4574.08,2291.5519999999997,387.22900000000004,,32375.85,32196.5938,480.0631,16400.,,,,,,,,,,,,,,,25500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,13,9,,,,10,9,67,,,,,,115,187,38,279,10,,,,,,,,,,,,,641,31,70,,39,,,,,,,,,,,,,,,,,,,,,18,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,108648
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 6 [4828],BASALT [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,239139.746,10068.911999999998,,94788.85410000001,,11819.859999999999,58530.69,,61821.55,34795.407999999996,1239.1328,,6226.125,31157.994,1789.3261,22500.,,,,,,,,,,,,,,,33400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,216,147,,,,78,31,106,,,,,,15,502,34,196,11,,,,,,,,,,,,,205,11,37,,23,,,,,,,,,,,,,,,,,,,,,5,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,108649
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 7 [4828],ANDESITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,285743.01550000004,5993.4,,87538.1154,,7343.700000000001,40808.25,,42953.47,15437.823999999999,1006.7954,,17516.164999999997,28561.4945,1614.7576999999999,31400.,,,,,,,,,,,,,,,30400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,155,100,,,,10,33,93,,,,,,62,498,28,201,9,,,,,,,,,,,,,370,21,48,,29,,,,,,,,,,,,,,,,,,,,,10,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,108650
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 8 [4828],DACITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,313228.19350000005,5693.73,,81345.8787,,5595.200000000001,31247.459999999995,,19439.84,7055.567999999999,929.3496,,26813.845,31825.6653,1396.5472,29700.000000000004,,,,,,,,,,,,,,,27700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,94,25,,,,5,13,92,,,,,,89,270,35,286,10,,,,,,,,,,,,,540,27,67,,40,,,,,,,,,,,,,,,,,,,,,10,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,108651
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 9 [4828],RHYOLITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,348986.971,1558.2839999999999,,74836.0914,,1818.44,10182.630000000001,,2358.51,1145.7759999999998,232.3374,,37688.81,31157.994,392.77889999999996,17800.,,,,,,,,,,,,,,,19700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6,9,,,,10,8,45,,,,,,127,113,37,279,12,,,,,,,,,,,,,647,37,81,,42,,,,,,,,,,,,,,,,,,,,,15,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,108652
[4828],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / QUEENSLAND / WHITSUNDAY VOLCANIC PROVINCE,NEW ENGLAND FAULT BELT,-20,-22,148,150,SUBAERIAL,,,s 10 [4828],RHYOLITE [4828],,,LOWER [4828],CRETACEOUS [4828],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4828] ,344873.543,1738.0859999999998,,73830.5145,,2727.6600000000003,11892.69,,5360.25,2412.16,232.3374,,31711.73,36128.4359,261.8526,,,,,,,,,,,,,,,,14600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,10,7,,,,8,,45,,,,,,109,101,35,308,14,,,,,,,,,,,,,535,36,70,,32,,,,,,,,,,,,,,,,,,,,,15,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,108653
