Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01021 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,344826.7995,2337.426,,65097.87300000001,,7203.820000000001,21453.48,,6003.48,1025.1680000000001,464.6748,,40511.32,21513.853,305.4947,300.,,,,1800.,,,,,,,,,,,9600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,7.1,96,,,3.2,6.4,,,,,,,,171,104,48,290,17,,,,,,,,,,,,,1656,78.96,149.92,18.06,67.15,11.95,1.65,9.18,1.36,8.89,1.81,5.15,0.72,4.57,0.78,8.33,1.23,,,,,,,,,,,20.53,5.46,,,,,,,,,,,,,,,,,,,,,,,,,512839,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01022 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,326550.091,2457.294,,78064.5225,,3497.,25961.82,,6003.48,1206.08,464.6748,,26564.800000000003,36944.4786,261.8526,200.,,,,5000.,,,,,,,,,,,8700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,7.8,0,,,2.5,3.6,,,,,,,,106,86,88,524,38,,,,,,,,,,,,,1707,119.95,249.3,30.73,96.298,16.967,3.19,13,2.04,11.75,2.39,7.2,1.02,6.33,1.11,14.58,3.24,,,,,,,,,,,17.21,4.56,0.511218,,,,,,,,,,,,,,,,,,,,,,,,512840,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01025 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,332720.23300000007,3296.37,,66156.375,,8252.92,25650.899999999998,,11006.380000000001,1809.12,542.1206000000001,,39349.11,19436.6534,567.3473,1000.,,,,2300.,,,,,,,,,,,12200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,45,20,,,6.1,5.1,,,,,,,,172,133,45,283,17,,,,,,,,,,,,,1577,80.18,152.83,18.22,65.77,10.88,1.69,8.9,1.4,8.56,1.81,5.24,0.67,4.63,0.63,8.2,1.25,,,,,,,,,,,20.24,5.15,,,,,,,,,,,,,,,,,,,,,,,,,512841,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01042 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,331130.954,3296.37,,68008.7535,,11959.74,25573.170000000002,,10720.5,3678.544,619.5664,,38601.975000000006,17136.8967,349.1368,2500.,,,,2600.,,,,,,,,,,,13799.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,13,8,,,3.1,9.4,,,,,,,,144,105,78,446,29,,,,,,,,,,,,,2398,140.41,258.1,32.71,120.85,20.18,4.01,17.15,2.46,13.82,2.83,9.03,1.16,7.41,1.24,12.19,2.31,,,,,,,,,,,17.94,4.28,,,,,,,,,,,,,,,,,,,,,,,,,512842,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01047 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,335337.869,2337.426,,68008.7535,,5035.679999999999,24096.3,,5717.6,4040.368,464.6748,,43665.89,18768.982099999997,218.21050000000002,700.0000000000001,,,,3300.,,,,,,,,,,,13899.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,9.1,13,,,3.1,3.5,,,,,,,,156,67,74,409,22,,,,,,,,,,,,,2095,113.86,217.4,26.26,98.71,16.75,3.07,13.73,2.25,13.52,2.8,8.06,1.05,6.71,1.12,11.48,1.24,,,,,,,,,,,16.92,4.86,,,,,,,,,,,,,,,,,,,,,,,,,512843,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01028 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,335431.356,2397.36,,65415.4236,,5105.62,27516.420000000002,,10005.8,1206.08,619.5664,,36194.54,22329.895699999997,305.4947,0,,,,4500.,,,,,,,,,,,11200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,5.7,0,,,2.8,5.7,,,,,,,,122,66,91,564,31,,,,,,,,,,,,,1596,115.92,240.25,31.56,109.7,22.02,3.01,13.37,2.22,12.17,2.72,8.15,1.15,6.82,1.22,14.6,1.51,,,,,,,,,,,18.75,5.14,,,,,,,,,,,,,,,,,,,,,,,,,512844,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 01036 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,337488.07000000007,2876.832,,66579.7758,,9791.599999999999,22308.510000000002,,10005.8,2412.16,619.5664,,41756.545000000006,17952.9394,436.42100000000005,200.,,,,1200.,,,,,,,,,,,10800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,36,9.2,,,4,4.6,,,,,,,,173,123,47,375,17,,,,,,,,,,,,,1652,82.72,157.86,19.32,67.18,11.11,1.82,9.86,1.58,8.71,1.85,5.83,0.79,5.31,0.78,11.66,1.38,,,,,,,,,,,25.78,6.61,,,,,,,,,,,,,,,,,,,,,,,,,512845,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 05035 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,335431.356,2697.0299999999997,,62451.61800000001,,12309.44,20909.37,,10291.68,2532.7679999999996,619.5664,,39100.065,20475.2532,305.4947,2000.,,,,1100.,,,,,,,,,,,12200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8,9.3,,,2.4,8.7,,,,,,,,157,92,39,337,17,,,,,,,,,,,,,1839,78.47,158.71,20.43,68.65,12.26,1.96,9.27,1.25,8.37,1.78,4.92,0.67,4.39,0.85,10.53,2.02,,,,,,,,,,,23.63,7,,,,,,,,,,,,,,,,,,,,,,,,,512846,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,ZAVOROTNY AREA,54.32,54.32,108.42,108.42,SUBAERIAL,,,s 05033 [12792],DACITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,306029.69450000004,4854.654,,62081.14230000001,,21051.94,29615.13,,22513.05,12543.232,851.9038,,36111.524999999994,23368.495499999997,610.9894,2800.0000000000005,,,,1100.,,,,,,,,,,,18800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,60,56,,,19,53,,,,,,,,118,173,57,374,19,,,,,,,,,,,,,2126,78.7,155.23,20.11,75.33,12.55,2.53,9.86,1.65,9.39,1.98,6.08,1.08,4.23,0.79,9.97,0.94,,,,,,,,,,,13.08,3.25,,,,,,,,,,,,,,,,,,,,,,,,,512847,
[12792],INTRAPLATE VOLCANICS,BAIKAL-PATOM REGION / NORTH BAIKAL VOLCANOPLUTONIC BELT / SOUTHERN NORTH BAIKAL VOLCANOPLUTONIC BELT / AKITKAN GROUP,SREDNII KEDROVY AREA,55.68,55.68,108.5,108.5,SUBAERIAL,,,s 0376 [12792],RHYOLITE [12792],,,PALEO [12792],PROTEROZOIC [12792],,,,PORPHYRITIC [12792] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [12792] ,338235.966,3236.436,,66685.626,,11540.099999999999,20054.34,,9862.859999999999,2773.984,387.22900000000004,,36609.615,24778.0238,567.3473,2700.,,,,,,,,,,,,,,,7100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,26,7.8,,,6.2,9.8,,,,,,,,152,164,32,288,12,,,,,,,,,,,,,1813,61.81,114.97,13.43,40.652,6.923,1.57,5.79,0.92,4.56,1.02,3.23,0.31,2.93,0.47,7.4,0.77,,,,,,,,,,,18.2,4.9,0.511027,,,,,,,,,,,,,,,,,,,,,,,,512848,
