Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11318],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / KARELIAN PROVINCE / TUNTSA TERRAIN,"SOKLI, EAST FINNISH LAPLAND",67.77,67.77,29.21,29.21,SUBAERIAL,,,s SO [11318],CARBONATITE [11318],363000000 [11318],368000000 [11318],UPPER [11318],DEVONIAN [11318],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [11318] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364169,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / PIONERSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 1490/1017 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,165658.964,6472.872,,16406.781000000003,,31473.,32335.68,,47456.079999999994,186942.4,1161.687,,17018.074999999997,3041.6137,2836.7365,,2900.,70000,,23700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,79,928,,,,997,71,139,7,,,,,100,687,11.1,146,67,,,,,,,,,,,,1.4,1062,44.4,79.9,8.91,32.9,5.11,1.45,3.85,0.49,2.29,0.38,0.91,0.12,0.72,0.1,3.46,3.02,,,,,,,,,7.3,,4.22,0.85,0.51225,,,0.70609,,,,,,,,,,,,,,,,,,,,,513270,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / PIONERSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 1490/942 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,184216.1335,5633.795999999999,,14554.4025,,28045.94,25495.44,,40023.2,178921.968,1084.2412000000002,,9380.695,2744.8709,2007.5366000000001,,5100.,94900.,,13899.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,96,1230,,,,1085,65,102,5,,,,,36,554,7.8,80,53,,,,,,,,,,,,1,442,32.3,58.8,6.59,24.7,3.75,1,2.62,0.34,1.55,0.27,0.65,0.09,0.53,0.08,1.98,2.84,,,,,,,,,0.9,,3.82,0.86,0.51227,,,0.70667,,,,,,,,,,,,,,,,,,,,,513271,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / PIONERSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 1490/1002 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,181505.0105,4614.918,,26197.9245,,13568.359999999999,32335.68,,34520.01,179283.792,1006.7954,,664.12,6379.9702,392.77889999999996,,3400.0000000000005,115100.,,4600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,620,,,,,,,,4.8,500,19,191,22,,,,,,,,,,,,0.5,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513272,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / PIONERSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 1490/987 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,197444.54400000002,4974.521999999999,,15348.279,,23639.719999999998,29381.94,,38450.86,168187.856,774.4580000000001,,3237.585,8902.284,1876.6103,,4600.,90800.,,12100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,690,,,,1250,,,,,,,,5.5,575,14,90,22,,,,,,,,,,,,0.5,1250,27.2,43,,18.9,2.84,0.77,,0.45,,0.52,,,0.88,0.09,2.49,2.16,,,,,,,,,,,4.61,0.79,,,,,,,,,,,,,,,,,,,,,,,,,513273,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / LOMONOSOVSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 433/146.3 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,171314.92750000002,6712.608,,13813.4511,,37347.96,23629.920000000002,,41095.25,182540.20799999998,1084.2412000000002,,5894.065,2819.0566,2356.6734,,,92800.,,31000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,58,1536,,,,898,220,106,7,,,,,38,440,11.8,92,66,,,,,,,,,,,,0.5,621,30.3,58.5,6.8,24.7,4.28,1.28,3.36,0.47,2.37,0.42,0.96,0.13,0.65,0.09,2.21,3.49,,,,,,,,,34.4,,4.88,0.66,0.51228,,,0.7067,,,,,,,,,,,,,,,,,,,,,513274,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY II KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 81/172.7 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,196416.18700000003,5693.73,,11749.372200000002,,39446.159999999996,25573.170000000002,,18153.38,175544.944,1084.2412000000002,,11954.16,4302.7706,3840.5048,,6800.000000000001,92400.,,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,70,1047,,,,1315,42,131,5,,,,,80,670,9.2,105,53,,,,,,,,,,,,1,460,38.1,66.6,7.34,27,4.22,1.14,3.09,0.4,1.91,0.33,0.78,0.11,0.64,0.09,2.64,2.51,,,,,,,,,5.7,,3.83,0.72,0.51223,,,0.70613,,,,,,,,,,,,,,,,,,,,,513275,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY I KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 66/247.3 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,197958.72250000003,5094.389999999999,,18523.785,,28675.399999999998,22930.350000000002,,21369.530000000002,177655.584,1084.2412000000002,,9712.755,5267.1847,2051.1787,,6000.,90000,,7500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,63,780,,,,912,40,90,6,,,,,59,638,11.9,141,59,,,,,,,,,,,,0.8,1177,41.6,76.6,8.74,32.7,5.12,1.4,3.77,0.49,2.32,0.41,0.98,0.15,0.84,0.12,3.47,2.5,,,,,,,,,34.2,,4.83,1.04,0.51221,,,0.70503,,,,,,,,,,,,,,,,,,,,,513276,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY I KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 66/395 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,214552.665,5274.192,,20640.789,,27556.36,20909.37,,10148.74,166016.912,1316.5786,,35032.329999999994,7047.6415,916.4841,,4100.,66000.,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,670,,,,940,,,,,,,,137,500,23,170,51,,,,,,,,,,,,0.7,960,50.4,86.1,,37.7,5.9,1.46,,0.66,,0.45,,,1.04,0.12,4.14,2.46,,,,,,,,,,,4.97,1.29,,,,,,,,,,,,,,,,,,,,,,,,,513277,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / ARCHANGELSKAYA KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 505/400 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,228248.5105,4734.786,,20693.7141,,39446.159999999996,11193.119999999999,,23299.219999999998,155704.92799999999,1084.2412000000002,,7554.365000000001,3709.285,1702.0419000000002,,9100.,51100.,,13500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,790,,,,,,,,,,,,29,345,,,,,,,,,,,,,,,0.4,625,27.1,54.7,,27.6,4.19,1,,0.48,,0.57,,,1.02,0.12,3.26,3.26,,,,,,,,,,,4.87,1.01,,,,,,,,,,,,,,,,,,,,,,,,,513278,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY I KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 66/395.3 [14069],"LAMPROITE, OLIVINE [14069]",,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,208242.2925,7791.42,,22228.542,,31822.699999999997,18810.66,,9434.04,170660.32,1394.0244,,41922.575,3189.9851,2313.0313,,,70400.,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,822,821,,,,626,17,108,11,,,,,179,1045,16.5,211,90,,,,,,,,,,,,2,2726,108.3,200.3,23.53,92,14.88,3.9,10.22,1.07,4.41,0.68,1.51,0.19,1.01,0.14,4.93,3.87,,,,,,,,,2.2,,6.63,1.36,0.51216,,,0.70717,,,,,,,,,,,,,,,,,,,,,513279,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY I KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 66/370-7 [14069],"LAMPROITE, OLIVINE [14069]",,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,178653.657,6532.8060000000005,,24874.797000000002,,30913.48,21375.75,,52530.45,152750.03199999998,1161.687,,32375.85,3709.285,16147.577000000001,,,71900.,,5200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1534,,,,848,,,,,,,,162,2877,22,115,4.7,,,,,,,,,,,,1.7,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51215,,,0.70584,,,,,,,,,,,,,,,,,,,,,513280,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / ZOLOTITSA (ZIMNIY BEREG) IGNEOUS FIELD / KARPINSKIY I KIMBERLITE PIPE,,65.69,65.69,40.18,40.18,SUBAERIAL,,,s 66/370-7A [14069],"LAMPROITE, OLIVINE [14069]",,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,187908.87000000002,7311.947999999999,,25404.048,,34480.42,22930.350000000002,,30160.339999999997,159624.688,1394.0244,,35032.329999999994,3115.7994,8422.925299999999,,,74600.,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,93,1587,,,,1115,,,,,,,,118,1621,24,158,4.7,,,,,,,,,,,,1.6,1587,,,,,,,,,,,,,,,4.7,3.9,,,,,,,,,,,7.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,513281,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / MELA IGNEOUS FIELD / MELA I KIMBERLITE PIPE,,65.89,65.89,41.09,41.09,SUBAERIAL,,,s 11/27 2 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,130741.5695,6113.268,,21222.9651,,80151.24,,,86621.64,143704.43199999997,2788.0488,,2988.54,1186.9712,4320.5679,,73500.,,,97700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,,86,1250,,,,841,,,,,,,,19,880,16,88,56,,,,,,,,,,,,1.3,1570,104,151,,57.5,8.6,2,,,,,,,1.44,0.1,1.73,4.29,,,,,,,,,,,12.7,1.05,0.51207,,,0.70417,,,,,,,,,,,,,,,,,,,,,513282,
[14069],INTRAPLATE VOLCANICS,BALTIC SHIELD - PALEOZOIC / ARKHANGELSK PROVINCE / MELA IGNEOUS FIELD / MELA I KIMBERLITE PIPE,,65.89,65.89,41.09,41.09,SUBAERIAL,,,s 13/6-1 [14069],KIMBERLITE [14069],,,UPPER [14069],DEVONIAN [14069],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14069] ,128918.573,6532.8060000000005,,21858.0663,,82948.84,,,95340.98,131221.50400000002,3175.2778,,3818.69,1557.8997,3796.8627,,74200.,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,86,960,,,,841,,,,,,,,15,756,16,79,46,,,,,,,,,,,,0.5,1364,111,194,,49.9,9.3,1.87,,,,,,,0.5,0.1,2.28,5.92,,,,,,,,,,,13.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,513283,
