Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"GOLETS HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 8971 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,238391.85,4854.654,,67744.12800000001,,,,86746.68000000001,82905.2,55660.592,1394.0244,,1909.345,12314.8262,480.0631,,,,,,,,,,,,,,,,3900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,251,555,,,48,129,,,,,,,,5,175,17.1,61,2.52,,,,,,,,,,,,,94,7.88,16.9,,10.83,2.654,0.905,3.01,,3.24,,1.95,,1.82,,1.59,0.167,,,,,,,,,1.94,,1.01,0.201,0.511861,,,,,,,,,,,,,,,,,,,,,,,,167710,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"GOLETS HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 8964 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,216889.84,2996.7,,41916.6792,,,,90944.09999999999,53459.560000000005,142920.47999999998,1394.0244,,2407.435,3931.8421,305.4947,,,,,,,,,,,,,,,,35500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,2834,,,97,922,,,,,,,,7,103,10.5,38,,,,,,,,,,,,,,69,4.35,9.97,,5.91,1.46,0.485,1.63,,1.73,,1.04,,0.975,,,,,,,,,,,,,,,,0.511895,,,,,,,,,,,,,,,,,,,,,,,,167711,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"SHAPOCHKA HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9301 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,237456.98,3775.8419999999996,,60334.614,,,,82549.26,66538.57,84425.59999999999,1394.0244,,4316.78,10015.0695,392.77889999999996,,,,,,,,,,,,,,,,17700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,185,1309,,,63,391,,,,,,,,13,160,13.5,59,4.07,,,,,,,,,,,,,158,8.68,17.8,,9.87,2.27,0.721,2.44,,2.59,,1.62,,1.58,,1.58,0.136,,,,,,,,,2.74,,1.41,0.291,0.511623,,,,,,,,,,,,,,,,,,,,,,,,167716,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,OLOVA HILLS,63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9302 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,SPINIFEX-TEXTURED [5238] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,234652.37000000002,3655.9739999999997,,58217.61,,,,83248.83,61035.38,94074.23999999999,1316.5786,,5894.065,8605.5412,436.42100000000005,,,,,,,,,,,,,,,,26600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,196,1797,,,67,522,,,,,,,,14,189,13.4,56,3.08,,,,,,,,,,,,,184,7.59,17,,9.209,2.11,0.662,2.19,,2.24,,1.34,,1.29,,1.36,0.119,,,,,,,,,2.41,,1.05,0.217,0.511642,,,,,,,,,,,,,,,,,,,,,,,,167717,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,OLOVA HILLS,63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9303 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,SPINIFEX-TEXTURED [5238] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,234652.37000000002,3596.0399999999995,,58217.61,,,,83948.40000000001,63393.88999999999,92868.16,1394.0244,,5146.93,7789.4985,436.42100000000005,,,,,,,,,,,,,,,,29400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,1643,,,62,459,,,,,,,,18,140,12.9,57,,,,,,,,,,,,,,138,7.84,17,,8.87,2.07,0.625,2.17,,2.27,,1.36,,1.29,,,,,,,,,,,,,,,,0.511636,,,,,,,,,,,,,,,,,,,,,,,,167718,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"KIRICHI HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9305 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,243066.2,4075.512,,67744.12800000001,,,,77652.27,74328.8,68746.56,1394.0244,,4731.855,6899.2701,392.77889999999996,,,,,,,,,,,,,,,,29000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,207,927,,,52,173,,,,,,,,16,201,14.4,70,3.09,,,,,,,,,,,,,238,11.4,24.3,,12.2,2.63,0.768,2.62,,2.61,,1.53,,1.37,,1.37,0.167,,,,,,,,,3,,2.8,0.572,0.511485,,,,,,,,,,,,,,,,,,,,,,,,167719,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"KIRICHI HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9306 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,250545.16000000003,3895.71,,65627.12400000001,,,,75553.56000000001,70969.70999999999,65128.32,1316.5786,,4897.884999999999,7789.4985,261.8526,,,,,,,,,,,,,,,,26700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,842,,,51,165,,,,,,,,17,162,13.9,67,,,,,,,,,,,,,,244,11.4,24.2,,11.9,2.541,0.768,2.54,,2.53,,1.48,,1.33,,,,,,,,,,,,,,,,0.511474,,,,,,,,,,,,,,,,,,,,,,,,167720,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"KIRICHI HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 9307 [5238],DACITE [5238],,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,298223.53,3536.1059999999998,,82563.156,,,,44694.75,41952.89,19840.016,1084.2412000000002,,9546.724999999999,22700.8242,349.1368,,,,,,,,,,,,,,,,15400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,96,100,,,23,58,,,,,,,,40,171,14.8,127,4.44,,,,,,,,,,,,,309,15.7,31.6,,1.368,2.87,0.838,2.85,,2.64,,1.54,,1.48,,2.66,0.421,,,,,,,,,4.57,,3.682,0.868,0.511405,,,,,,,,,,,,,,,,,,,,,,,,167721,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"VICTORIA^S LAVA LAKE, LION HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 91101 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,244935.94,4015.578,,69861.132,,,,77652.27,76472.9,53369.03999999999,1471.4702,,3901.705,16395.039699999998,392.77889999999996,,,,,,,,,,,,,,,,1900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,,253,688,,,47,119,,,,,,,,8,165,16,63,2.12,,,,,,,,,,,,,197,7.75,17.3,,9.63,2.28,0.734,2.47,,2.64,,1.62,,1.53,,1.58,0.137,,,,,,,,,2.32,,1.19,0.254,0.511737,,,,,,,,,,,,,,,,,,,,,,,,167722,
[5238],INTRAPLATE VOLCANICS,BALTIC SHIELD - PROTEROZOIC / KARELIAN PROVINCE / VETRENY GREENSTONE BELT,"MYANDUKHA HILLS, RUSSIA",63.6,64.6,34.8,37.8,SUBAERIAL,,,s 94170 [5238],"BASALT, KOMATIITIC [5238]",,,,ARCHEAN [5238],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5238] ,235587.24000000002,3775.8419999999996,,61393.116,,,,85347.54000000001,70397.95,80807.36,1394.0244,,2656.48,9495.7696,349.1368,,,,,,,,,,,,,,,,21500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,209,1331,,,63,373,,,,,,,,7,146,13.3,52,1.88,,,,,,,,,,,,,91,6.82,14.9,,8.39,1.994,0.668,2.28,,2.48,,1.55,,1.5,,1.35,0.126,,,,,,,,,1.69,,0.969,0.205,0.51175,,,,,,,,,,,,,,,,,,,,,,,,167731,
