Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2243],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / ALASKA / SEWARD PENINSULA / LAKE IMURUK / OLD CROW TEPHRA,LAKE IMURUK V CORE,65.3583,65.3583,-163.2,-163.2,SUBAERIAL,,,s UT371 [2243],"DACITE, CALC-ALKALINE [2243]",,,UPPER [2243],QUATERNARY [2243],,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [2243] ,,,,,,16296.02,,,,,,,,26484.294899999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1100,25,50,,23,5.69,0.93,,0.8,,,,,3.8,0.7,6,0.8,,,,,,,,,,,10.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,107053,
[2242],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / ALASKA / ST. LAWRENCE ISLAND,,63.3,63.3,-169.15,-169.15,SUBAERIAL,,,s 69AHR174 [2242],NOT GIVEN [2242],,,,QUATERNARY [2242],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2242] ,208008.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512092,,,0.7034,,,,,,,,,,,,,,,,,,,,,213313,
[2242],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / ALASKA / ST. LAWRENCE ISLAND,,63.3,63.3,-169.15,-169.15,SUBAERIAL,,,s 69AHR175 [2242],NOT GIVEN [2242],,,,QUATERNARY [2242],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2242] ,225303.67000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512063,,,0.70374,,,,,,,,,,,,,,,,,,,,,213314,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 121-4 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,183888.92900000003,28708.386,,61393.116,136.84,32941.74,70345.65000000001,,58605.399999999994,74415.136,1239.1328,157.16,30217.460000000003,27893.8232,3273.1575000000003,,5500.,1300.,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,162,,,67.6,255,,,,,,,,54.8,865,19,278,77,,,,,,,,,,,,0.5,209,40.8,76.9,,36.6,8.4,2.5,,1,,,,,1.4,0.2,5.8,5.3,,,,,,,,,,,4.9,1.5,0.513034,,,0.703108,,18.42,,15.51,,38.19,,,,,,,,,,,,,,,224948,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 121-6 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,194219.2425,26430.894,,60334.614,205.26,36578.62,64826.82,,61607.13999999999,74716.656,1161.687,157.16,22081.99,25594.0665,2924.0207,,4500.,100.,,100.,,,,,,,,,,,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,272,,,64.2,262,,,,,,,,40.3,750,17,251,56,,,,,,,,,,,,0.3,689,33.1,62.5,,32.4,7.9,2.4,,1,,,,,1.5,0.2,6,4.4,,,,,,,,,,,3.7,1.1,0.513041,,,0.703146,,18.32,,15.49,,38.04,,,,,,,,,,,,,,,224949,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 122 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,195621.54750000002,26490.827999999998,,64462.7718,,,,96540.66,66109.75,70495.37599999999,1239.1328,,12701.295,27597.0804,3273.1575000000003,,,,,,,,,,,,,,,,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,223,,,63.1,245,,,,,,,,22,925,21,274,69,,,,,,,,,,,,0.2,,37.2,70,,34.9,8.2,2.5,,1,,,,,1.4,0.2,5.8,4.6,,,,,,,,,,,4.4,1.1,0.513024,,,0.703138,,18.33,,15.48,,38.05,,,,,,,,,,,,,,,224950,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 125 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,190947.1975,20916.966,,56629.856999999996,273.68,32871.8,63427.68,,68110.90999999999,75018.17599999999,1471.4702,157.16,24323.395,30267.7656,4058.7153000000003,,5000.,100.,,100.,,,,,,,,,,,5200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,332,,,62.5,293,,,,,,,,57.3,1063,21,313,98,,,,,,,,,,,,0.8,844,59,109.6,,52.6,11.1,3.2,,1.2,,,,,1.6,0.2,6.6,6.8,,,,,,,,,,,8,2.1,0.512998,,,0.703216,,18.42,,15.5,,38.17,,,,,,,,,,,,,,,224951,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 125-5 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,192910.42450000002,19118.946,,59276.112,410.52,82389.31999999999,4430.61,,62607.72,82314.95999999999,1161.687,314.32,21251.84,21810.5958,3011.3048999999996,,14500.,5000.,,100.,,,,,,,,,,,19600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,17,213,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224952,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 127 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,193751.80750000002,23134.523999999998,,65627.12400000001,205.26,33221.5,58064.31,,69111.49,82616.48,1239.1328,,24904.5,23739.424,2967.6628,,6400.,600.,,100.,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,314,,,68.2,320,,,,,,,,53.1,759,14,214,65,,,,,,,,,,,,0.5,838,38.6,70.6,,32.5,7.3,2.2,,0.8,,,,,1.2,0.2,4.8,4.6,,,,,,,,,,,4.8,1.2,0.513032,,,0.70311,,18.32,,15.47,,38.03,,,,,,,,,,,,,,,224953,
[8530],INTRAPLATE VOLCANICS,BERING SEA BASALT PROVINCE - CENOZOIC / RUSSIA / CHUKCHI PENINSULA / ENMELEN VOLCANIC FIELD,,65.02,65.02,175.9,175.9,SUBAERIAL,,,s 135-1 [8530],"NEPHELINITE, LEUCITE-OLIVINE [8530]",,,UPPER [8530],CENOZOIC [8530],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8530] ,191087.428,24033.533999999996,,61393.116,136.84,33641.14,69257.43000000001,,61106.850000000006,71399.936,1239.1328,157.16,25236.56,27819.637499999997,1832.9682,,10000,2800.0000000000005,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,183,,,65.7,241,,,,,,,,52.6,794,17,260,64,,,,,,,,,,,,0.4,691,38.1,71.8,,36.5,8.1,2.5,,1,,,,,1.3,0.2,5.9,4.9,,,,,,,,,,,4.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,224954,
