Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s LS-1 [12787],KIMBERLITE [12787],52700000 [12787],52700000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,157011.41650000002,2876.832,,8626.791299999999,,58329.96,,,48170.78,241638.128,1239.1328,,2490.45,1706.2711,1789.3261,55700.,,,,20000,,,,,,,,,,,75700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,74,,,,,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633994,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s LS-2 [12787],KIMBERLITE [12787],52700000 [12787],52700000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,155796.08550000002,2936.7659999999996,,7991.690100000001,,58190.08,,,50672.229999999996,243386.944,1239.1328,,1494.27,1483.714,1614.7576999999999,49900.,,,,23500.,,,,,,,,,,,73400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,72,,,,,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633995,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s LS-3 [12787],KIMBERLITE [12787],52700000 [12787],52700000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,156263.5205,3056.634,,8097.540300000001,,59658.81999999999,,,60320.67999999999,248331.87199999997,1239.1328,,581.105,1409.5283,1440.1893,37300.,,,,17300.,,,,,,,,,,,54600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,85,,,,,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633996,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s LS-4 [12787],KIMBERLITE [12787],52700000 [12787],52700000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,158834.413,2697.0299999999997,,8573.8662,,56931.16,,,45812.270000000004,240432.04799999998,1161.687,,4648.84,1854.6425,1702.0419000000002,53700.,,,,26100.,,,,,,,,,,,79800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,118,,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633997,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / LESLIE KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s LS-5 [12787],KIMBERLITE [12787],52700000 [12787],52700000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,159114.874,2637.096,,13390.050299999999,,52804.7,,,41595.54,215707.408,1006.7954,,14610.64,1335.3426,1483.8314,69900.,,,,40500.,,,,,,,,,,,110399.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,72,,,,,1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633998,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s AN-1 [12787],KIMBERLITE [12787],45200000 [12787],45200000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,166500.347,1977.822,,9050.1921,,58120.14000000001,,,33447.96,246462.44799999997,1161.687,,2075.375,593.4856,1614.7576999999999,50000,,,,24100.,,,,,,,,,,,74100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,73,,,,,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633999,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s AN-2 [12787],KIMBERLITE [12787],45200000 [12787],45200000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,165004.555,1917.888,,8732.6415,,58539.77999999999,,,40309.079999999994,249477.64799999996,1161.687,,4233.765,964.4141,1134.6946,34900.,,,,28900.,,,,,,,,,,,63800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,56,,,,,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634000,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s AN-3 [12787],KIMBERLITE [12787],45200000 [12787],45200000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,169351.7005,1678.152,,11431.821600000001,,51755.600000000006,,,32018.56,215586.8,1006.7954,,13946.519999999999,1409.5283,1483.8314,79400.,,,,31300.,,,,,,,,,,,110700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,41,,,,,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634001,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s AN-4 [12787],KIMBERLITE [12787],45200000 [12787],45200000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,215347.30450000003,1198.68,,13972.226400000001,,44621.72,,,19940.13,184590.544,774.4580000000001,,11290.04,964.4141,654.6315,77000.,,,,16700.,,,,,,,,,,,93699.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,60,,,,,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634002,
[12787],INTRAPLATE VOLCANICS,CANADIAN SHIELD_CENOZOIC / SLAVE PROVINCE_CENOZOIC / LAC DE GRAS KIMBERLITE FIELD / AARON KIMBERLITE,EKATI DIAMOND MINE,64.7136,64.7136,-110.6194,-110.6194,SUBAERIAL,,,s AN-5 [12787],KIMBERLITE [12787],45200000 [12787],45200000 [12787],,EOCENE [12787],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12787] ,216422.405,1138.7459999999999,,15030.7284,,44411.899999999994,,,19797.19,182600.512,697.0122,,14112.55,1928.8282,785.5577999999999,62500.,,,,29000.,,,,,,,,,,,91500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,53,,,,,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634003,
