Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9973,65.9973,-117.4832,-117.4832,SUBAERIAL,485.64,485.64,s DJ-99-001 146.46 [15312],KIMBERLITE [15312],173100000 [15312],173100000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,190993.94100000002,4674.852,,9579.4431,,,,60240.75,45454.920000000006,253276.8,929.3496,,1079.195,0.,436.42100000000005,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,47,1317,,,103,1530,32,35,0,,,,,16,108,3,23,69,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,629942,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9973,65.9973,-117.4798,-117.4798,SUBAERIAL,440,440,s 2007-S [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,184169.39,4734.786,,8732.6415,,,,61717.62,50314.88,257317.168,1239.1328,,1411.255,0.,785.5577999999999,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,77,1581,,,94,1525,60,34,0,,,,,22,218,5,34,75,,,,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,61,,,,,,,,,,,,,,,,,,,,,,,,,629943,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9972,65.9972,117.48,117.48,SUBAERIAL,440.2,440.2,s JGG-001 125.80 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,185852.15600000002,4614.918,,9261.8925,,,,60318.479999999996,35592.060000000005,267930.67199999996,1006.7954,,1494.27,0.,610.9894,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,67,1451,,,94,1444,44,29,0,,,,,21,172,4,27,87,,,,,,,,,,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,11,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,629944,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9973,65.9973,-117.4832,-117.4832,SUBAERIAL,485.64,485.64,s DJ-99-001 201.10 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,176456.71250000002,5513.928,,9314.8176,,,,60707.13,70112.07,247306.70399999997,1084.2412000000002,,3569.645,0.,872.8420000000001,,,,,,,,,,,,,1700.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,77,1497,,,94,1355,59,35,3,,,,,40,296,4,33,100,,,,,,,,,,,,,963,,,,,,,,,,,,,,,,,,,,,,,,,14,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,629945,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9981,65.9981,-117.4803,-117.4803,SUBAERIAL,459.46,459.46,s 2006-J-10 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,210579.4675,3835.776,,20693.7141,,,,54100.08,43596.7,213898.28799999997,929.3496,,12120.19,0.,654.6315,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,47,974,,,83,1334,33,34,6,,,,,63,277,3,35,65,,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,11,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,629946,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.998,65.998,-117.4802,-117.4802,SUBAERIAL,451.28,451.28,s 2006-J-17 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,202679.81600000002,3416.2379999999994,,16089.2304,,,,53789.159999999996,44668.75,231084.92799999999,851.9038,,10376.875,0.,610.9894,,,,,,,,,,,,,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,43,933,,,88,1329,40,35,5,,,,,67,252,4,33,60,,,,,,,,,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,11,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,629947,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9984,65.9984,-117.4803,-117.4803,SUBAERIAL,465,465,s 2006-J-07 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,232408.682,4315.248,,22493.1675,,,,49980.39,46455.5,184047.808,851.9038,,10625.92,1780.4568,741.9157,,,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,47,899,,,80,1207,28,35,4,,,,,57,360,7,46,70,,,,,,,,,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,,10,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,629948,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.998,65.998,-117.4808,-117.4808,SUBAERIAL,430,430,s 2007-N [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,234792.6005,3775.8419999999996,,22599.0177,,,,52778.67,50100.47,176268.592,774.4580000000001,,12120.19,0.,829.1999000000001,,,,,,,,,,,,,1000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,50,860,,,76,1172,30,36,6,,,,,69,405,5,50,72,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,,,,,,,,12,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,629949,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9965,65.9965,-117.4793,-117.4793,SUBAERIAL,456.73,456.73,s 2006-J-12 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,197958.72250000003,4135.445999999999,,15930.4551,,,,57908.85,34877.36,243447.24799999996,929.3496,,6973.259999999999,0.,829.1999000000001,,,,,,,,,,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,57,1105,,,91,1331,42,38,4,,,,,51,87,5,37,81,,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,10,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,629950,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9964,65.9964,-117.4796,-117.4796,SUBAERIAL,455.77,455.77,s 2006-J-03 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,194826.90800000002,4854.654,,13866.3762,,,,58375.229999999996,53316.62,230964.31999999998,929.3496,,9463.71,0.,960.1262,,,,,,,,,,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,65,1194,,,88,1289,50,36,5,,,,,62,391,6,37,91,,,,,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,,14,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,629951,
[15312],INTRAPLATE VOLCANICS,CANADIAN SHIELD_MESOZOIC / SLAVE PROVINCE_MESOZOIC / NORTHERN SLAVE JURASSIC KIMBERLITE CLUSTER / JERICHO KIMBERLITE,,65.9968,65.9968,-117.4792,-117.4792,SUBAERIAL,457.46,457.46,s 2006-J-11 [15312],KIMBERLITE [15312],173000000 [15312],173000000 [15312],MIDDLE [15312],JURASSIC [15312],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15312] ,193564.8335,6532.8060000000005,,10955.4957,,,,66459.15000000001,31804.15,249779.168,1161.687,,3984.72,0.,1352.9051,,,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,93,1164,,,95,1354,68,35,4,,,,,40,86,6,50,137,,,,,,,,,,,,,1065,,,,,,,,,,,,,,,,,,,,,,,,,11,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,629952,
