Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / WAKEHAM GROUP / LAC MUSQUARO VOLCANIC CENTER,,50.67,50.67,-61.1,-61.1,SUBAERIAL,,,s 111A2 [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,APHYRIC [8900] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,350295.789,1318.548,,62610.3933,,,,10726.74,4288.2,904.56,154.8916,,45990.31,19288.282,130.9263,,,,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,0,115.3,,,0,0,16.6,44.4,,,,,,189,63,39.8,234.1,19.6,,,,,,,,,,,,3.2,517,59.1,126.6,14.28,51.87,8.96,0.66,7.87,1.12,7.19,1.44,4.43,0.63,4.27,0.62,6.9,1.14,,,,,,,,,31.7,,17.72,5.04,,,,,,,,,,,,,,,,,,,,,,,,,232288,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / WAKEHAM GROUP / LAC MUSQUARO VOLCANIC CENTER,,50.67,50.67,-61.1,-61.1,SUBAERIAL,,,s 111A [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,APHYRIC [8900] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,355764.7785,1258.6139999999998,,61234.3407,,,,13525.02,5503.1900000000005,904.56,154.8916,,46737.445,16246.6683,130.9263,,,,,,,,,,,,,,,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,0,131.9,,,0,29.6,21.2,32.2,,,,,,210,70,40,265.1,17.8,,,,,,,,,,,,4.3,496,55.8,116.4,13.04,46.98,9.06,0.7,7.98,1.11,7.17,1.44,4.25,0.6,4.19,0.6,7.53,1.07,,,,,,,,,30.8,,15.05,4.54,,,,,,,,,,,,,,,,,,,,,,,,,232289,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / WAKEHAM GROUP / LAC MUSQUARO VOLCANIC CENTER,,50.67,50.67,-61.1,-61.1,SUBAERIAL,,,s 111Y2 [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,APHYRIC [8900] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,346462.82200000004,1498.35,,65891.7495,,,,15001.89,5646.13,1507.6,387.22900000000004,,45077.145,21142.9245,130.9263,,,,,,,,,,,,,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0,147.3,,,0,23.4,8.8,59.2,,,,,,224,73,45.8,282.5,21,,,,,,,,,,,,7.4,559,61,132.2,15.2,53.38,9.61,0.68,7.97,1.23,7.72,1.56,4.75,0.72,4.55,0.72,8.06,1.59,,,,,,,,,32.3,,17.06,4.24,,,,,,,,,,,,,,,,,,,,,,,,,232290,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / WAKEHAM GROUP / LAC MUSQUARO VOLCANIC CENTER,,50.67,50.67,-61.1,-61.1,SUBAERIAL,,,s 111Y [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,APHYRIC [8900] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,358195.4405,1318.548,,60440.4642,,,,13369.56,4859.96,1206.08,309.7832,,43582.875,17804.568,130.9263,,,,,,,,,,,,,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,0,127.9,,,0,0,11.1,48.6,,,,,,194,90,41.8,217.2,16.8,,,,,,,,,,,,5.6,582,50.9,110.3,12.68,45.71,8.44,0.72,7.27,1.14,7.35,1.52,4.67,0.7,4.46,0.71,6.26,1.06,,,,,,,,,34,,15.9,4.88,,,,,,,,,,,,,,,,,,,,,,,,,232291,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / WAKEHAM GROUP / LAC MUSQUARO VOLCANIC CENTER,,50.67,50.67,-61.1,-61.1,SUBAERIAL,,,s 112K [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,APHYRIC [8900] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,353380.86,1498.35,,62239.9176,,,,13136.369999999999,5145.84,964.8639999999999,232.3374,,48978.850000000006,16988.5253,130.9263,,,,,,,,,,,,,,,,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,0,105.6,,,0,13.2,14.7,42,,,,,,177,119,41.6,240.7,15.9,,,,,,,,,,,,4.6,635,56.2,120.3,13.85,49.16,8.81,0.75,7.53,1.11,7.02,1.37,4.21,0.61,3.99,0.62,6.98,0.75,,,,,,,,,33.1,,14.22,2.66,,,,,,,,,,,,,,,,,,,,,,,,,232292,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / LA ROMAINE SUPRACRUSTAL BELT / LA ROMAINE-HAVRE BLUFF VOLCANIC CENTERS,,50.2,50.2,-60.6,-60.6,SUBAERIAL,,,s 354A1 [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,340713.3715,2097.6899999999996,,67902.9033,,,,22774.890000000003,14151.06,3859.4559999999997,387.22900000000004,,42669.71,19733.3962,218.21050000000002,,,,,,,,,,,,,,,,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,23.5,121.7,,,0,0,0,72.8,,,,,,257,167,50.7,470.9,19.8,,,,,,,,,,,,2.2,829,66.7,138.4,16.01,57.25,10.29,1.35,8.35,1.25,8.33,1.66,4.93,0.76,4.82,0.72,10.46,1.42,,,,,,,,,23.8,,18.77,3.92,,,,,,,,,,,,,,,,,,,,,,,,,232293,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / LA ROMAINE SUPRACRUSTAL BELT / LA ROMAINE-HAVRE BLUFF VOLCANIC CENTERS,,50.2,50.2,-60.6,-60.6,SUBAERIAL,,,s 520A [8900],RHYOLITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,320894.12750000006,3835.776,,73354.1886,,,,31169.73,22584.52,4884.624,464.6748,,34285.195,21291.2959,785.5577999999999,,,,,,,,,,,,,,,,4200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,50.4,166.8,,,0,0,24.3,88.1,,,,,,158,263,44.1,405.9,17.6,,,,,,,,,,,,2.1,916,60.2,123.2,14.63,52.57,9.4,1.5,7.7,1.14,7.37,1.47,4.22,0.62,3.92,0.58,8.81,1.13,,,,,,,,,15.6,,17.6,3.54,,,,,,,,,,,,,,,,,,,,,,,,,232294,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / LA ROMAINE SUPRACRUSTAL BELT / LA ROMAINE-HAVRE BLUFF VOLCANIC CENTERS,,50.2,50.2,-60.6,-60.6,SUBAERIAL,,,s 111PNO [8900],DACITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,310797.5315,3955.644,,75312.4173,,,,52700.94,28588,14352.351999999999,851.9038,,17433.15,17285.2681,523.7052,,,,,,,,,,,,,,,,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,114.2,158.1,,,22.8,48.3,71.4,91.5,,,,,,169,384,21,162.4,9,,,,,,,,,,,,29.9,512,35.6,69.7,8.67,32.75,5.85,1.26,4.74,0.67,4.16,0.79,2.36,0.34,2.21,0.35,4.16,0.57,,,,,,,,,18.5,,7.4,3.27,,,,,,,,,,,,,,,,,,,,,,,,,232295,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / LA ROMAINE SUPRACRUSTAL BELT / LA ROMAINE-HAVRE BLUFF VOLCANIC CENTERS,,50.2,50.2,-60.6,-60.6,SUBAERIAL,,,s 295A [8900],DACITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,329074.24000000005,3536.1059999999998,,77535.2715,,,,22697.16,15508.99,5849.487999999999,619.5664,,30217.460000000003,32938.4508,698.2736,,,,,,,,,,,,,,,,3400.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,25.8,93.3,,,0,0,0,70.6,,,,,,109,386,27.7,207.2,11.2,,,,,,,,,,,,3.1,905,38.8,82.7,9.4,35.6,6.13,1.26,5.03,0.67,4.36,0.85,2.58,0.39,2.47,0.38,5.08,0.74,,,,,,,,,26.5,,10.98,3.38,,,,,,,,,,,,,,,,,,,,,,,,,232296,
[8900],INTRAPLATE VOLCANICS,CANADIAN SHIELD_PROTEROZOIC / GRENVILLE PROVINCE_PROTEROZOIC / LA ROMAINE SUPRACRUSTAL BELT / LA ROMAINE-HAVRE BLUFF VOLCANIC CENTERS,,50.2,50.2,-60.6,-60.6,SUBAERIAL,,,s 353A [8900],DACITE [8900],1500000000 [8900],1500000000 [8900],,PROTEROZOIC [8900],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8900] ,307992.92150000005,3895.71,,77482.34640000001,,,,42362.85,33590.9,11457.759999999998,774.4580000000001,,20919.78,24926.3952,698.2736,,,,,,,,,,,,,,,,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,77.2,203.4,,,11.9,50.4,7.7,96,,,,,,110,278,32.1,244,14.4,,,,,,,,,,,,2.7,660,34.5,74.5,9.1,33.9,6.4,1.32,5.51,0.82,5.29,1.04,3.1,0.46,3.1,0.49,5.58,1.16,,,,,,,,,17.9,,8.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,232297,
