Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, ICE BASE AREA",43.25,43.25,42.54,42.54,SUBAERIAL,,,s 393 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,314677.24199999997,4734.786,,82086.8301,,,,29926.05,25300.38,7417.392,464.6748,,24572.44,30416.136999999995,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,30,,,9,,,,,,,,,150,280,,,,,,,,,,,,,,,,491,,,,26,4.5,,,,,,,,,,,,,,,,,,,,,,,,0.51258,,,0.705586,,,,,,,,,,,,,,,,,,,,,512066,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, CONFLUENCE OF PRAVAYA AND LEVAYA GARABASHI RIVERS, RIGHT SIDE OF GARABASHI VALLEY",43.25,43.25,42.54,42.54,SUBAERIAL,,,s AZ-19 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,309114.7655,4135.445999999999,,85791.5871,,,,28293.72,24514.210000000003,11216.544,697.0122,,27477.965,29674.28,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,75,,,9,31,16,51,9,,,,,175,280,6,204,,,,,,,,,,,,,,414,,,,42,7.1,,,,,,,,,,,,,,,,,,,,29,,,,0.512565,,,0.705776,,,,,,,,,,,,,,,,,,,,,512068,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, LEFT SIDE OF THE TERSKOL RIVER VALLEY, ABOVE SETTLEMENT OF TERSKOL",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-1 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,327671.935,4195.379999999999,,73777.5894,,,,26894.579999999998,20940.710000000003,5608.272,464.6748,,29387.31,26929.409099999997,1309.263,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,9,,68,22,,,6,15,22,61,22,,,,,175,290,21,233,17,,,,,,,,,,,,,470,,,,33,5.7,,,,,,,,,,,,,,,,,,,,28,,,,0.512587,,,0.705815,,18.6516,,15.6595,,38.8455,,,,,,,,,,,,,,,512078,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, CONFLUENCE OF PRAVAYA AND LEVAYA GARABASHI RIVERS, RIGHT SIDE OF GARABASHI VALLEY",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-2 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,317248.13450000004,3775.8419999999996,,82192.6803,,,,26350.47,26944.19,6331.92,464.6748,,26149.725,29006.6087,1047.4104,,,,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,10,,58,28,,,7,13,18,62,23,,,,,170,285,21,209,13,,,,,,,,,,,,,466,,,,24,4,,,,,,,,,,,,,,,,,,,,23,,,,0.512568,,,0.70576,,18.6705,,15.6536,,38.8253,,,,,,,,,,,,,,,512079,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, TERSKOL RIVER VALLEY, RIGHT SIDE OF TERSKOL RIVER, 1 KM ABOVE TERSKOL SETTLEMENT",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-3 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,319024.3875,3775.8419999999996,,82139.7552,,,,25262.25,26300.960000000003,5125.839999999999,464.6748,,27062.89,28709.8659,1091.0525,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,8,,68,20,,,5,14,20,55,25,,,,,175,280,21,215,15,,,,,,,,,,,,,401,,,,25,5,,,,,,,,,,,,,,,,,,,,25,,,,0.512567,,,0.705811,,18.6427,,15.6512,,38.82,,,,,,,,,,,,,,,512080,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, WATERSHED OF BOL^SHOI AND MALYI AZAU GLACIERS",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-4 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,319491.8225,3955.644,,79017.1743,,,,27905.07,26015.08,7176.1759999999995,464.6748,,24904.5,28932.423,1134.6946,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,13,,65,26,,,10,13,29,67,21,,,,,155,285,20,221,12,,,,,,,,,,,,,421,,,,29,5,,,,,,,,,,,,,,,,,,,,27,,,,0.512615,,,0.705527,,18.6322,,15.6487,,38.8108,,,,,,,,,,,,,,,512081,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, STARYI KRUGOZOR",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-5 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,323184.559,4075.512,,76370.91930000001,,,,27205.5,24299.8,6512.832,464.6748,,26232.74,28784.0516,1134.6946,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,12,,61,20,,,8,13,23,62,22,,,,,150,320,20,226,12,,,,,,,,,,,,,425,,,,31,5,,,,,,,,,,,,,,,,,,,,28,,,,0.512618,,,0.705503,,18.6654,,15.6558,,38.8173,,,,,,,,,,,,,,,512082,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, STARYI KRUGOZOR",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-6 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,324306.403,3715.908,,77323.5711,,,,24018.57,21655.41,6573.136,464.6748,,29802.385,28858.2373,1265.6209,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,7,,62,18,,,8,13,21,57,20,,,,,220,220,21,213,15,,,,,,,,,,,,,440,,,,34,6,,,,,,,,,,,,,,,,,,,,28,,,,0.512575,,,0.705826,,18.6338,,15.652,,38.8263,,,,,,,,,,,,,,,512083,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, LAVAS OF WATERSHED OF IRIK AND IRIKCHAT GLACIERS",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-7 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,329120.98350000003,3416.2379999999994,,76000.4436,,,,21919.859999999997,19868.66,7115.871999999999,387.22900000000004,,30881.58,26410.1092,916.4841,,,,,,,,,,,,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,337,,,9,,49,14,,,8,12,11,53,22,,,,,200,210,19,191,14,,,,,,,,,,,,,510,,,,28,5,,,,,,,,,,,,,,,,,,,,30,,,,0.512565,,,0.706016,,18.6464,,15.6534,,38.8297,,,,,,,,,,,,,,,512084,
[14123],INTRAPLATE VOLCANICS,CAUCASUS / GREATER CAUCASUS / ELBRUS NEOVOLCANIC AREA / ELBRUS,"SOUTHERN SLOPE OF ELBRUS, AZAU VALLEY, WESTERN SUMMIT OF ELBRUS VOLCANO",43.25,43.25,42.54,42.54,SUBAERIAL,,,s E-8 [14123],DACITE [14123],,,UPPER [14123],QUATERNARY [14123],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14123] ,326176.14300000004,3715.908,,76423.8444,,,,24562.68,21726.88,6573.136,387.22900000000004,,27893.039999999997,28709.8659,916.4841,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,289,,,8,,51,17,,,8,11,23,58,19,,,,,180,245,20,206,12,,,,,,,,,,,,,415,,,,33,5.7,,,,,,,,,,,,,,,,,,,,23,,,,0.512586,,,0.705566,,18.643,,15.6555,,38.8305,,,,,,,,,,,,,,,512085,
