Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B1 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,221423.9595,14084.49,,74624.391,,,,87834.90000000001,48099.310000000005,47821.07199999999,1084.2412000000002,,9297.68,33383.565,916.4841,,,,,,,,,,,,,,,,29900.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,305,90,,,55,119,122,118,,,,,,20,395,24,164,30,,,,,,,,,,,,0.4,179,28.73,56.4,6.43,26.61,5.59,2.02,5.77,0.83,4.96,0.99,2.28,0.34,1.97,0.31,4,2.11,,,,,,,,,7,,2.97,0.7,,,,,,,,,,,,,,,,,,,,,,,,,566304,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B2 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,214833.12600000002,13904.687999999998,,78434.9982,,,,96074.28,56890.12,42031.888,1239.1328,,16021.894999999999,28190.566,1091.0525,,,,,,,,,,,,,,,,20900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,252,175,,,40,86,128,90,,,,,,37,410,23,160,27,,,,,,,,,,,,0.59,345,25.65,51.33,5.9,24.57,5.49,1.81,6.02,0.95,5.24,0.98,2.8,0.37,1.85,0.3,4,1.7,,,,,,,,,5,,2.98,0.51,,,,,,,,,,,,,,,,,,,,,,,,,566305,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B3 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,213056.87300000002,16122.246,,81875.1297,,,,86979.87,59605.979999999996,46313.471999999994,1394.0244,,9131.650000000001,29303.3515,1178.3367,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,304,85,,,50,111,169,118,,,,,,21,495,25,158,30,,,,,,,,,,,,0.4,181,28.7,60.04,6.69,26.5,5.38,2.15,6.25,0.96,5.17,0.98,2.64,0.35,2.08,0.33,4,2,,,,,,,,,8,,3,0.62,,,,,,,,,,,,,,,,,,,,,,,,,566306,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B4 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,217170.301,13724.885999999999,,82616.0811,,,,104235.93000000001,50529.29,33890.848,1161.687,,8882.605000000001,30416.136999999995,1221.9788,,,,,,,,,,,,,,,,22100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,70,,,52,78,301,127,,,,,,17,389,23,155,29,,,,,,,,,,,,0.25,194,29.9,59.8,6.79,27.5,5.71,2.11,6.23,0.93,4.92,0.92,2.41,0.3,1.81,0.25,4,1.8,,,,,,,,,8,,2.83,0.65,,,,,,,,,,,,,,,,,,,,,,,,,566307,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B5 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,203100.50750000004,14563.962,,77799.897,,,,94441.95,62107.42999999999,54454.511999999995,1394.0244,,7969.44,26335.923499999997,1178.3367,,,,,,,,,,,,,,,,32599.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,220,,,62,164,158,121,,,,,,17,260,22,154,29,,,,,,,,,,,,0.33,144,24.5,52.4,6.17,25.3,5.62,2,5.93,0.91,4.71,0.89,2.4,0.29,1.74,0.26,4,1.7,,,,,,,,,6,,2.68,0.67,,,,,,,,,,,,,,,,,,,,,,,,,566308,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B6 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,226191.79650000003,11687.13,,82351.4556,,,,79362.33,60820.97,35036.623999999996,1006.7954,,17018.074999999997,32567.522299999997,1134.6946,,,,,,,,,,,,,,,,17800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,70,,,41,83,131,78,,,,,,28,442,20,120,26,,,,,,,,,,,,0.61,353,22.1,45,5.11,20.4,4.28,1.64,4.81,0.78,4.01,0.79,2.15,0.28,1.72,0.26,3,1.6,,,,,,,,,5,,2.66,0.52,,,,,,,,,,,,,,,,,,,,,,,,,566309,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B7 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,221050.01150000002,11087.789999999999,,72031.0611,,,,70656.56999999999,67682.09000000001,53067.520000000004,1006.7954,,830.1500000000001,34125.422,785.5577999999999,,,,,,,,,,,,,,,,34000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,210,,,43,116,86,193,,,,,,3,115,20,125,25,,,,,,,,,,,,0.34,195,22.2,44.8,5.13,20.4,4.42,1.67,4.99,0.79,4.11,0.83,2.18,0.3,1.75,0.25,3,1.6,,,,,,,,,8,,2.62,0.59,,,,,,,,,,,,,,,,,,,,,,,,,566310,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s B8 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,214085.23,13844.753999999999,,84521.38470000001,,,,90944.09999999999,62250.37,40162.464,1471.4702,,8467.53,26039.180699999997,1134.6946,,,,,,,,,,,,,,,,25400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,70,,,53,106,166,124,,,,,,19,548,25,153,31,,,,,,,,,,,,0.37,173,27.5,57.1,6.55,26.4,5.49,2.18,6.27,0.99,5.25,1.02,2.73,0.38,2.17,0.33,4,1.9,,,,,,,,,8,,3.09,0.66,,,,,,,,,,,,,,,,,,,,,,,,,566311,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s BA-1 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,220068.39800000002,13425.216,,76000.4436,,,,90710.91,38307.920000000006,48605.024,1394.0244,,10293.86,32048.222400000002,785.5577999999999,,,,,,,,,,,,,,,,32400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,288,63,,,,96,67,129,,,,,,26,73,25,173,31,,,,,,,,,,,,,183,26.6,52.52,6.22,27.16,5.9,1.9,5.64,0.78,5.06,1.08,2.42,0.36,2.27,0.33,4,2.28,,,,,,,,,2,,3.2,0.62,,,,,,,,,,,,,,,,,,,,,,,,,566312,
[15729],INTRAPLATE VOLCANICS,CENTRAL-EAST IRANIAN MICROCONTINENT / YAZD BLOCK / BAYAZEH AREA,,33.17,33.33,54,55,SUBAERIAL,,,s BA-2 [15729],"BASALT, ALKALINE [15729]",,,,PALEOZOIC [15729],,,,FINE-GRAINED APHANITIC [15729] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [15729] ,217824.71000000002,13425.216,,70972.5591,,,,90399.99,57890.7,46373.776,1394.0244,,17018.074999999997,25223.138,1221.9788,,,,,,,,,,,,,,,,27599.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,276,162,,,46,126,,103,,,,,,53,314,27,156,29,,,,,,,,,,,,,377,24.84,48.12,6.02,25.71,5.2,1.89,5.93,1.05,5.53,0.96,3.12,0.41,1.9,0.32,4,1.81,,,,,,,,,6,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,566313,
