Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-1 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,212215.49000000002,19778.219999999998,,71448.88500000001,,,,109832.49,67181.8,32564.16,1548.9160000000002,,8301.5,22997.567,2618.526,,,,,,,,,,,,,,,,19000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,50,73,,,,,,,27,495,27,166,24,,,,,,,,,,,,,543,30,68,9,39,7.9,3.1,6.8,1.07,5.7,1.11,3,0.35,2.3,0.33,4.3,1.6,,,,,,,,,,,3.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,200097,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-2 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,213150.36000000002,20377.559999999998,,71448.88500000001,,,,109132.92,66467.1,31961.119999999995,1548.9160000000002,,7471.35,22997.567,2618.526,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,45,78,,,,,,,18,560,28,177,26,,,,,,,,,,,,,482,33,74,9.6,42,8.4,3.2,7.2,1.16,6.1,1.16,3.1,0.38,2.5,0.36,4.5,1.7,,,,,,,,,,,3.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,200098,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-3 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,224368.80000000002,16182.18,,74095.14,,,,92343.24,63608.3,34373.28,1548.9160000000002,,10791.95,22255.71,1745.6840000000002,,,,,,,,,,,,,,,,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,86,88,,,,,,,25,580,31,189,23,,,,,,,,,,,,,279,28,61,7.8,33,7.2,2.5,6.7,1.13,6.4,1.24,3.4,0.44,2.8,0.42,4.8,1.5,,,,,,,,,,,3.8,1,,,,,,,,,,,,,,,,,,,,,,,,,200099,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-4 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,219227.015,14983.5,,74095.14,,,,87446.25,74328.8,39800.63999999999,1548.9160000000002,,7471.35,19288.282,1745.6840000000002,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,118,144,,,,,,,26,270,28,177,20,,,,,,,,,,,,,241,23,53,6.9,30,6.5,2.2,6.1,1.04,5.8,1.13,3,0.39,2.6,0.37,4.5,1.3,,,,,,,,,,,3.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,200100,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-5 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,224368.80000000002,14983.5,,72507.387,,,,90244.53,69325.9,37991.52,1548.9160000000002,,6641.200000000001,21513.853,1309.263,,,,,,,,,,,,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,106,138,,,,,,,16,351,28,184,21,,,,,,,,,,,,,254,24,54,7,30,6.5,2.2,6,1.02,5.7,1.14,3,0.4,2.5,0.37,4.7,1.4,,,,,,,,,,,3.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,200101,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-13 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,208008.575,22774.92,,73036.638,,,,106334.64,50743.7,37991.52,1548.9160000000002,,9961.8,20771.996,3491.3680000000004,,,,,,,,,,,,,,,,37000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,88,135,,,,,,,32,346,28,163,25,,,,,,,,,,,,,414,31,70,9.2,40.28,8.26,3.4,7.2,1.12,6.1,1.15,3.1,0.38,2.4,0.36,4.2,1.7,,,,,,,,,,,3.1,0.8,0.51254,,,,,,,,,,,,,,,,,,,,,,,,200102,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-14 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,217824.71000000002,17380.859999999997,,69861.132,,,,104935.5,62178.899999999994,30152.,1548.9160000000002,,8301.5,22997.567,2618.526,,,,,,,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,,42.2,104.3,,,,,,,32.09,879,32.71,178,26.66,,,,,,,,,,,,,582,38.46,85.38,11.11,47.61,9.47,3.37,8.17,1.3,6.87,1.32,3.51,0.43,2.81,0.41,4.41,1.7,,,,,,,,,,,3.8,0.95,,,,,,,,,,,,,,,,,,,,,,,,,200103,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-15 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,218759.58000000002,16781.519999999997,,72507.387,,,,100038.51,48599.6,33770.24,1548.9160000000002,,9961.8,26706.852,2618.526,,,,,,,,,,,,,,,,39000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,53,66,,,,,,,23,206,40,226,29,,,,,,,,,,,,,422,36,81,10.7,47.31,10.19,3.9,9.1,1.52,8.4,1.62,4.3,0.55,3.6,0.53,5.8,1.9,,,,,,,,,,,4.7,1.2,0.512508,,,,,,,,,,,,,,,,,,,,,,,,200104,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-16 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,217824.71000000002,20377.559999999998,,70390.383,,,,106334.64,71470,30755.039999999997,2323.374,,9131.650000000001,18546.425,2618.526,,,,,,,,,,,,,,,,26000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,49,77,,,,,,,39,950,36,213,28,,,,,,,,,,,,,415,34,76,9.7,43.28,9.61,3.1,8.2,1.38,7.7,1.5,3.9,0.5,3.3,0.48,5.5,1.9,,,,,,,,,,,4.2,1.1,0.512534,,,,,,,,,,,,,,,,,,,,,,,,200105,
[7891],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / YUNNAN PROVINCE / BOGEXI CROSS SECTION,YIDUN TERRANE,30.32,30.32,99.35,99.35,SUBAERIAL,,,s B02-17 [7891],BASALT [7891],,,UPPER [7891],PERMIAN [7891],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7891] ,223433.93,19778.219999999998,,67744.12800000001,,,,107733.78,45740.8,27739.839999999997,2323.374,,4150.75,28190.566,3054.9469999999997,,,,,,,,,,,,,,,,38000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,43,47,,,,,,,18,262,37,212,28,,,,,,,,,,,,,1155,34,75,9.8,42,8.9,2.8,8.3,1.37,7.5,1.47,3.9,0.49,3.3,0.47,5.4,1.8,,,,,,,,,,,4.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,200106,
