Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[6753],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND,,33,33.8,126,127,SUBAERIAL,,,s JJ-NW [6753],"BASALT, OLIVINE [6753]",,,,QUATERNARY [6753],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [6753] ,229650.81550000003,14264.291999999998,,77164.7958,,13848.119999999999,69101.97,,63536.83,50836.272,1161.687,,11456.07,24555.4667,2094.8208,,2300.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,264,,,38,70,,,,,,,,22,396,26,203,40,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213542,
[6753],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND,,33,33.8,126,127,SUBAERIAL,,,"s JJ-KY,KY-13 [6753]",HAWAIITE [6753],,,,QUATERNARY [6753],,,,APHYRIC [6753] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [6753] ,231146.60750000004,16182.18,,89602.1943,,33361.38,52545.479999999996,,54817.49,29548.96,1316.5786,,12286.22,26706.852,2924.0207,,2600.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,43,,,46,64,,170,,,,,,27,514,27,205,43,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213543,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND,VOLCANIC CONES,33,33.8,126,127,SUBAERIAL,,,s CJ42 [7738],NOT GIVEN [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,227266.897,14743.764,,94047.9027,,81410.16,,,52458.979999999996,23820.079999999998,1316.5786,,19342.495,30267.7656,4407.8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,113,,,,,,57.8,1160,17.3,381,65,,,,,,,,,,,,,827,31.8,64.4,7.88,32.2,6.41,2.9,5.53,0.768,4.03,0.7,1.78,0.225,1.4,0.201,,,,,,,,,,,3.75,,6.65,0.677,0.512741,,,0.704494,,19.07,,15.67,,39.812,,,,,,,,,,,,,,,236390,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND / SEOGUIPO FORMATION,,33,33.8,126,127,SUBAERIAL,,,s CJ08 [7738],TRACHYANDESITE [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,229463.84150000004,13605.018,,98546.5362,,73157.24,,,59320.100000000006,17005.728,1703.8076,,19674.555,30490.3227,4582.4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,112,,,,,,61.7,1096,30.8,403,68,,,,,,,,,,,,,699,47.4,99.5,11.6,46.1,8.9,3.05,7.83,1.12,6.17,1.14,3.1,0.412,2.62,0.378,,,,,,,,,,,4.52,,7.34,1.5,0.512756,,,0.704928,,19.004,,15.67,,39.451,,,,,,,,,,,,,,,236391,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND / SANBANGSAN FORMATION,,33,33.8,126,127,SUBAERIAL,,,s CJ22 [7738],TRACHYTE [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,251059.3385,10248.714,,100293.0645,,58050.200000000004,,,40523.49,12060.8,1548.9160000000002,,28225.1,38799.121100000004,2836.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,110,,,,,,96,1219,26,545,92,,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,236392,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND / SEOGUIPO FORMATION,,33,33.8,126,127,SUBAERIAL,,,s CJ21 [7738],TRACHYANDESITE [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,262371.26550000004,7551.683999999999,,101616.192,,49937.159999999996,,,31875.62,8261.648000000001,1471.4702,,31628.715,41989.1062,1963.8945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,111,,,,,,113,1072,20.9,601,109,,,,,,,,,,,,,1237,66.2,145,13.2,45.8,7.74,3.1,5.82,0.873,4.61,0.872,2.37,0.336,2.15,0.323,12.6,6.74,,,,,,,,,8.07,,14.8,3.41,0.512741,,,0.704629,,19.179,,15.68,,39.996,,,,,,,,,,,,,,,236393,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND / SEOGUIPO FORMATION,,33,33.8,126,127,SUBAERIAL,,,s CJ07 [7738],TRACHYANDESITE [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,263680.0835,7072.2119999999995,,103362.72030000002,,45251.18,,,39237.03,7055.567999999999,1936.145,,26647.815,43472.8202,1658.3998000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,104,1040,32,566,97,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,236394,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND,,33,33.8,126,127,SUBAERIAL,,,s CJ04 [7738],BASALT [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,281910.04850000003,4614.918,,101722.0422,,32242.340000000004,,,25300.38,3678.544,2168.4824000000003,,33039.97,48294.890699999996,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,79,,,,,,101,817,30.4,646,111,,,,,,,,,,,,,1126,63.9,128,14.5,54.1,9.8,3.44,7.71,1.15,6.46,1.22,3.47,0.485,3.2,0.479,14.12,7.55,,,,,,,,,5.28,,12.3,3.2,0.512752,,,0.705019,,18.904,,15.673,,39.428,,,,,,,,,,,,,,,236395,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND / SHIUNGRI FORMATION,,33,33.8,126,127,SUBAERIAL,,,s CJ10 [7738],BASALT [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,220348.85900000003,14324.226,,73248.33840000001,,86865.48,,,68253.85,59399.439999999995,1239.1328,,11290.04,20846.1817,1876.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,48,97,,,,,,31.9,503,17.1,195,37.5,,,,,,,,,,,,,394,20.6,41.6,5.14,21.7,5.05,1.83,4.89,0.705,3.91,0.695,1.8,0.218,1.4,0.188,4.85,2.34,,,,,,,,,2.3,,4.28,0.882,0.512795,,,0.704493,,18.868,,15.643,,39.394,,,,,,,,,,,,,,,236396,
[7738],INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / KOREA - CENOZOIC/QUATERNARY / JEJU ISLAND,,33,33.8,126,127,SUBAERIAL,,,s CJ12 [7738],BASALT [7738],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7738] ,223761.13450000001,18819.275999999998,,86003.2875,,94279.12000000001,,,59320.100000000006,32684.767999999996,1161.687,,11040.995,27077.780499999997,2443.9576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,30,113,,,,,,26,544,20,219,34,,,,,,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,236397,
