Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-01 [14557],BASALT [14557],,,,PALEOCENE [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,3596.0399999999995,,36041.9931,,,,46482.54,20869.239999999998,11578.367999999999,1139.9381794706276,,8052.455,,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,370,,,,47.9,,66,79,,,,,,19.7,161,21.2,63.1,2,,,,,,,,,,,,2.7,179,6.7,13.7,1.85,8.7,2.4,0.9,3.27,0.56,3.59,0.78,2.46,0.25,1.6,0.29,2,,,,,,,,,,44,,1.6,0.32,,,,,,,,,,,,,,,,,,,,,,,,,616671,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / KUCHAKI VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-02 [14557],BASALT [14557],,,,CRETACEOUS [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,2756.964,,39587.9748,,,,36066.719999999994,12006.96,12482.927999999998,889.9517366042588,,9131.650000000001,,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,239,40,,,39,,45,70,,,,,,26,148,25.4,110,5,,,,,,,,,,,,0.3,206,14.5,28.7,3.53,14.9,3.6,1.06,4.12,0.71,4.19,0.91,3.03,0,0,0,3,,,,,,,,,,0,,5,0.92,,,,,,,,,,,,,,,,,,,,,,,,,616672,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / KUCHAKI VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-20 [14557],BASALT [14557],,,,CRETACEOUS [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,4435.116,,39058.7238,,,,62572.65000000001,34234.13,16583.6,419.977224015494,,3071.555,,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,520,20,,,81.4,,39,16,,,,,,10.4,228,36,61.1,1,,,,,,,,,,,,0.8,125,3.9,11.4,1.98,11.1,3.9,1.36,5.7,1.01,6.38,1.4,4.35,0.29,1.9,0.32,2,,,,,,,,,,0,,0.7,0.23,,,,,,,,,,,,,,,,,,,,,,,,,616673,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-21 [14557],DACITE [14557],,,,CRETACEOUS [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,3596.0399999999995,,40593.5517,,,,38243.159999999996,20940.710000000003,10131.071999999998,249.98644286636502,,3652.66,,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,246,10,,,87.8,,36,10,,,,,,4.9,114,38.9,81.2,2,,,,,,,,,,,,0.2,77.8,11.8,28.1,3.94,18.5,4.8,1.47,6.04,1.05,6.47,1.42,4.68,0.22,1.4,0.24,2,,,,,,,,,,5,,2.1,0.36,,,,,,,,,,,,,,,,,,,,,,,,,616674,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-23 [14557],BASALT [14557],,,,PALEOCENE [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,2337.426,,44933.409900000006,,,,50291.31,41309.66,16885.12,1489.9191994835348,,7969.44,,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,318,40,,,84.5,,141,153,,,,,,35.3,333,12.8,37.6,1,,,,,,,,,,,,8.5,226,4.4,9.1,1.35,6,1.7,0.62,2.04,0.32,2.23,0.47,1.51,0.34,2.2,0.36,1,,,,,,,,,,9,,1.4,0.34,,,,,,,,,,,,,,,,,,,,,,,,,616675,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-25 [14557],BASALT [14557],,,,PALEOCENE [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,2996.7,,45039.2601,,,,44306.1,38379.39,12724.143999999998,1519.917572627501,,3652.66,,349.1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,322,10,,,119,,53,97,,,,,,10.6,377,15.9,52.6,2,,,,,,,,,,,,3.6,166,6.9,14.1,1.97,8.6,2.1,0.85,2.38,0.41,2.7,0.55,1.95,0.36,2.3,0.39,2,,,,,,,,,,8,,1.9,0.45,,,,,,,,,,,,,,,,,,,,,,,,,616676,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-27 [14557],DIORITE [14557],,,,CRETACEOUS [14557],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14557] ,,2217.558,,44457.084,,,,38398.62,36664.11,12362.319999999998,1059.9425177533924,,9546.724999999999,,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,245,10,,,281,,48,78,,,,,,50.9,373,16.2,55.7,3,,,,,,,,,,,,2.1,413,9.7,18.5,2.32,10.5,2.4,0.79,2.85,0.43,2.59,0.58,1.87,0.42,2.6,0.42,1,,,,,,,,,,7,,1.7,0.49,,,,,,,,,,,,,,,,,,,,,,,,,616677,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / KUCHAKI VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-29 [14557],BASALT [14557],,,,CRETACEOUS [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,3775.8419999999996,,42869.331,,,,53245.049999999996,36378.229999999996,16583.6,4189.7727824402855,,830.1500000000001,,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,276,0,,,116,,37,329,,,,,,0.5,339,29,67.2,1,,,,,,,,,,,,0.2,45.2,6,13.7,2.14,10.6,3.2,1.1,4.35,0.76,4.76,1.06,3.37,0.6,3.5,0.53,2,,,,,,,,,,16,,1.3,0.28,,,,,,,,,,,,,,,,,,,,,,,,,616678,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / KOH-E-SALTAN (SULTAN) VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-30 [14557],BASALT [14557],,,,QUATERNARY [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,1558.2839999999999,,38952.873600000006,,,,24174.03,23370.69,12482.927999999998,629.9658360232406,,17433.15,,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,151,40,,,60.4,,133,65,,,,,,56.7,1230,10.1,80.2,3,,,,,,,,,,,,3.7,1070,27,47.1,5.31,20.8,3.6,0.97,2.97,0.38,1.78,0.34,1.06,0.29,1.7,0.32,2,,,,,,,,,,10,,8,2.54,,,,,,,,,,,,,,,,,,,,,,,,,616679,
[14557],INTRAPLATE VOLCANICS,CHAGAI-RASKOH ARC / CHAGAI ARC / SANJARANA VOLCANIC GROUP,,29,29.2,64.5,66,SUBAERIAL,,,s 07-31 [14557],BASALT [14557],,,,PALEOCENE [14557],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14557] ,,2637.096,,40434.7764,,,,39175.92,36378.229999999996,14533.264,969.947398321494,,6226.125,,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,263,50,,,81.6,,114,50,,,,,,30.9,242,22.6,89.1,2,,,,,,,,,,,,2.1,234,9.2,18.7,2.52,11.7,3,0.78,3.46,0.59,3.74,0.8,2.55,0.27,1.7,0.29,2,,,,,,,,,,0,,2.7,0.74,,,,,,,,,,,,,,,,,,,,,,,,,616680,
