Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV64A [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,235119.805,19178.88,,127020.24,,,,49669.469999999994,12149.9,10854.72,154.8916,,2656.48,14095.283,567.3473,,,,,,,,,,,,,,,,93800.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,,,,,,,,,,,,0,373,28,249,47,,,,,,,,,,,,,348,34.43,90.66,,48,11.18,2.66,7.96,,4.68,0.74,1.39,,0.85,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455872,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV63A [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,235587.24000000002,10788.119999999999,,74624.391,,,,79750.98,64323,52464.479999999996,1161.687,,5146.93,22997.567,1352.9051,,,,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,5,397,22,129,27,,,,,,,,,,,,,271,16.42,29.03,,12.93,3.11,0.99,2.89,,1.76,0.26,0.54,,0.37,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455873,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV5 [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,238391.85,10788.119999999999,,73565.88900000001,,,,77652.27,63608.3,50655.36,1161.687,,5728.035,20771.996,1265.6209,,,,,,,,,,,,,,,,3300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,0,399,21,121,21,,,,,,,,,,,,,540,14.06,28.02,,14.01,3.5,1.19,3.46,,2.49,0.39,0.81,,0.6,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455874,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV54 [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,234652.37000000002,11387.46,,75682.89300000001,,,,79750.98,65752.4,51258.399999999994,1161.687,,6475.17,20771.996,1352.9051,,,,,,,,,,,,,,,,5600.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,8,404,21,124,25,,,,,,,,,,,,,419,15.79,32.14,,15.74,4.09,1.35,4,,2.92,0.48,0.98,,0.69,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455875,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV62 [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,236522.11000000002,11387.46,,73036.638,,,,79750.98,63608.3,51258.399999999994,1161.687,,5728.035,21513.853,1265.6209,,,,,,,,,,,,,,,,4800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,5,395,24,126,23,,,,,,,,,,,,,565,17.83,34.75,,16.61,4.37,1.29,4.06,,2.83,0.47,0.96,,0.67,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455876,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV66A [8786],"ANDESITE, BASALTIC [8786]",,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,243533.63500000004,11387.46,,76212.144,,,,74154.42,65037.7,44624.96,1084.2412000000002,,4316.78,25223.138,1352.9051,,,,,,,,,,,,,,,,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,0,341,25,120,17,,,,,,,,,,,,,271,14.36,27.38,,13.1,3.66,1.19,3.56,,2.34,0.39,0.73,,0.55,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455877,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV60A [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,237924.415,11387.46,,77270.64600000001,,,,74154.42,67896.5,42815.84,1084.2412000000002,,4482.81,24481.281,1352.9051,,,,,,,,,,,,,,,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,5,374,25,124,24,,,,,,,,,,,,,393,13.06,23.25,,10.02,2.39,0.65,1.99,,1.36,0.2,0.41,,0.43,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455878,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV9E [8786],"ANDESITE, BASALTIC [8786]",,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,244468.505,10788.119999999999,,74624.391,,,,69957,67181.8,39800.63999999999,1161.687,,4316.78,23739.424,1221.9788,,,,,,,,,,,,,,,,16100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,5,335,19,119,22,,,,,,,,,,,,,310,14.16,28.16,,13.91,3.94,1.36,3.98,,2.89,0.41,0.941,,0.67,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455879,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV58A [8786],"ANDESITE, BASALTIC [8786]",,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,249142.855,11387.46,,76741.395,,,,67158.72,64323,37388.479999999996,1316.5786,,4067.735,23739.424,1309.263,,,,,,,,,,,,,,,,11399.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,0,367,23,125,22,,,,,,,,,,,,,314,13.99,25.66,,12.7,3.58,1.21,3.49,,2.35,0.34,0.71,,0.52,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455880,
[8786],INTRAPLATE VOLCANICS,CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - CENOZOIC / BRAZIL_CENOZOIC / PARAIBA,BOA VISTA BASIN,-7.27,-7.4,-36.07,-36.27,SUBAERIAL,,,s RV60C [8786],BASALT [8786],,,,NEOGENE [8786],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8786] ,241196.46000000002,10788.119999999999,,74095.14,,,,74154.42,66467.1,39197.6,1239.1328,,3901.705,25223.138,1178.3367,,,,,,,,,,,,,,,,13100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,5,361,20,121,21,,,,,,,,,,,,,253,10.9,18.8,,7.73,1.88,0.62,1.82,,1.16,0.19,0.39,,0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455881,
