Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4740],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD,"RING DIKE, BUELL PARK",37.3,37.4,-108.5,-109,SUBAERIAL,,,s BP-69 [4740],MINETTE [4740],30000000 [4740],30000000 [4740],,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4740] ,259239.45100000003,5453.994,,56365.2315,,25737.920000000002,8394.84,,31017.98,55298.768,387.22900000000004,,57944.47,10534.3694,2749.4523,,20900.,27100.,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101983,
[4740],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / COLORADO / NAVAJO VOLCANIC FIELD,"RING DIKE, BUELL PARK",37.3,37.4,-108.5,-109,SUBAERIAL,,,s BP-41 [4740],MINETTE [4740],30000000 [4740],30000000 [4740],,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4740] ,275225.72800000006,5214.258,,70813.7838,,26367.38,9094.41,,43739.64,25991.023999999998,464.6748,,59770.8,21291.2959,3229.5153999999998,,3600.,800.,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101985,
[4839],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / UTAH,"DIKE, ROBBERS ROOST, GREEN RIVER DESERT",38,38,-112.5,-112.5,SUBAERIAL,,,s RR-1 [4839],LAMPROITE [4839],,,,MIOCENE [4839],,,,MICROCRYSTALLINE TO FINE-GRAINED MATRIX [4839] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4839] ,140884.909,23074.59,,44615.859300000004,,,,57364.74,121213.12000000001,27739.839999999997,1316.5786,,60019.845,1112.7855,7419.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512379,,,,,,,,,,,,,,,,,,,,,,,,108500,
[4839],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / UTAH,"DIKE, ROBBERS ROOST, GREEN RIVER DESERT",38,38,-112.5,-112.5,SUBAERIAL,,,s RR-2 [4839],LAMPROITE [4839],,,,MIOCENE [4839],,,,MICROCRYSTALLINE TO FINE-GRAINED MATRIX [4839] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [4839] ,133452.6925,19778.219999999998,,44033.68320000001,,,,60473.94,132934.2,33167.2,1084.2412000000002,,61763.16,964.4141,7899.2201000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512405,,,,,,,,,,,,,,,,,,,,,,,,108501,
[3530][3304],INTRAPLATE VOLCANICS,COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA,,36.07,36.07,-112.12,-112.12,SUBAERIAL,,,s TRUMBULL [3530],"BASALT, ALKALINE [3530] / BASALT [3304]",,,,QUATERNARY [3530] / CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3530] ,213430.821,14084.49,,75047.7918,,,,88068.09,69826.19,63982.543999999994,1394.0244,,13033.355000000001,24703.8381,1047.4104,,,,,,,,,,,,,,,,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,350,,,,251,,,,,,,,19.4,815,26.1,199,53,,,,,,,,,,,,,768,50.9,90.5,,42.1,7.85,2.31,6.39,,5.36,,2.36,,1.75,0.22,4.48,,,,,,,,,,,,13.1,3.73,0.512728,,,0.703684,,18.774,,15.594,,38.62,,,,,,,,0.283057,,,,,,,11450-TRUMBULL,
[3530][3304],INTRAPLATE VOLCANICS,COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA,,36.07,36.07,-112.12,-112.12,SUBAERIAL,,,s TUWEEP [3530],"BASALT, ALKALINE [3530] / BASALT [3304]",,,,QUATERNARY [3530] / CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3530] ,221330.47250000003,10188.779999999999,,78752.5488,,,,73998.95999999999,82333.44,53127.824,1394.0244,,11290.04,22775.009899999997,1003.7683000000001,,,,,,,,,,,,,,,,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,334,,,,127,,,,,,,,15.6,889,23,,,,,,,,,,,,,,,1057,39.9,72.9,,36.3,6.73,2.06,5.33,,4.6,,2.03,,1.62,0.26,4.2,,,,,,,,,,,,12.5,3.3,0.512631,,,0.704482,,18.528,,15.568,,38.16,,,,,,,,0.283011,,,,,,,11450-TUWEEP,
[3530][3304],INTRAPLATE VOLCANICS,COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / SAN FRANCISCO VOLCANIC FIELD,,35.35,35.35,-111.68,-111.68,SUBAERIAL,,,s SUNSET [3530],"BASALT, ALKALINE [3530] / BASALT [3304]",,,,QUATERNARY [3530] / CENOZOIC [3304],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3530] ,218245.4015,11327.525999999998,,83357.0325,,,,82782.45,70469.42,48243.2,1394.0244,,6973.259999999999,25668.2522,2618.526,,,,,,,,,,,,,,,,-2400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,282,,,,141,,,,,,,,10,754,20.1,,,,,,,,,,,,,,,521,29.4,57.4,,30,6.19,1.88,5.01,,4.36,,2.19,,1.9,0.24,3.14,,,,,,,,,,,,6.87,2.84,0.512638,,,0.703426,,18.297,,15.55,,38.01,,,,,,,,0.2829,,,,,,,11452-SUNSET,
[3530][3304],INTRAPLATE VOLCANICS,COLORADO PLATEAU / GRAND CANYON SECTION / ARIZONA / HOPI BUTTES,,35,35.5,-110,-110.5,SUBAERIAL,,,s CASTLE [3530],MONCHIQUITE [3530] / NEPHELINITE [3304],5000000 [3530],5000000 [3530],,CENOZOIC [3304],,,,,VEIN,,,,,WHOLE_ROCK [3530] ,186927.25650000002,21336.504,,60546.3144,,,,99028.02,79831.99,57228.496,1626.3618,,7554.365000000001,25148.9523,7681.0096,,,,,,,,,,,,,,,,40700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,212,,,,176,,,,,,,,13.2,1802,45.6,514,104,,,,,,,,,,,,,1024,113,226,,115,21.7,6.07,14.5,,8.95,,3.25,,2.31,0.3,,,,,,,,,,,,,11,3.61,0.51283,,,0.703923,,19.122,,15.635,,38.8,,,,,,,,0.282778,,,,,,,11457-CASTLE,
[3530][3304],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / ARIZONA,NAVAJO COUNTY,35.13,35.13,-109.55,-109.55,SUBAERIAL,,,s AGATHLA [3530],MINETTE [3530] / BASALT [3304],25000000 [3530],30000000 [3530],,CENOZOIC [3304],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [3530] ,219741.1935,11747.063999999998,,54777.4785,,,,65915.04000000001,73685.57,61148.256,1161.687,,37024.69,18694.7964,4276.9258,,,,,,,,,,,,,,,,20900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,439,,,,270,,,,,,,,110,1697,33.6,,,,,,,,,,,,,,,1962,166,317,,142,23.9,5.68,14.6,,7.35,,2.58,,1.86,0.25,8.92,,,,,,,,,,33.6,,52.3,14.6,0.512732,,,0.705552,,19.531,,15.729,,39.11,,,,,,,,0.28281,,,,,,,11458-AGATHLA,
[3530],INTRAPLATE VOLCANICS,COLORADO PLATEAU / NAVAJO SECTION / ARIZONA,NAVAJO COUNTY,35.13,35.13,-109.55,-109.55,SUBAERIAL,,,s FORD2 [3530],MINETTE [3530],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3530] ,282704.688,6832.475999999999,,59434.8873,,,,36999.479999999996,38022.04,31418.384,619.5664,,46322.37,16543.411099999998,2400.3155,,,,,,,,,,,,,,,,20400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,267,,,,143,,,,,,,,160,879,20.4,,,,,,,,,,,,,,,1735,90.8,157,,70.5,12.6,2.96,8.21,,4.49,,2.59,,1.31,0.19,,,,,,,,,,,,,32,6.53,0.512516,,,0.707479,,,,,,,,,,,,,,,,,,,,,11458-FORD2,
