Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7624],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS,,15.23,15.23,26.5,26.5,SUBAERIAL,,,s GU107 [7624],BASALT [7624],,6800000 [7624],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7624] ,213150.36000000002,17980.199999999997,,82192.6803,,,,95530.17,69826.19,44564.655999999995,1471.4702,,14361.595,23739.424,2662.1681,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,297,164,,,,92,,,,,,,,31,702,26,262,62,,,,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328644,
[7624],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS,,15.23,15.23,26.5,26.5,SUBAERIAL,,,s DP76A [7624],BASALT [7624],,6800000 [7624],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7624] ,217964.94050000003,13305.348,,78646.6986,,,,86902.14,64251.53,50474.44799999999,1471.4702,,14859.685,20178.5104,2705.8102,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,202,235,,,,182,,,,,,,,50,666,24,274,75,,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328646,
[7624],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS,,15.23,15.23,26.5,26.5,SUBAERIAL,,,s GU107 [7624],BASALT [7624],,6800000 [7624],,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [7624],MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,328651,
[7624],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS,,15.23,15.23,26.5,26.5,SUBAERIAL,,,s GU108 [7624],NOT GIVEN [7624],,6800000 [7624],,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [7624],MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,328652,
[7624],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / MEIDOB HILLS,,15.23,15.23,26.5,26.5,SUBAERIAL,,,s DP76A [7624],BASALT [7624],,6800000 [7624],,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [7624],MINERAL / COMPONENT (INCL. GROUNDMASS) [7624] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,328654,
[8189],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA,SW OF GULDO,13.75,13.75,24.5,24.5,SUBAERIAL,,,s X36 [8189],GRANITE [8189],1100000000 [8189],1100000000 [8189],,PROTEROZOIC [8189],,,,FOLIATED [8189] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [8189] ,336740.17400000006,179.802,,69173.1057,,,,3109.2000000000003,4788.490000000001,120.60799999999999,697.0122,,36609.615,32493.3366,174.5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,147,69,26,35,18,,,,,,,,,,,,,208,20.2,36.44,,18.5,5.69,0.65,6.05,,9.14,,5.36,,5.36,,,,,,,,,,,,48,,10,2.21,0.511398,,,0.764478,,18.598,,16.026,,39.746,,,,,,,,,,,,,,,328665,
[8189],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA,KAS,13.75,13.75,24.5,24.5,SUBAERIAL,,,s X137 [8189],GRANITE [8189],1100000000 [8189],1100000000 [8189],,PROTEROZOIC [8189],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [8189] ,327625.1915,1857.954,,79281.79980000001,,,,14690.97,14079.59,3799.1519999999996,464.6748,,30632.535,36054.2502,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,69,814,6,156,10,,,,,,,,,,,,,2468,48.35,79.98,,29.94,4.43,1.31,2.82,,1.49,,0.64,,0.54,,,,,,,,,,,,30,,11,1.27,0.51127,,,0.709028,,16.926,,15.622,,37.804,,,,,,,,,,,,,,,328666,
[8189],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA,SW OF GULDO,13.75,13.75,24.5,24.5,SUBAERIAL,,,s X37 [8189],GRANITE [8189],1100000000 [8189],1100000000 [8189],,PROTEROZOIC [8189],,,,FINE-GRAINED [8189] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [8189] ,314022.83300000004,2756.964,,80869.5528,,,,19587.96,18439.260000000002,7236.48,387.22900000000004,,24821.485,37686.3356,829.1999000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,55,678,5,217,7,,,,,,,,,,,,,2043,61.83,95.79,,34.19,4.47,1.27,2.46,,1.27,,0.52,,0.41,,,,,,,,,,,,14,,16,2.21,0.511368,,,0.70863,,17.625,,15.672,,38.661,,,,,,,,,,,,,,,328667,
[8189],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA,KALOKITTING,13.75,13.75,24.5,24.5,SUBAERIAL,,,s X135 [8189],"GNEISS, BIOTITE [8189]",1100000000 [8189],1100000000 [8189],,PROTEROZOIC [8189],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8189] ,346088.87400000007,1798.0199999999998,,77958.6723,,,,17722.44,15937.81,4643.407999999999,542.1206000000001,,31711.73,30341.951299999997,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,104,350,7,140,5,,,,,,,,,,,,,1075,27.6,42.7,,17.36,2.51,0.63,1.77,,0.64,,0.27,,0.21,,,,,,,,,,,,23,,29,1.48,0.510747,,,0.73063,,17.472,,15.811,,41.358,,,,,,,,,,,,,,,328668,
[8189],INTRAPLATE VOLCANICS,DARFUR DOME VOLCANIC PROVINCE SUDAN / JEBEL MARRA,NYALA,13.75,13.75,24.5,24.5,SUBAERIAL,,,s X139 [8189],GNEISS [8189],1100000000 [8189],1100000000 [8189],,PROTEROZOIC [8189],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [8189] ,337581.55700000003,958.944,,74624.391,,,,6995.7,8219.05,1567.904,387.22900000000004,,39930.215,29080.7944,174.5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,198,220,11,93,8,,,,,,,,,,,,,888,43.38,67.08,,21.38,3.66,0.59,2.69,,2.1,,1.09,,1,,,,,,,,,,,,67,,34,5.46,0.512052,,,0.727068,,19.035,,15.709,,38.954,,,,,,,,,,,,,,,328669,
