Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 1A [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,209925.0585,23374.26,,80869.5528,,,,114340.83,58891.28,35820.576,1316.5786,,10293.86,25890.8093,2400.3155,,,,,,,,,,,,,,,,10200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,60,,,,,,,,18,832,29,213,53,,,,,,,,,,,,,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328259,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 4A [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,213010.1295,21576.239999999998,,72136.9113,,,,118693.70999999999,52959.270000000004,42393.712,1471.4702,,14693.655,22849.1956,3185.8732999999997,,,,,,,,,,,,,,,,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,143,,,,,,,,29,979,35,348,71,,,,,,,,,,,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328260,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 5 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,210112.03250000003,19298.748,,70972.5591,,,,111775.74,65037.7,51680.528,1316.5786,,8965.62,21291.2959,2618.526,,,,,,,,,,,,,,,,7300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,184,,,,,,,,16,790,25,205,50.1,,,,,,,,,,,,,388,37.1,75.1,9.15,36.6,7.49,2.44,7.14,0.97,5.2,0.92,2.46,0.31,1.9,0.29,5.18,3.11,,,,,,,,,,,3.94,1.1,,,,,,,,,,,,,,,,,,,,,,,,,328261,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 9A [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,212776.41200000004,17021.255999999998,,68802.63,,,,105712.8,72613.52,56263.632,1394.0244,,8550.545,19214.096299999997,2443.9576,,,,,,,,,,,,,,,,9500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,202,,,,,,,,17,619,27,213,46,,,,,,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328262,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 16 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,210345.75000000003,20017.956,,73089.5631,,,,109910.22,67253.27,44504.352,1394.0244,,10293.86,25964.995,3098.5890999999997,,,,,,,,,,,,,,,,10300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,132,,,,,,,,18,773,28,244,56,,,,,,,,,,,,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328263,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 80 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,213991.74300000002,20677.23,,77799.897,,,,109832.49,62321.840000000004,37388.479999999996,1316.5786,,9380.695,23220.124099999997,3360.4417000000003,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,44,,,,,,,,15,654,28,231,48.8,,,,,,,,,,,,,592,36.2,75.6,9.6,39.6,8.31,2.65,7.94,1.08,5.76,1.01,2.69,0.34,2.14,0.33,5.86,3.3,,,,,,,,,,,3.37,0.99,,,,,,,,,,,,,,,,,,,,,,,,,328264,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 2011 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,217076.814,17380.859999999997,,75682.89300000001,,,,106023.72,58248.05,41428.848,1394.0244,,9380.695,29525.9086,2705.8102,,,,,,,,,,,,,,,,15500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,126,,,,,,,,7,836,28,268,55.1,,,,,,,,,,,,,374,36.8,75.4,9.22,36.9,7.65,2.52,7.38,1.04,5.67,1.05,2.82,0.38,2.38,0.38,6.22,3.72,,,,,,,,,,,4.1,1.28,,,,,,,,,,,,,,,,,,,,,,,,,328265,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 2013 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,214505.92150000003,18879.21,,75577.0428,,,,110298.87,59320.100000000006,41308.24,1394.0244,,10127.83,27671.266099999997,2749.4523,,,,,,,,,,,,,,,,14300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,170,,,,,,,,9,832,29,249,48,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328266,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 2019 [11166],"BASALT, ALKALINE, OLIVINE [11166]",90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,214131.97350000002,15762.641999999998,,69861.132,,,,104780.04000000001,62679.189999999995,58977.31199999999,1239.1328,,9380.695,21884.7815,2356.6734,,,,,,,,,,,,,,,,18300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,348,,,,,,,,17,646,25,195,39,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328267,
[11166],INTRAPLATE VOLCANICS,EAST SAHARA SWELL - CRETACEOUS / EGYPT / NATASH VOLCANIC FIELD,,24.42,24.42,33.43,33.43,SUBAERIAL,,,s 3A [11166],HAWAIITE [11166],90000000 [11166],90000000 [11166],UPPER [11166],CRETACEOUS [11166],,,,"HOLOCRYSTALLINE, PORPHYRITIC, INTERGRANULAR GROUNDMASS [11166] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [11166] ,214412.4345,19598.417999999998,,71607.6603,,,,118538.25,50171.939999999995,40102.159999999996,1471.4702,,14776.67,27597.0804,3665.9364,,,,,,,,,,,,,,,,8900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,159,,,,,,,,27,975,37,371,79,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328268,
