Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,S AZNA,33.307,33.307,49.451,49.451,SUBAERIAL,,,s LO276 [12761],NOT GIVEN [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,292333.84900000005,4015.578,,87591.0405,,14407.640000000001,33579.36,,22798.93,16282.08,464.6748,,18097.27,9644.141,610.9894,,,,,,,,,,,,,,,,40199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,129,35,,,14,30,11,91,,,,,,43.62,339,24,137,7.38,1.12,,,,,,,1.48,0.23,,,3.4,346,19.48,39.01,4.95,19.88,4.48,1.24,4.06,0.62,3.96,0.87,2.21,0.34,2.14,0.36,3.96,0.57,0.68,,,,,,,,9.87,,5.73,1.5,,,,,,,,,,,,,,,,,,,,,,,,,379777,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,S AZNA,33.284,33.284,49.5,49.5,SUBAERIAL,,,s LO277 [12761],NOT GIVEN [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,274431.0885,3655.9739999999997,,93518.65170000002,,12309.44,28682.37,,18510.73,19960.624,387.22900000000004,,13365.415,43472.8202,1091.0525,,,,,,,,,,,,,,,,26300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,116,13,,,11,19,21,54,,,,,,21.38,572,18,113,4.43,1.16,,,,,,,0.97,0.12,,,1.41,174,16.47,32.94,4.28,17.81,3.8,1.22,3.25,0.49,3.05,0.63,1.6,0.25,1.54,0.26,3.08,0.31,0.4,,,,,,,,6.38,,4.08,0.73,0.512773,,,0.705184,,,,,,,,,,,,,,,,,,,,,379778,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,S BROUJERD,33.635,33.635,46.688,46.688,SUBAERIAL,,,s LO285 [12761],ANDESITE [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,221330.47250000003,6472.872,,80446.152,,17345.12,40497.33,,72756.45999999999,10734.112,1006.7954,,10874.965,35683.32169999999,1091.0525,,,,,,,,,,,,,,,,88699.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,168,77,,,19,24,7,55,,,,,,31.4,294,28,136,5.77,1.09,,,,,,,1.4,0.14,,,1.89,112,11.2,24.45,3.32,14.76,3.88,1.18,4.01,0.68,4.38,1.01,2.63,0.4,2.48,0.4,3.64,0.42,0.8,,,,,,,,3.16,,1.75,0.51,,,,,,,,,,,,,,,,,,,,,,,,,379779,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,N KANGAVAR,34.537,34.537,47.884,47.884,SUBAERIAL,,,s SK02 [12761],RHYODACITE [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,353895.0385,1078.812,,64886.1726,,3427.06,7928.46,,500.29,60.303999999999995,23.23374,,76705.86,4006.0278000000003,218.21050000000002,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10,13,,,0,8,6,57,,,,,,121.49,10,16,125,8.01,,,,,,,,0.05,1.09,,,1.06,407,18.4,28.43,2.99,9.83,1.68,0.22,1.36,0.22,1.47,0.34,0.97,0.18,1.2,0.21,2.5,1.11,2.06,,,,,,,,5.64,,14.03,3.01,,,,,,,,,,,,,,,,,,,,,,,,,379780,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,N KANGAVAR,34.596,34.596,47.932,47.932,SUBAERIAL,,,s SK03 [12761],NOT GIVEN [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,365908.118,1738.0859999999998,,25721.5986,,3636.88,8394.84,,43739.64,3618.24,1239.1328,,9048.635,5786.4846,218.21050000000002,,,,,,,,,,,,,,,,56800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,34,36,,,6,20,30,40,,,,,,32.72,44,14,101,4.98,,,,,,,,0.44,0.62,,,1.68,208,10.66,22.77,2.59,10.22,2.1,0.43,1.83,0.28,1.78,0.37,1,0.16,0.97,0.15,2.36,0.4,,,,,,,,,11.09,,3.22,0.78,,,,,,,,,,,,,,,,,,,,,,,,,379781,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,N KANGAVAR,34.608,34.608,47.936,47.936,SUBAERIAL,,,s SK04 [12761],RHYODACITE [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,369554.11100000003,1078.812,,64886.1726,,1538.68,3575.5800000000004,,786.17,2050.3360000000002,30.97832,,36526.600000000006,4302.7706,174.5684,,,,,,,,,,,,,,,,19200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,11,4,,,0,7,8,30,,,,,,109.37,12,15,124,9.81,,,,,,,,1.18,0.75,,,6.29,404,22.14,35.56,3.53,11.39,2.1,0.3,1.75,0.28,1.68,0.37,0.99,0.17,1.24,0.2,3.03,1.21,,,,,,,,,71.13,,14.39,3.73,,,,,,,,,,,,,,,,,,,,,,,,,379782,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,N KANGAVAR,34.618,34.618,47.949,47.949,SUBAERIAL,,,s SK05 [12761],TRACHYDACITE [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,319585.30950000003,3116.5679999999998,,81663.4293,,9721.66,22697.16,,3644.9700000000003,5789.183999999999,619.5664,,18512.345,39021.678199999995,785.5577999999999,,,,,,,,,,,,,,,,18400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,48,22,,,8,16,4,75,,,,,,81.9,65,53,465,19.83,,,,,,,,5.91,1.25,,,5.63,225,37.84,78.2,9.15,35.02,7.74,1.44,7.37,1.25,8.48,1.91,5.4,0.9,6.06,0.96,10.7,1.53,,,,,,,,,10.08,,11.47,3.14,0.512802,,,0.710717,,,,,,,,,,,,,,,,,,,,,379783,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,E SONGHOR,34.809,34.809,47.895,47.895,SUBAERIAL,,,s SK06 [12761],ANDESITE [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,237176.51900000003,17740.464,,75682.89300000001,,10491.,24484.95,,65466.520000000004,10854.72,1781.2534,,2656.48,47404.662299999996,4800.631,,,,,,,,,,,,,,,,69200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,181,7,,,8,22,7,88,,,,,,7.69,188,65,298,30.98,,,,,,,,2.42,1.75,,,0.11,98,35.98,74.23,9.96,44.37,10.69,2.65,11.53,1.86,12.18,2.66,6.6,0.98,5.85,0.9,7.12,2.25,,,,,,,,,7.29,,4.83,1.87,,,,,,,,,,,,,,,,,,,,,,,,,379784,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,E SONGHOR,34.733,34.733,47.878,47.878,SUBAERIAL,,,s SK07 [12761],"ANDESITE, BASALTIC [12761]",,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,226846.2055,7192.079999999999,,89231.71860000001,,16715.66,39020.46,,54460.14,25508.592,1316.5786,,7720.395,26410.1092,1483.8314,,,,,,,,,,,,,,,,71600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,185,140,,,31,70,29,72,,,,,,28.69,242,26,144,11.09,,,,,,,,1.21,0.61,,,4.24,187,16.02,33.01,4.21,17.87,4.28,1.37,4.28,0.69,4.37,0.94,2.44,0.36,2.37,0.34,3.29,0.81,1.4,,,,,,,,22.28,,2.89,0.85,,,,,,,,,,,,,,,,,,,,,,,,,379785,
[12761],INTRAPLATE VOLCANICS,EASTERN MEDITERRANEAN BELT - MESOZOIC / IRAN / SANANDAJ-SIRJAN ARC,CLOSE TO SONGHOR,34.774,34.774,47.818,47.818,SUBAERIAL,,,s SK10 [12761],NOT GIVEN [12761],,,,JURASSIC [12761],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [12761] ,286911.60300000006,2756.964,,78223.2978,,11889.8,27671.88,,7147,13749.311999999998,774.4580000000001,,12618.28,27819.637499999997,523.7052,,,,,,,,,,,,,,,,77100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,120,40,,,12,21,51,80,,,,,,34.83,191,18,82,2.8,,,,,,,,0.09,0.42,,,0.86,68,7.65,15.63,1.95,7.88,1.77,0.46,1.78,0.28,2.1,0.5,1.33,0.21,1.44,0.23,1.85,0.2,,,,,,,,,7.09,,2.37,0.62,,,,,,,,,,,,,,,,,,,,,,,,,379786,
