Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11.13 [7674],TRACHYTE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,292614.31000000006,1258.6139999999998,,108020.1291,,3427.06,11348.58,,21083.65,1929.7279999999998,1316.5786,,47152.52,42137.4776,174.5684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,7,2,,,,,,,,199,,,,,,,,,,,,,0.26,,,1.42,200,88.21,105.45,,17.05,1.8,0.54,,0.21,,,,,1.4,0.26,15.68,1.82,,,,,,,,,,,21.54,2.87,,,,,,,,,,,,,,,,,,,,,,,,,204368,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11.18 [7674],TRACHYTE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,294203.58900000004,2876.832,,107226.2526,,5175.5599999999995,17333.79,,14436.94,3377.0240000000003,1316.5786,,41341.47,40579.5779,567.3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,12,1,,,36,,,,,150,349,16,664,83.3,,,,,,,,,0.19,,,1.39,671,90.48,132.87,,29.45,3.65,1.11,,0.47,,,,,2.48,0.25,,2.67,,,,,,,,,,,17.16,1.82,,,,,,,,,,,,,,,,,,,,,,,,,204369,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11.15 [7674],LATITE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,270224.17350000003,8390.759999999998,,100822.31550000001,,10491.,34900.770000000004,,35877.939999999995,10613.503999999999,1239.1328,,32790.925,33086.822199999995,1789.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,12,,,,22,,,,,102,1016,28,562,99.8,,,,,,,,,0.15,,,1.06,1453,85.85,146.15,,50.88,8.1,2.65,,0.75,,,,,2.49,0.31,,4.93,,,,,,,,,,,10.95,2.59,,,,,,,,,,,,,,,,,,,,,,,,,204370,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11.19 [7674],LATITE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,269429.53400000004,6353.004,,102568.8438,,8602.619999999999,28760.100000000002,,36449.7,7417.392,1394.0244,,33953.135,45253.276999999995,1352.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,13,2,,,32,,,,,104,831,22,546,91,,,,,,,,,0.41,,,1.96,1619,89.7,140.53,,46.72,6.73,2.15,,0.66,,,,,2.64,0.32,,4.34,,,,,,,,,,,12.26,4.5,,,,,,,,,,,,,,,,,,,,,,,,,204371,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11S [7674],NOT GIVEN [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,266578.1805,3236.436,,103786.1211,,37697.659999999996,,,36378.229999999996,8321.952,1858.6992,,24904.5,55268.3465,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204372,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11C [7674],NOT GIVEN [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,265970.515,4315.248,,98599.4613,,45391.060000000005,,,37378.810000000005,8563.168,1858.6992,,23327.215,53487.8897,785.5577999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204373,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11-T1-3 [7674],NOT GIVEN [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,225958.07900000003,7557.677399999999,,98811.16170000001,,44299.996,,,35141.799,9069.721599999999,1720.8456760000001,,15689.835,62397.592269999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204374,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11-T1-4 [7674],NOT GIVEN [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,223480.67350000003,7371.882,,98969.937,,43048.07,,,36542.611000000004,9087.8128,1753.3729119999998,,16337.351999999999,61522.20100999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204375,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11/G2-LIT [7674],PHONOLITE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,301963.01,1290.3790199999999,,101404.49160000001,,12519.26,,,10427.473,705.5568,1241.456174,,43209.3075,55861.8321,131.362721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,0,8.3,,121.2,32.2,,,,,179,95.2,12.5,765.8,79.8,,,,,,,,,0.5,,,7.2,195.9,80.5,20.1,,30.3,6.3,,,,,,,,3.9,,11.5,,,,,,,,,,,,23.9,12.3,,,,,,,,,,,,,,,,,,,,,,,,,204376,
[7674],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC / GERMANY / WESTERWALD,BITTERSBERG,50.6,50.6,7.78,7.78,SUBAERIAL,,,s 11G1-2 [7674],PHONOLITE [7674],,,,CENOZOIC [7674],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7674] ,284340.7105,1138.7459999999999,,105109.2486,,13358.539999999999,,,9576.980000000001,1266.3839999999998,1239.1328,,45492.22,59200.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204377,
