Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU7 [9859],BASANITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,210205.51950000002,26550.761999999995,,90396.0708,,78053.04000000001,,,36592.64,16643.904,1394.0244,,25817.664999999997,15356.439899999998,2356.6734,,,,,,,,,,,,,,,,85800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,290,3,,,31,24,49,99,24.1,,,,,81,135,25,263,59,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281298,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU7A [9859],BASANITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,209691.34100000001,24932.543999999998,,90131.4453,,85956.26,,,41667.01,11940.192,1316.5786,,25070.53,14762.9543,2531.2418,,,,,,,,,,,,,,,,78300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,322,4,,,33,24,53,113,24,,,,,81,122,27,274,63,,,,,,,,,,,,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281299,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU8 [9859],BASANITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,208662.98400000003,18999.077999999998,,94577.15370000001,,96167.5,,,31232.39,15739.344,1548.9160000000002,,15440.79,27597.0804,2313.0313,,,,,,,,,,,,,,,,74400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,208,24,,,45,35,43,130,26,,,,,48,259,42,459,81,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281300,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU50 [9859],BASANITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,200389.38450000001,22714.985999999997,,80022.7512,,104420.42,,,44239.93,29247.439999999995,1858.6992,,16270.94,27374.523299999997,2182.105,,,,,,,,,,,,,,,,52400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,347,13,,,39,25,3,132,25,,,,,33,481,33,255,63,,,,,,,,,,,,,472,45,84,,38,7.6,2.7,,1,,,,,3.1,0.43,3,4.2,,,,,,,,,,,5.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,281301,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU51 [9859],"TRACHYANDESITE, BASALTIC [9859]",,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,236007.93150000004,10848.054,,88014.44129999999,,59588.88,,,40880.84,14774.48,1703.8076,,14029.535,43992.12009999999,2443.9576,,,,,,,,,,,,,,,,58600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,46,0,,,13,3,0,112,23,,,,,45,395,35,370,112,,,,,,,,,,,,,143,93,160,,73,11,4.1,,1.6,,,,,4.1,0.65,7,6.3,,,,,,,,,,,10,2.4,,,,,,,,,,,,,,,,,,,,,,,,,281302,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU52 [9859],"TRACHYANDESITE, BASALTIC [9859]",,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,254939.04900000003,11147.724,,90448.99590000001,,63365.64000000001,,,20368.95,14472.96,1161.687,,5728.035,52894.4041,2051.1787,,,,,,,,,,,,,,,,38200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,46,0,,,8,5,0,85,27,,,,,21,269,38,531,162,,,,,,,,,,,,,427,110,180,,78,11,3.6,,1.2,,,,,4.9,0.83,11,9.1,,,,,,,,,,,15,2.8,,,,,,,,,,,,,,,,,,,,,,,,,281303,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU53 [9859],"TRACHYANDESITE, BASALTIC [9859]",,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,245263.14450000002,10008.978,,94894.7043,,58050.200000000004,,,24728.62,15377.519999999999,1394.0244,,21085.81,41914.9205,2356.6734,,,,,,,,,,,,,,,,45500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,46,1,,,6,5,0,126,26,,,,,68,298,38,421,125,,,,,,,,,,,,,525,100,170,,73,12,3.9,,1.4,,,,,4.3,0.7,15,7.2,,,,,,,,,,,12,2.8,,,,,,,,,,,,,,,,,,,,,,,,,281304,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU54 [9859],TRACHYANDESITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,255686.94500000004,10248.714,,94524.2286,,57980.259999999995,,,15937.81,13809.616,1239.1328,,23161.185,44585.6057,2269.3892,,,,,,,,,,,,,,,,33600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,40,0,,,7,0,0,117,26,,,,,73,265,40,446,133,,,,,,,,,,,,,658,130,220,,85,15,5.4,,2.1,,,,,6.1,0.91,12,9.2,,,,,,,,,,,16,4,,,,,,,,,,,,,,,,,,,,,,,,,281305,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU55 [9859],BASALT [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,210626.21100000004,19418.616,,77799.897,,82808.95999999999,,,49314.3,34795.407999999996,1316.5786,,9878.785,25148.9523,1920.2524,,,,,,,,,,,,,,,,70500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,326,78,,,42,64,53,91,19,,,,,33,958,27,215,50,,,,,,,,,,,,,800,55,100,,58,11,4.9,,1.4,,,,,3.4,0.51,16,3.8,,,,,,,,,,,4.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,281306,
[9859],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - PRE-VARISCAN / BAVARIA / FRANCONIAN FOREST / RANDSCHIEFER SERIES,"SCHICKER QUARRY, KUPFERBERG SUCCESSION",50.13,50.145,11.55,11.575,SUBAERIAL,,,s KU56 [9859],BASANITE [9859],,,,ORDOVICIAN [9859],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [9859] ,209223.90600000002,18279.87,,90766.5465,,65673.66,,,41595.54,15679.039999999999,1626.3618,,24655.455,27522.894699999997,2531.2418,,,,,,,,,,,,,,,,102400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,196,0,,,26,13,5,94,21,,,,,70,243,26,257,56,,,,,,,,,,,,,306,61,110,,51,9.7,3.5,,1.2,,,,,3.2,0.43,8,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,281307,
