Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BEL1 [7819],GABBRO [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7819] ,229510.58500000002,3596.0399999999995,,81504.65400000001,,68191.5,,,85049.3,51861.439999999995,929.3496,,6641.200000000001,24481.281,,,14900.,2300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,398,12,35,1,,,,,,,,,,,,,,2.96,8.15,,4.03,1.38,0.62,1.95,,2.13,,2.2,,1.16,0.18,,,,,,,,,,,,,0.34,,0.513038,,,0.70708,,,,,,,,,,,,,,,,,,,,,204562,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR8 [7819],NOT GIVEN [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,261763.60000000003,10788.119999999999,,83092.407,,37347.96,41741.01,,32161.5,23518.559999999998,1471.4702,,4399.795,50446.276,,,5400.,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,155,57,178,8.5,,,,,,,,,,,,,,15,33,,20.7,5.43,1.77,5.93,,6.38,,3.67,,3.9,0.65,,,,,,,,,,,,,2.55,,0.512892,,,0.70548,,,,,,,,,,,,,,,,,,,,,204564,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR12 [7819],NOT GIVEN [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,292146.875,7192.079999999999,,76741.395,,43222.92,22541.7,,8361.99,18694.239999999998,1084.2412000000002,,1660.3000000000002,45624.205500000004,,,13799.999999999998,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,88.6,71,314,13,,,,,,,,,,,,,,19.7,47.5,,32.2,8.06,2.76,8.34,,9.16,,5.35,,5.85,0.94,,,,,,,,,,,,,3.14,,0.512884,,,0.70464,,,,,,,,,,,,,,,,,,,,,204568,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR17 [7819],RHYOLITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,353380.86,2097.6899999999996,,68273.379,,15386.800000000001,0,,10363.15,3015.2,309.7832,,1245.225,45624.205500000004,,,3800.,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,161,80,371,10,,,,,,,,,,,,,,26.2,55.9,,32.6,8.06,1.56,8.7,,9.84,,5.57,,6.68,1.09,,,,,,,,,,,,,7.58,,0.51282,,,0.70493,,,,,,,,,,,,,,,,,,,,,204570,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR20 [7819],RHYOLITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,347304.205,1798.0199999999998,,67744.12800000001,,20982,,,7147,1025.1680000000001,232.3374,,24904.5,37834.706999999995,,,10400.,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,43.9,63,442,13,,,,,,,,,,,,,,25.7,60.3,,35.3,8.86,1.61,9.48,,12.4,,7.33,,8.91,1.42,,,,,,,,,,,,,7.19,,0.512881,,,0.71374,,,,,,,,,,,,,,,,,,,,,204571,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR21 [7819],RHYOLITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,330009.11,2277.4919999999997,,79387.65000000001,,32522.100000000002,,,5717.6,5427.36,387.22900000000004,,3320.6000000000004,55639.274999999994,,,5500.,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84.5,67,330,14,,,,,,,,,,,,,,27.7,59.8,,35.8,8.47,2.32,9.39,,10.2,,6.76,,7.68,1.15,,,,,,,,,,,,,,,0.512752,,,0.70646,,,,,,,,,,,,,,,,,,,,,204572,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / BREVENNE SERIES,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR22 [7819],RHYOLITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7819] ,346369.335,1258.6139999999998,,72507.387,,20002.84,,,6289.36,1688.5120000000002,77.4458,,1660.3000000000002,54600.6752,,,2200.,700.0000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,110,38,406,12,,,,,,,,,,,,,,27.4,62.3,,33.3,8.31,1.33,8.96,,10.4,,7.05,,8.34,1.25,,,,,,,,,,,,,,,0.512813,,,0.70514,,,,,,,,,,,,,,,,,,,,,204573,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / CHINDO INTRUSION,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR19 [7819],TRONDHJEMITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7819] ,322997.585,3296.37,,78329.148,,13288.599999999999,14768.699999999999,,11792.55,9045.599999999999,0.,,4150.75,47478.848,,,12000.,1500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,224,37,177,8,,,,,,,,,,,,,,21.5,42.4,,22.8,4.72,1.05,4.33,,4.33,,2.53,,3,0.38,,,,,,,,,,,,,7.45,,0.512471,,,0.70754,,,,,,,,,,,,,,,,,,,,,204575,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / ST. VERAND INTRUSION,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR25 [7819],TRONDHJEMITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7819] ,284667.91500000004,5453.994,,83621.65800000001,,43362.8,,,24156.86,14111.135999999999,1006.7954,,14859.685,38057.2641,,,26400.,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,248,66,247,9,,,,,,,,,,,,,,23.5,45.8,,22.6,5.25,1.54,6.12,,6.07,,3.75,,4.11,0.63,,,,,,,,,,,,,,,0.512621,,,0.70772,,,,,,,,,,,,,,,,,,,,,204576,
[7819],INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - VARISCAN / FRANCE / FRENCH MASSIF CENTRAL / ST. VERAND INTRUSION,,45.43,46.15,4.15,4.85,SUBAERIAL,,,s BR26 [7819],TRONDHJEMITE [7819],358000000 [7819],366000000 [7819],UPPER [7819],DEVONIAN [7819],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [7819] ,314583.755,3056.634,,83092.407,,20492.420000000002,,,7575.820000000001,6512.832,232.3374,,43250.815,34347.9791,,,16400.,500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,141,32,264,10,,,,,,,,,,,,,,55.5,120,,58.2,13.3,1.76,13.6,,12.1,,6.49,,5.94,0.82,,,,,,,,,,,,,,,0.512458,,,0.71822,,,,,,,,,,,,,,,,,,,,,204577,
