Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKB02 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,249376.57250000004,6532.8060000000005,,79281.79980000001,,,,84103.86,30231.81,43720.399999999994,2168.4824000000003,,6060.095,31899.851,392.77889999999996,4600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,136,,,,,,,,19,406,36,216,23,,,,,,,,,,,,,273,,40.44,,26.65,6.74,2.6,8.36,,7.54,,5.1,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296503,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKB06 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,255780.432,6472.872,,68590.9296,,,,82238.34,33305.020000000004,41428.848,2245.9282,,9961.8,28932.423,392.77889999999996,3600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296504,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKB11 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,252882.33500000002,7311.947999999999,,70231.60770000001,,,,84337.05,34734.420000000006,42936.448,1626.3618,,8301.5,31232.179699999997,349.1368,7100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296505,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKB37 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,257135.9935,6113.268,,77905.74720000001,,,,83171.09999999999,30088.87,41670.064,1626.3618,,8384.515,29525.9086,349.1368,2900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296506,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DVK05 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,253490.0005,7252.013999999999,,65097.87300000001,,,,85036.62,35806.47,41308.24,2323.374,,10044.815,31825.6653,436.42100000000005,2600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296507,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DVK23 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,250124.46850000002,7851.354,,68855.5551,,,,84570.24,30517.69,44082.223999999995,1936.145,,7720.395,33902.8649,305.4947,8500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296508,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DVK34 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,260080.83400000003,7012.277999999999,,68855.5551,,,,83171.09999999999,34734.420000000006,43660.096,2091.0366,,6890.245,27003.5948,480.0631,5500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,128,,,,,,,,17,431,40,197,36,,,,,,,,,,,,,252,,41.45,,27.64,7.64,3.14,9.13,,8.08,,6.32,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296509,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKN07 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,257837.146,6053.334,,66738.5511,,,,83948.40000000001,32090.030000000002,38413.648,2400.8197999999998,,9214.665,28932.423,392.77889999999996,5500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296510,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKN50 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,250872.36450000003,6113.268,,66526.85070000001,,,,81305.58,33162.079999999994,41549.456,2555.7114,,7554.365000000001,36054.2502,480.0631,7800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296511,
[9760],INTRAPLATE VOLCANICS,INDIA - PROTEROZOIC / ARAVALLI CRATON / RAJASTHAN / MALANI IGNEOUS SUITE,"KUNDAL AREA, WESTERN RAJASTHAN",25.45,25.52,72.28,72.38,SUBAERIAL,,,s DKN52 [9760],DOLERITE [9760],,,NEO [9760],PROTEROZOIC [9760],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [9760] ,256715.30200000003,7491.75,,67532.4276,,,,78585.03,33733.84,39318.20799999999,1703.8076,,9712.755,34051.2363,349.1368,5600.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,106,,,,,,,,,446,32,173,,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296512,
