Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12428],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / MATSOKU KIMBERLITE,,-29.4,-29.4,28.6,28.6,SUBAERIAL,,,s UM-16(LBM 8) [12428],"LHERZOLITE, XENOLITH [12428]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12428] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000372,0.00537,,,,,,,,,,,,,,,,,,,,,,,,0.10968,,0.333,,,,,,,,364568,
[12428],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / MATSOKU KIMBERLITE,,-29.4,-29.4,28.6,28.6,SUBAERIAL,,,s UM-18(LBM 10) [12428],"LHERZOLITE, XENOLITH [12428]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12428] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000086,0.00464,,,,,,,,,,,,,,,,,,,,,,,,0.10952,,0.089,,,,,,,,364570,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET2 [15322],"HARZBURGITE, GARNET, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,212449.20750000002,239.736,,3175.506,,,,48348.06,2715.86,282343.328,774.4580000000001,,,519.2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,0.00817,,0.000732,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033,0.00571,0.00526,0.00376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518615,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET6 [15322],"HARZBURGITE, SPINEL, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,212916.64250000002,899.0099999999999,,4657.4088,,,,51457.26,5074.37,272272.56,1006.7954,,,964.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,0.00142,,0.000035,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000137,0.00318,0.00172,0.000182,,,,,,,,,,,,,,,,,,,,,,0.1088,,0.207,,,,,,,,518616,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET8 [15322],"HARZBURGITE, SPINEL, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,215954.97000000003,59.934,,3069.6558,,,,45782.969999999994,1286.46,282584.544,774.4580000000001,,,296.7428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,0.00216,,0.000093,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000251,0.0016,0.00189,0.000288,,,,,,,,,,,,,,,,,,,,,,0.1086,,0.753,,,,,,,,518617,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET12 [15322],"HARZBURGITE, GARNET, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,220722.807,119.868,,4710.3339000000005,,,,52079.1,6503.77,264252.12799999997,929.3496,,,370.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,0.00444,,0.000074,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000153,0.00316,0.00265,0.000535,,,,,,,,,,,,,,,,,,,,,,0.1095,,0.232,,,,,,,,518618,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET13 [15322],"LHERZOLITE, GARNET-SPINEL, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,216328.91800000003,419.538,,5080.8096,,,,49747.200000000004,3430.56,273599.24799999996,1006.7954,,,370.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,0.0047,,0.000022,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000041,0.00331,0.00337,0.000886,,,,,,,,,,,,,,,,,,,,,,0.1086,,0.059,,,,,,,,518619,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET14 [15322],"HARZBURGITE, GARNET-SPINEL, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,221844.651,239.736,,4075.2327000000005,,,,46093.89,2644.39,271066.48,851.9038,,,445.1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,0.00619,,0.000378,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000089,0.0047,0.00469,0.0015,,,,,,,,,,,,,,,,,,,,,,0.1086,,0.091,,,,,,,,518620,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET25 [15322],"LHERZOLITE, SPINEL, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,211280.62000000002,239.736,,3704.757,,,,53633.700000000004,2930.27,279086.912,929.3496,,,370.9285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,0.00365,,0.000121,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015,0.00198,0.00222,0.00212,,,,,,,,,,,,,,,,,,,,,,0.1083,,0.415,,,,,,,,518621,
[15322],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_MESOZOIC / LESOTHO / LETSENG-LA TERAI KIMBERLITE PROVINCE,,-28.95,-28.95,28.8333,28.8333,SUBAERIAL,,,s LET27 [15322],"LHERZOLITE, GARNET, XENOLITH [15322]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15322] ,218712.8365,659.274,,7250.738700000001,,,,50913.15,5860.54,263468.176,1006.7954,,,816.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,0.00812,,0.000102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000367,0.00625,0.00544,0.00392,,,,,,,,,,,,,,,,,,,,,,0.109,,0.282,,,,,,,,518622,
