Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 X [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,2.23,0.218,0.892,0.138,0.039,0.111,0.013,0.06,0.01,0.025,0.004,0.029,0.005,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679624,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D1 231-3 MX [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,4.16,0.408,1.72,0.242,0.065,0.16,0.019,0.077,0.012,0.026,0.004,0.022,0.004,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679625,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D1 231-3 XA [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.9,127,12.8,54,7.343,1.911,4.607,0.517,2.195,0.349,0.755,0.11,0.598,0.091,1.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679626,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 84.3 XA [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729,1.21,0.118,0.482,0.071,0.02,0.048,0.006,0.027,0.004,0.01,0.002,0.008,0.002,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679627,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 84-3 X [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696,1.15,0.112,0.474,0.072,0.022,0.059,0.007,0.032,0.006,0.013,0.002,0.015,0.003,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679628,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 84-3 XB [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,1.58,0.152,0.658,0.096,0.027,0.071,0.019,0.037,0.01,0.013,0.002,0.015,0.003,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679629,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D16 XB A [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,5.29,0.503,2.09,0.347,0.129,0.286,0.038,0.185,0.033,0.085,0.014,0.088,0.016,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679630,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D16 XB B [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,5.06,0.484,2,0.331,0.119,0.278,0.048,0.185,0.036,0.084,0.014,0.087,0.015,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679631,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 97-9 X1 [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224,0.386,0.037,0.159,0.023,0.008,0.016,0.002,0.011,0.002,0.006,0.001,0.017,0.004,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679632,
[12608],INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PALEOZOIC / ZIMBABWE / MUROWA KIMBERLITE,,-20.417,-20.417,30.5,30.5,SUBAERIAL,,,s V10-D11 92 XA [12608],"PERIDOTITE, XENOLITH [12608]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [12608] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,0.686,0.0689,0.287,0.044,0.013,0.031,0.004,0.016,0.003,0.007,0.001,0.008,0.002,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679633,
