Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1313],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / MASSIF D^AMBRE VOLCANIC FIELD,BOBAOMBY,-12.5,-12.5,49.17,49.17,SUBAERIAL,,,s B [1313],BASANITE [1313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1313] ,200482.8715,13605.018,,80657.8524,,45530.939999999995,57597.93,,74614.68,40524.28799999999,,,15025.715,25445.6951,2924.0207,,18000.,8600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215026,
[1313],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / MASSIF D^AMBRE VOLCANIC FIELD,"MITSIO ARCHIPELAGO, WESTERN MONTAGNE D^AMBRE",-12.5,-12.5,49.17,49.17,SUBAERIAL,,,s C [1313],"BASALT, ALKALINE [1313]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1313] ,216796.35300000003,12046.733999999999,,78276.2229,,30563.780000000002,61251.24,,74543.20999999999,42212.799999999996,,,12286.22,20920.3674,1876.6103,,13700.000000000002,6400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215027,
[1313],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / MASSIF D^AMBRE VOLCANIC FIELD,"ANORONTANY, WESTERN MONTAGNE D^AMBRE",-12.5,-12.5,49.17,49.17,SUBAERIAL,,,s E [1313],TRACHYTE [1313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1313] ,280274.026,1558.2839999999999,,97435.1091,,30144.139999999996,14380.050000000001,,7647.290000000001,5065.535999999999,,,39100.065,43695.37729999999,610.9894,,14700.,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215028,
[1313],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / MASSIF D^AMBRE VOLCANIC FIELD,"ISTHME DU COURRIER, SOUTH BOBAOMBY",-12.5,-12.5,49.17,49.17,SUBAERIAL,,,s G [1313],TINGUAITE [1313],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1313] ,251994.2085,1018.878,,113894.8152,,14407.640000000001,10027.17,,6861.12,5186.143999999999,,,52299.45,68844.3296,305.4947,,26400.,6600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215029,
[11642],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / BOBAOMBY PENINSULA,CAP D^AMBRE,-12.2684,-12.2684,49.1932,49.1932,SUBAERIAL,,,s M54A [11642],TEPHRITE [11642],,,,CENOZOIC [11642],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11642] ,215627.76550000004,13545.083999999997,,62292.8427,,,,79984.17,95555.39,53308.736,1084.2412000000002,,18761.39,23516.866899999997,2705.8102,,,,,,,,,,,,,,,,53400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,283,338,,,,113,83,92,,,,,,64,724,37,236,76,,,,,,,,,,,,,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352321,
[11642],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / NORTH(WESTERN) MADAGASCAR / BOBAOMBY PENINSULA,CAP D^AMBRE,-12.2684,-12.2684,49.1932,49.1932,SUBAERIAL,,,s M542 [11642],TEPHRITE [11642],,,,CENOZOIC [11642],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [11642] ,221096.755,12825.876,,81557.5791,,,,76019.93999999999,72970.87000000001,34976.32,1394.0244,,25153.545,32715.8937,2880.3786,,,,,,,,,,,,,,,,35700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,253,24,,,,37,41,90,,,,,,78,1396,32,255,91,,,,,,,,,,,,,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352322,
[15764],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / CENTRAL MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA,,-17.585,-17.585,48.2243,48.2243,SUBAERIAL,,,s M701 [15764],"NEPHELINITE, OLIVINE-LEUCITE [15764]",,,,CENOZOIC [15764],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15764] ,189170.9445,17440.793999999998,,56682.782100000004,,,,87290.79000000001,94912.15999999999,80324.928,1161.687,,14278.58,29896.8371,4102.3574,,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,,,403,,,,,,,,49,1026,27,262,71,,,,,,,,,,,,,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570768,
[15764],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / CENTRAL MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA,,-17.585,-17.585,48.2243,48.2243,SUBAERIAL,,,s M702 [15764],"NEPHELINITE, OLIVINE-LEUCITE [15764]",,,,CENOZOIC [15764],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15764] ,186226.10400000002,17440.793999999998,,54195.3024,,,,88845.39,98628.6,87259.88799999999,1394.0244,,13863.505,22849.1956,4800.631,,,,,,,,,,,,,,,,13700.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,,,,390,,,,,,,,65,1010,28,270,70,,,,,,,,,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570769,
[15764],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / CENTRAL MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA,,-17.585,-17.585,48.2243,48.2243,SUBAERIAL,,,s M703 [15764],"NEPHELINITE, OLIVINE-LEUCITE [15764]",,,,CENOZOIC [15764],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15764] ,188563.27900000004,17620.595999999998,,52607.549399999996,,,,91721.40000000001,97699.49,85993.50399999999,1161.687,,8467.53,26929.409099999997,4102.3574,,,,,,,,,,,,,,,,13899.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,251,630,,,61,390,70,180,18,,,,,27,1040,28,241,70,,,,,,,,,,,,0.5,893,86.5,167,19.8,66.1,12.8,3.95,10.1,1.4,6.3,1.1,2.7,0.31,1.8,0.22,6.3,4.9,,,,,,,,,,,10,2.2,0.512787,,,0.704151,,18.7027,,15.5367,,39.0603,,,,,,,,,,,,,,,570770,
[15764],INTRAPLATE VOLCANICS,MADAGASCAR - CENOZOIC / CENTRAL MADAGASCAR / ALAOTRA DISTRICT / AMPARAFARAVOLA,,-17.5749,-17.5749,48.2213,48.2213,SUBAERIAL,,,s M704 [15764],"MELILITITE, OLIVINE [15764]",,,,CENOZOIC [15764],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15764] ,182486.624,17021.255999999998,,50278.845,,,,89000.84999999999,104560.61,93893.328,1161.687,,14776.67,20623.6246,4276.9258,,,,,,,,,,,,,,,,5900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,256,846,,,62,467,70,90,16,,,,,47,1085,25,263,81,,,,,,,,,,,,,568,100,186,20.9,76.5,13.2,4.22,10.5,1.4,6.6,1.1,2.6,0.31,1.7,0.23,5.8,6,,,,,,,,,,,10.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,570771,
