Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M201 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,212776.41200000004,11027.856,,53401.4259,,,,77496.81000000001,61678.61000000001,102697.712,1239.1328,,12286.22,26855.2234,2356.6734,,,,,,,,,,,,,,,,16200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,197,1114,,,,596,42,80,,,,,,45,571,22,179,58,,,,,,,,,,,,,552,35,83,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198450,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY SAKATIA ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M238 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,208195.549,13425.216,,59011.486500000006,,,,84103.86,78902.87999999999,93290.288,1316.5786,,8052.455,14540.3972,1920.2524,,,,,,,,,,,,,,,,16700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,256,717,,,,430,66,85,,,,,,68,625,25,194,58,,,,,,,,,,,,,652,50,91,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198451,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY TANGA ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M221 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,212075.25950000001,13664.951999999997,,66526.85070000001,,,,76175.40000000001,64251.53,79963.10399999999,1239.1328,,4482.81,39170.0496,2836.7365,,,,,,,,,,,,,,,,15200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,230,630,,,,426,32,89,,,,,,62,721,29,217,66,,,,,,,,,,,,,680,57,100,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198452,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M204 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,214973.35650000002,12945.744,,59964.138300000006,,,,79673.25,70326.48,78274.592,1316.5786,,5478.990000000001,35905.8788,2836.7365,,,,,,,,,,,,,,,,23300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,235,656,,,,410,61,80,,,,,,11,609,22,174,58,,,,,,,,,,,,,679,41,83,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198453,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M230 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,207915.088,13185.48,,64674.472200000004,,,,82393.8,75543.79000000001,73872.4,1316.5786,,6392.155,36796.1072,2574.8839,,,,,,,,,,,,,,,,19800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,242,667,,,,302,80,96,,,,,,7,738,23,203,63,,,,,,,,,,,,,801,64,112,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198454,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M236 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,211935.02900000004,13425.216,,65256.6483,,,,82937.91,69754.72,68927.472,1394.0244,,16021.894999999999,31677.293899999997,2880.3786,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,25,,237,617,,,49,284,76,114,20,1.24,1.1,,,61,869,30,208,79,3.1,,,,,0.14,0.05,1.68,0.06,,,0.98,808,74.05,131.7,13.66,52.75,9.12,2.79,8.1,1.06,5.74,1.16,2.87,0.39,2.24,0.35,4.57,5.27,1.4,,,,,,,,5.74,0.01,8.22,1.67,0.512801,,,0.703464,,19.391,,15.633,,39.289,,,,,,,,,,,,,,,198455,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY SAKATIA ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M228 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,211233.8765,13365.282,,65944.67460000001,,,,82160.61,70255.01,67299.264,1394.0244,,5478.990000000001,43621.1916,2793.0944,,,,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,25,,251,780,,,58,411,67,97,18,1.19,1.51,,,66,627,22,187,60,1.34,,,,,0.16,0.06,1.44,0.07,,,1.03,574,44.17,84.12,8.96,36.02,6.79,2.16,5.95,0.81,4.45,0.93,2.16,0.29,1.68,0.27,4.15,4.24,0.27,,,,,,,,4.16,0,5.48,1.22,0.512844,,,0.703317,,19.412,,15.629,,39.399,,,,,,,,,,,,,,,198456,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M219 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,206653.01350000003,15163.301999999998,,63880.595700000005,,,,82549.26,77330.54000000001,66153.488,1316.5786,,17848.225,34570.5362,2705.8102,,,,,,,,,,,,,,,,3100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,278,440,,,,244,87,91,,,,,,71,820,28,234,77,,,,,,,,,,,,,906,75,112,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198457,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M220 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,207587.8835,15043.433999999997,,65203.72320000001,,,,82160.61,76258.49,65309.231999999996,1394.0244,,18927.42,32938.4508,2705.8102,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,32,,247,475,,,45,231,85,101,20,1.13,2.99,,,56,849,28,233,80,2.71,,,,,0.2,0.05,1.73,0.12,,,0.6,776,67,121.4,12.36,47.53,8.95,2.81,7.34,1.01,5.35,1.11,2.51,0.38,2.21,0.3,5.01,5.41,0.69,,,,,,,,5.39,0,7.99,1.68,0.512848,,,0.703313,,,,,,,,,,,,,,,,,,,,,198458,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M235 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,215534.27850000001,13245.413999999999,,65468.348699999995,,,,84803.43000000001,76329.95999999999,66032.87999999999,1394.0244,,581.105,33977.0506,3142.2311999999997,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,215,609,,,,261,71,95,,,,,,69,826,32,213,72,,,,,,,,,,,,,906,74,125,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198459,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY SAKATIA ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M227 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,212636.18150000004,14444.094,,63880.595700000005,,,,79440.06000000001,71041.18,65248.928,1316.5786,,8384.515,44214.6772,3360.4417000000003,,,,,,,,,,,,,,,,21700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,268,520,,,,302,56,87,,,,,,24,802,27,244,74,,,,,,,,,,,,,802,64,106,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198460,
[4837],INTRAPLATE VOLCANICS,MADAGASCAR FLOOD BASALT / NORTH(WESTERN) MADAGASCAR / NOSY BE ARCHIPELAGO,,-13.25,-13.5,48.27,48.27,SUBAERIAL,,,s M232 [4837],BASANITE [4837],7000000 [4837],10000000 [4837],,,,,,"MODERATELY TO STRONGLY PORPHYRITIC, FINE-GRAINED MICROCRYSTALLINE TO APHANITIC GROUNDMASS [4837] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [4837] ,213477.56450000004,13185.48,,61975.292100000006,,,,85347.54000000001,76329.95999999999,64585.584,1471.4702,,14444.61,31528.9225,2793.0944,,,,,,,,,,,,,,,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,221,613,,,,273,75,103,,,,,,66,852,31,228,78,,,,,,,,,,,,,942,85,124,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198461,
