Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340018 [10466],DACITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,302897.88,4614.918,,82033.905,,33291.439999999995,4119.6900000000005,,18010.44,4764.016,774.4580000000001,,36443.585,45995.134,1178.3367,,,,,,,,,,,,,,,,3800.,,,,,,,,,,,,,,10,,,,,452,,,,,,,,,,,67,,,,,34,,51,25,,,,,64,280,55,242,16,3,,,,,,,,,,,,764,45,103,,,,,,,,,,,,,,,,,,,,,,,11,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,305058,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340022 [10466],ANDESITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,281395.87000000005,3116.5679999999998,,96323.682,,19513.260000000002,20676.18,,35234.71,11095.936,774.4580000000001,,32541.88,34422.1648,1265.6209,,,,,,,,,,,,,,,,10400.,,,,,,,,,,,,,,26,,,,,700,,,,,,,,,,,74,,,,,16,,35,20,,,,,107,857,25,103,3,3,,,,,,,,,,,,1019,30,86,,,,,,,,,,,,,,,,,,,,,,,10,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,305059,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340048 [10466],DACITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,313181.45,3955.644,,69331.881,,34200.659999999996,10415.820000000002,,5717.6,13266.880000000001,309.7832,,51884.375,27597.0804,2094.8208,,,,,,,,,,,,,,,,6400.,,,,,,,,,,,,,,255,,,,,1528,,,,,,,,,,,44,,,,,56,,186,27,,,,,322,128,36,298,15,2,,,,,,,,,,,,450,44,82,,,,,,,,,,,,,,,,,,,,,,,26,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,305060,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340004 [10466],RHYOLITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,358522.645,779.1419999999999,,61393.116,,10071.359999999999,8239.380000000001,,1357.93,723.6479999999999,154.8916,,43499.86,25148.9523,87.2842,,,,,,,,,,,,,,,,8500.,,,,,,,,,,,,,,5,,,,,0,,,,,,,,,,,0,,,,,35,,22,25,,,,,78,63,67,370,26,2,,,,,,,,,,,,447,55,207,,,,,,,,,,,,,,,,,,,,,,,85,,19,3,,,,,,,,,,,,,,,,,,,,,,,,,305061,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340006 [10466],RHYOLITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,351978.555,1438.416,,60334.614,,23429.9,3808.77,,6217.89,241.21599999999998,697.0122,,40428.305,25964.995,43.6421,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,6,,,,,0,,,,,,,,,,,14,,,,,50,,191,30,,,,,100,11,97,470,35,3,,,,,,,,,,,,99,86,270,,,,,,,,,,,,,,,,,,,,,,,14,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,305062,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / UPPER AILLIK GROUP,,55,55,-58,-58,SUBAERIAL,,,s 0340044 [10466],RHYOLITE [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10466] ,357120.34,1018.878,,59011.486500000006,,15176.98,8783.49,,1286.46,301.52,154.8916,,45741.265,23145.9384,87.2842,,,,,,,,,,,,,,,,2400.,,,,,,,,,,,,,,8,,,,,73,,,,,,,,,,,12,,,,,75,,94,30,,,,,134,25,128,747,43,2,,,,,,,,,,,,51,96,181,,,,,,,,,,,,,,,,,,,,,,,44,,19,3,,,,,,,,,,,,,,,,,,,,,,,,,305063,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS,,54.5,55.25,-59,-60,SUBAERIAL,,,s 0340001 [10466],NOT GIVEN [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10466] ,337955.505,2217.558,,74359.76550000001,,6154.72,10104.9,,7147,3919.7599999999998,154.8916,,36526.600000000006,32493.3366,305.4947,,,,,,,,,,,,,,,,9200.,,,,,,,,,,,,,,10,,,,,304,,,,,,,,,,,33,,,,,32,,66,18,,,,,18,852,40,319,14,3,,,,,,,,,,,,825,25,161,,,,,,,,,,,,,,,,,,,,,,,31,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,305064,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS,,54.5,55.25,-59,-60,SUBAERIAL,,,s 0340031 [10466],NOT GIVEN [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10466] ,333748.59,2577.162,,73565.88900000001,,6294.6,10882.199999999999,,7075.53,2713.68,309.7832,,45658.25,28932.423,305.4947,,,,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,12,,,,,360,,,,,,,,,,,20,,,,,46,,6,21,,,,,135,95,64,351,28,3,,,,,,,,,,,,553,81,162,,,,,,,,,,,,,,,,,,,,,,,19,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,305065,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / SYNKINEMATIC GRANITOID ROCKS,,54.5,55.25,-59,-60,SUBAERIAL,,,s 0340035 [10466],NOT GIVEN [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10466] ,325334.76,3356.304,,78329.148,,10071.359999999999,12203.61,,7718.76,4040.368,542.1206000000001,,46405.385,35238.2075,567.3473,,,,,,,,,,,,,,,,7300.,,,,,,,,,,,,,,14,,,,,1048,,,,,,,,,,,24,,,,,47,,43,28,,,,,97,169,70,344,38,3,,,,,,,,,,,,821,76,173,,,,,,,,,,,,,,,,,,,,,,,23,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,305066,
[10466],INTRAPLATE VOLCANICS,MAKKOVIK-KETILIDIAN OROGENIC BELT / MAKKOVIK PROVINCE-LABRADOR / AILLIK DOMAIN / POSTKINEMATIC GRANITOID ROCKS,,54.5,55.25,-59,-60,SUBAERIAL,,,s 0340003 [10466],NOT GIVEN [10466],1660000000 [10466],1800000000 [10466],PALEO [10466],PROTEROZOIC [10466],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10466] ,347304.205,1138.7459999999999,,73830.5145,,6154.72,6840.24,,5217.3099999999995,1085.472,542.1206000000001,,41424.485,31603.1082,130.9263,,,,,,,,,,,,,,,,5699.999999999999,,,,,,,,,,,,,,23,,,,,1160,,,,,,,,,,,0,,,,,36,,0,23,,,,,84,25,69,562,34,3,,,,,,,,,,,,225,21,144,,,,,,,,,,,,,,,,,,,,,,,8,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,305067,
