Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2721],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / GUANAJUATO,"POROHUI, ARPEROS BASIN",18,19.2,-100.17,-101,SUBAERIAL,,,s M92-50 [2721],BASALT [2721],,,,,,,,INTERSERTAL [2721] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2721] ,203240.738,10728.186,,74412.6906,,51196.08,,,100058,27800.144,1239.1328,,2324.42,25964.995,1178.3367,,,,,,,,,,,,,,,,104200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,286,,,,129,,,,,,,,2.32,308,25.57,117,6.91,,,,,,,,,,,,,88.31,7.3,19.66,3.06,,4.1,1.34,4.24,0.74,4.45,0.95,2.61,0.39,2.37,0.36,3,0.46,,,,,,,,,1.23,,0.54,0.56,0.512997,,,0.704372,,,18.712,,15.563,,38.168,,,,,,,,,,,,,,11499-M92-50,
[2721][8764],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CORDILLERA MEXICO / GUANAJUATO,"POROHUI, ARPEROS BASIN",18,19.2,-100.17,-101,SUBAERIAL,,,s M92-64 [2721],BASALT [2721],,,LOWER [8764],CRETACEOUS [8764],,,,INTERSERTAL [2721] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2721] ,206138.83500000002,12586.14,,87326.41500000001,,75115.56,65293.200000000004,,45026.1,48243.2,774.4580000000001,,9961.8,27448.709,1745.6840000000002,,,,,,,,,,,,,,,,72000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,217,,,,50,,,,,,,,14.2,391.5,28.3,170,9.78,,,,,,,,,,,,,426,8.54,24.02,3.61,18.6,4.64,1.4,5.56,0.89,5.62,1.13,3.21,0.42,2.79,0.41,4.75,0.6,,,,,,,,,0.85,,0.62,0.38,0.512912,,,0.70472,,,18.304,,15.558,,38.099,,,,,,,,,,,,,,11499-M92-64,
[8932],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK TERRANE - SOWCHEA SUCCESSION,"SOUTH OF FORT ST. JAMES, STUART LAKE OUTLETS",54.4,54.6,-124,-124.5,SUBAERIAL,,,s SCB95 [8932],ICELANDITE [8932],,,MIDDLE [8932],PERMIAN [8932],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8932] ,183000.80250000002,2397.36,,59699.5128,,,,109832.49,100129.47,21468.224,1858.6992,,8633.56,18175.4965,1745.6840000000002,,,,,,,,,,,,,,,,92200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.35,59.81,,,,26.25,,,,,,,,27.35,129.41,41.49,172.38,11.95,,,,,,,,,,,,,1637.11,9.08,24.8,3.87,19.68,6.19,2.17,7.9,1.42,9.04,1.92,5.38,0.77,5.05,0.79,5.17,0.93,,,,,,,,,0.55,,0.84,0.17,0.513027,,,,,,,,,,,,,,,,,,,,,,,,231826,
[8932],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK TERRANE - SOWCHEA SUCCESSION,"SOUTH OF FORT ST. JAMES, STUART LAKE OUTLETS",54.4,54.6,-124,-124.5,SUBAERIAL,,,s PG96-2B [8932],BASALT [8932],,,MIDDLE [8932],PERMIAN [8932],,,,PLAGIOCLASE PHENOCRYSTS IN AN INTERSERTAL GROUNDMASS [8932] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8932] ,227874.56250000003,9349.704,,91825.0485,,,,70967.49,54888.96,32262.639999999996,929.3496,,21251.84,21588.0387,741.9157,,,,,,,,,,,,,,,,40199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,296.7,255.5,,,,52.11,,,,,,,,35.4,200,29.95,96.1,6.35,,,,,,,,,,,,,243,5.33,14.09,2.23,11.05,3.53,1.27,4.3,0.75,4.86,1.06,2.89,0.48,2.68,0.41,2.48,0.39,,,,,,,,,0.37,,0.42,0.39,0.513524,,,,,,,,,,,,,,,,,,,,,,,,231827,
[8932],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK TERRANE - SOWCHEA SUCCESSION,PINCHI FAULT SYSTEM,54.4,54.6,-124,-124.5,SUBAERIAL,,,s PG97-24 [8932],"BASALT, THOLEIITIC [8932]",,,UPPER [8932],TRIASSIC [8932],,,,"APHYRIC, VESICULAR GLASSY GROUNDMASS [8932] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8932] ,207541.14,6532.8060000000005,,76265.06910000001,,,,79906.43999999999,28087.710000000003,54273.6,154.8916,,44579.055,5489.7418,698.2736,,,,,,,,,,,,,,,,77500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.53,,426.86,470.78,,,,132.49,,,,,,,,59.2,74.61,20.14,65.9,4.87,,,,,,,,,,,,,277.04,3.8,10.57,1.57,7.56,2.33,0.92,2.83,0.51,3.29,0.73,2.02,0.31,2.01,0.31,1.63,0.27,,,,,,,,,,,0.18,0.42,0.513091,,,0.715162,,,,,,,,,,,,,,,,,,,,,231829,
[8932],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK TERRANE - SOWCHEA SUCCESSION,PINCHI FAULT SYSTEM,54.4,54.6,-124,-124.5,SUBAERIAL,,,s SH903B [8932],NOT GIVEN [8932],,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [8932] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,471,,77.9,24.3,,,,,,,,,,,,,1780,27.6,63.1,7.7,28.9,8.1,1.5,7.2,1.1,7.3,2,8.4,1.8,15.4,3.4,3,1.3,,,,,,,,,132,,17.2,5.7,,,,,,,,,,,,,,,,,,,,,,,,,231844,
[8932],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / CACHE CREEK MELANGE,"SOUTH OF WILLIAMS LAKE, PINCHI FAULT SYSTEM, CACHE CREEK MELANGE BLOCKS",54.4,54.6,-124,-124.5,SUBAERIAL,,,s 99WL3 [8932],BASALT [8932],,,,TRIASSIC [8932],,,,INTERSERTAL [8932] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8932] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.93,147.98,39.61,97.05,11.72,,,,,,,,,,,,27.4,212.49,12.27,31.16,4.48,21.1,5.79,2.11,7.07,1.16,7.34,1.43,3.84,,3.02,0.42,2.84,0.76,,,,,,,,,0.86,,0.63,0.4,,,,,,,,,,,,,,,,,,,,,,,,,231888,
[8937],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / BROOKLYN GROUP,"GREENWOOD MINING CAMP, SOUTHERN BRITISH COLUMBIA",49,49.17,-118.5,-118.75,SUBAERIAL,,,s L-68 [8937],ANDESITE [8937],,,MIDDLE [8937],TRIASSIC [8937],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8937] ,273542.96200000006,5753.664,,86320.8381,,,,56121.06,35234.71,20262.143999999997,697.0122,,15357.775000000001,24629.6524,741.9157,,,,,,,,,,,,,,,,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,25,,,,10,,89,18,,,,,43,443,19,149,8.3,,,,,,,,,,,,,770,14.33,30.29,3.71,15.51,3.6,1.09,3.67,0.6,3.71,0.73,2.1,0.31,1.99,0.31,3.78,0.21,,,,,,,,,,,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,233533,
[8937],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / BROOKLYN GROUP,"GREENWOOD MINING CAMP, SOUTHERN BRITISH COLUMBIA",49,49.17,-118.5,-118.75,SUBAERIAL,,,s L-79 [8937],ANDESITE [8937],,,MIDDLE [8937],TRIASSIC [8937],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8937] ,265830.2845,5214.258,,86585.4636,,,,56276.520000000004,35020.3,27378.016,1239.1328,,10127.83,23220.124099999997,698.2736,,,,,,,,,,,,,,,,39000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,77,,,,25,,103,19,,,,,22,245,19,136,8.3,,,,,,,,,,,,,586,12.98,26.21,3.16,12.42,2.86,0.92,3.06,0.5,3.11,0.64,1.9,0.27,1.96,0.3,3.09,0.26,,,,,,,,,,,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,233534,
[8937],INTRAPLATE VOLCANICS,NORTH AMERICAN CORDILLERA - MESOZOIC / CANADIAN CORDILLERA / BRITISH COLUMBIA / BROOKLYN GROUP,"GREENWOOD MINING CAMP, SOUTHERN BRITISH COLUMBIA",49,49.17,-118.5,-118.75,SUBAERIAL,,,s G-231 [8937],ANDESITE [8937],,,MIDDLE [8937],TRIASSIC [8937],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8937] ,281910.04850000003,6233.1359999999995,,78223.2978,,,,60318.479999999996,28230.65,19960.624,619.5664,,6807.23,29525.9086,698.2736,,,,,,,,,,,,,,,,28000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,40,,,,14,,93,16,,,,,19,663,18,114,9.2,,,,,,,,,,,,,372,12.87,26.74,3.34,14.02,3.81,0.96,3.39,0.55,3.49,0.68,2.11,0.28,1.86,0.28,2.82,0.17,,,,,,,,,,,2.6,,0.512877,,,,,,,,,,,,,,,,,,,,,,,,233535,
