Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-1 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,193424.60300000003,719.208,,6139.3116,,,,54100.08,3859.38,289459.19999999995,851.9038,,1992.36,1557.8997,130.9263,,,,,,,,,,,,,,,,7800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824,,,,2487,,,1,,,,,9.8,53.3,,6.1,4.6,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579015,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-4 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,187254.46100000004,2277.4919999999997,,6139.3116,,,,68013.75,11149.32,265458.208,1084.2412000000002,,2656.48,1557.8997,305.4947,,,,,,,,,,,,,,,,28000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,,,,2185,,,1.7,,,,,13.9,168.6,,22.9,25.7,,,,,,,,,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579016,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-6 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,188937.227,539.406,,3122.5809,,,,56276.520000000004,4288.2,288735.552,851.9038,,1494.27,593.4856,130.9263,,,,,,,,,,,,,,,,16000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728,,,,2574,,,1.4,,,,,7.9,51.5,,12.9,6.1,,,,,,,,,,,,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579017,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-8 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,196322.7,719.208,,4551.5586,,,,61328.969999999994,5360.25,279448.736,929.3496,,1494.27,1409.5283,130.9263,,,,,,,,,,,,,,,,10300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554,,,,2435,,,0,,,,,7.5,44.7,,8.2,4.3,,,,,,,,,,,,,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579018,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-38 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,195294.34300000002,1078.812,,9844.0686,,,,64438.16999999999,7790.2300000000005,266603.984,1006.7954,,2075.375,1483.714,174.5684,,,,,,,,,,,,,,,,10400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2947,,,,2260,,,1.2,,,,,9.9,74.6,,13.5,6.2,,,,,,,,,,,,,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579019,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-40 [15910],"HARZBURGITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,195621.54750000002,958.944,,10426.244700000001,,,,65293.200000000004,7718.76,267749.75999999995,1084.2412000000002,,1826.33,1483.714,174.5684,,,,,,,,,,,,,,,,9200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3097,,,,2249,,,1.6,,,,,9.2,65.8,,15.1,4.4,,,,,,,,,,,,,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579020,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-2 [15910],"LHERZOLITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,158927.90000000002,8270.891999999998,,10743.7953,,,,76408.59,54460.14,214320.41599999997,1239.1328,,3320.6000000000004,5341.3704,261.8526,,,,,,,,,,,,,,,,71600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552,,,,2269,,,4.4,,,,,38.7,712.8,,117.3,97.4,,,,,,,,,,,,,2439.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579021,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-3 [15910],"LHERZOLITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,198659.87500000003,1738.0859999999998,,13654.6758,,,,62106.270000000004,25800.67,246583.05599999998,1084.2412000000002,,1660.3000000000002,2522.3138,305.4947,,,,,,,,,,,,,,,,12800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4566,,,,2061,,,3,,,,,8.1,123.5,,24.3,7.9,,,,,,,,,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579022,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-302 [15910],"LHERZOLITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,166360.11650000003,479.472,,899.7267,,,,80683.74,9648.45,239286.272,619.5664,,415.07500000000005,519.2999,130.9263,,,,,,,,,,,,,,,,116199.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,2008,,,0,,,,,1.8,66,,5.9,2.3,,,,,,,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579023,
[15910],INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON_PROTEROZOIC / WEST GREENLAND / SARFARTOQ FIELD,,66.48,66.48,-51.93,-51.93,SUBAERIAL,,,s SAF-303 [15910],"LHERZOLITE, GARNET, XENOLITH [15910]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [15910] ,181318.03650000002,779.1419999999999,,2752.1052000000004,,,,56898.36,4431.14,262382.70399999997,774.4580000000001,,415.07500000000005,1557.8997,130.9263,,,,,,,,,,,,,,,,80600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539,,,,2296,,,0,,,,,2.7,40.1,,6.6,5.5,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579024,
