Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8927],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / MENOMINEE GROUP - HEMLOCK FORMATION,,46.28,46.28,-88.07,-88.07,SUBAERIAL,,,s MI-99-2 [8927],RHYOLITE [8927],,,PALEO [8927],PROTEROZOIC [8927],,,,FINE-GRAINED GROUNDMASS [8927] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [8927] ,341975.446,3056.634,,61551.89130000001,,,,28760.100000000002,5932.009999999999,4402.192,387.22900000000004,,32209.82,20771.996,436.42100000000005,,,,,,,,,,,,,,,,13600.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,21,50,,,6,53,11,34,,,,,,88,57,35.6,309,23.4,,,,,,,,,,,,0.6,1040,101,173,16.3,57.3,10.2,1.93,8.85,1.41,7.58,1.5,4.46,0.61,3.95,0.59,7.9,1.78,,,,,,,,,,,311,33.3,,,,,,,,,,,,,,,,,,,,,,,,,231718,
[8927],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / MENOMINEE GROUP - HEMLOCK FORMATION,,46.13,46.13,-88.13,-88.13,SUBAERIAL,,,s MI-99-3 [8927],RHYOLITE [8927],,,PALEO [8927],PROTEROZOIC [8927],,,,"BLUE-QUARTZ PHYRIC, FINE-GRAINED MATRIX [8927] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [8927] ,349921.841,4015.578,,61181.41560000001,,,,32957.520000000004,2787.33,12181.408,232.3374,,18927.42,1038.5998,741.9157,,,,,,,,,,,,,,,,28600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,28,,,6,,,47,,,,,,37,12,55.8,498,26.7,,,,,,,,,,,,0.3,190,139,236,23.3,84.3,15.3,3.53,14.2,2.16,12,2.37,6.93,0.94,5.85,0.83,12.1,1.57,,,,,,,,,,,28,2.21,,,,,,,,,,,,,,,,,,,,,,,,,231719,
[8927],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / TOBIN LAKE QUARTZ MONZONITE,,46,46,-88.28,-88.28,SUBAERIAL,,,s MI-99-4 [8927],"MONZONITE, QUARTZ [8927]",,,PALEO [8927],PROTEROZOIC [8927],,,,"MEDIUM-GRAINED, HYPIDIOMORPHIC-GRANULAR [8927] ",PLUTONIC ROCK,,,,,WHOLE_ROCK [8927] ,285182.0935,2936.7659999999996,,82139.7552,,,,36610.83,10005.8,18573.631999999998,851.9038,,51967.39,18175.4965,916.4841,,,,,,,,,,,,,,,,32700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,68,129,,,14,109,22,40,,,,,,106,186,17.8,179,11.1,,,,,,,,,,,,1.4,1010,80,128,11.5,38.4,6.14,1.39,5.15,0.73,3.77,0.73,2.14,0.32,1.94,0.27,4.6,1,,,,,,,,,,,58.9,6.31,,,,,,,,,,,,,,,,,,,,,,,,,231720,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / CHOCOLAY GROUP - WEWE SLATE,,46,46.5,-87.5,-90,SUBAERIAL,,,s 1 [9004],SLATE [9004],1850000000 [9004],2100000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.31,5.9,,,,,,,,,,,,,,,,,,,,,,,,0.511288,,,,,,,,,,,,,,,,,,,,,,,,276630,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / MENOMINEE GROUP - SIAMO SLATE,,46,46.5,-87.5,-90,SUBAERIAL,,,s 2 [9004],GREYWACKE [9004],1850000000 [9004],2100000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,1.03,,,,,,,,,,,,,,,,,,,,,,,,0.511241,,,,,,,,,,,,,,,,,,,,,,,,276631,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / MENOMINEE GROUP - SIAMO SLATE,,46,46.5,-87.5,-90,SUBAERIAL,,,s 3 [9004],SLATE [9004],1850000000 [9004],2100000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99,4.37,,,,,,,,,,,,,,,,,,,,,,,,0.511094,,,,,,,,,,,,,,,,,,,,,,,,276632,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / BARAGA GROUP - GOODRICH QUARTZITE,,46,46.5,-87.5,-90,SUBAERIAL,,,s 4 [9004],QUARTZITE [9004],1850000000 [9004],2100000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96,1.98,,,,,,,,,,,,,,,,,,,,,,,,0.510977,,,,,,,,,,,,,,,,,,,,,,,,276633,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / BARAGA GROUP - MICHIGAMME FORMATION,,46,46.5,-87.5,-90,SUBAERIAL,,,s 5 [9004],SLATE [9004],1850000000 [9004],1850000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.29,4.16,,,,,,,,,,,,,,,,,,,,,,,,0.511133,,,,,,,,,,,,,,,,,,,,,,,,276634,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / BARAGA GROUP - MICHIGAMME FORMATION,,46,46.5,-87.5,-90,SUBAERIAL,,,s 6 [9004],GREYWACKE [9004],1850000000 [9004],1850000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,1.44,,,,,,,,,,,,,,,,,,,,,,,,0.511515,,,,,,,,,,,,,,,,,,,,,,,,276635,
[9004],INTRAPLATE VOLCANICS,PENOKEAN OROGEN / NORTHERN PENOKEAN OROGEN / MARQUETTE RANGE SUPERGROUP/MICHIGAN / BARAGA GROUP - MICHIGAMME FORMATION,,46,46.5,-87.5,-90,SUBAERIAL,,,s 6 [9004],GREYWACKE [9004],1850000000 [9004],1850000000 [9004],PALEO [9004],PROTEROZOIC [9004],,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [9004] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,1.4,,,,,,,,,,,,,,,,,,,,,,,,0.511498,,,,,,,,,,,,,,,,,,,,,,,,276636,
