Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A1 [10638],"BASALT, THOLEIITIC [10638]",1588000000 [10638],1588000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,236288.39250000002,7551.683999999999,,75259.49220000001,,16785.6,77341.34999999999,94131.03,76973.19,46614.992,1548.9160000000002,,7222.305,15949.9255,610.9894,,,,,,,,,,,,,,,,20200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,137,,,,,,,,40.89,166.93,27,87,4,,,,,,,,,,,,,87,6,19,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72416,,,,,,,,,,,,,,,,,,,,,575664,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A2 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,234652.37000000002,7731.486,,78593.7735,,15246.920000000002,78895.95,94131.03,82547.85,42212.799999999996,1471.4702,,3486.6299999999997,16840.1539,523.7052,,,,,,,,,,,,,,,,14000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,144,,,,,,,,16.5,149.62,26,77,6,,,,,,,,,,,,,99,3.62,9.35,1.3,7.29,2.57,1,3.35,0.49,3.16,0.71,1.86,0.27,1.96,0.28,,,,,,,,,,,,,,,,,,0.71025,,,,,,,,,,,,,,,,,,,,,575665,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A4 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,237270.00600000002,6952.343999999999,,74465.61570000001,,16575.780000000002,73688.04000000001,90244.53,81904.62000000001,48243.2,1471.4702,,3818.69,16024.111200000001,567.3473,,,,,,,,,,,,,,,,18400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,140,,,,,,,,16.85,166.2,20,73,6,,,,,,,,,,,,,61,3,21,,7.635,1.9,,,,,,,,,,,,,,,,,,,,,,,,0.512778,,,0.7137,,,,,,,,,,,,,,,,,,,,,575666,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A5 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,237083.032,5933.465999999999,,77588.19660000001,,13358.539999999999,69957,83326.56000000001,87479.28,48363.808,1394.0244,,1577.285,16098.2969,480.0631,,,,,,,,,,,,,,,,14700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,147,,,,,,,,5.74,134.16,22,74,5,,,,,,,,,,,,,31,3.6,9.56,1.33,6.926,2.28,0.8,2.99,0.43,2.95,0.7,1.75,0.26,1.8,0.27,,,,,,,,,,,,,,,0.512893,,,0.70717,,,,,,,,,,,,,,,,,,,,,575667,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A8 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,237737.44100000002,7132.145999999999,,74994.8667,,20492.420000000002,72055.70999999999,92576.43000000001,81404.33,44624.96,1471.4702,,3984.72,16840.1539,610.9894,,,,,,,,,,,,,,,,23600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,127,,,,,,,,16.7,157.18,30,91,6,,,,,,,,,,,,,47,4.41,11.82,1.78,9.57,2.98,0.98,3.37,0.53,3.69,0.88,2.22,0.32,2.14,0.3,,,,,,,,,,,,,,,,,,0.71314,,,,,,,,,,,,,,,,,,,,,575668,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A9 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,235680.727,8151.024,,80287.37670000001,,24199.239999999998,71511.59999999999,95685.63,67610.62000000001,40463.984,1471.4702,,16021.894999999999,17062.711,654.6315,,,,,,,,,,,,,,,,26300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,115,,,,,,,,71,166,30,89,6,,,,,,,,,,,,,165,6,14,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575669,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A10 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,233857.73050000003,7252.013999999999,,77905.74720000001,,20702.239999999998,75864.48,96540.66,64966.229999999996,51198.096,1548.9160000000002,,12950.34,15949.9255,567.3473,,,,,,,,,,,,,,,,35500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,131,,,,,,,,62,263,28,85,9,,,,,,,,,,,,,274,5,15,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575670,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / AZUL REGION,,-36.78,-36.78,-59.85,-59.85,SUBAERIAL,,,s A16 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,235961.188,5513.928,,93836.2023,,8322.859999999999,71045.22,79362.33,75472.32,39016.687999999995,1239.1328,,8052.455,17804.568,436.42100000000005,,,,,,,,,,,,,,,,13600.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,134,,,,,,,,108,171,26,89,2,,,,,,,,,,,,,136,7.33,15.41,1.95,9.08,2.46,0.87,2.96,0.43,2.69,0.64,1.73,0.27,1.89,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575671,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / TANDILIA SYSTEM,,-37.32,-37.32,-59.15,-59.15,SUBAERIAL,,,s A25 [10638],"BASALT, THOLEIITIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,239981.12900000004,5214.258,,77746.9719,,13498.42,68557.86,82082.88,80117.87000000001,49208.064,1471.4702,,6890.245,15282.2542,392.77889999999996,,,,,,,,,,,,,,,,24100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,110,,,,,,,,96,201,20,62,3,,,,,,,,,,,,,65,2.77,7.28,1.05,5.22,1.78,0.65,2.01,0.33,2.26,0.49,1.25,0.18,1.31,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575672,
[10638],INTRAPLATE VOLCANICS,RIO DE LA PLATA CRATON / ARGENTINA_PROTEROZOIC / TANDILIA SYSTEM,,-37.32,-37.32,-59.15,-59.15,SUBAERIAL,,,s A30 [10638],"TRACHYANDESITE, BASALTIC [10638]",1590000000 [10638],1590000000 [10638],,PROTEROZOIC [10638],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10638] ,245216.401,9289.77,,82298.53050000001,,32032.52,73377.12,105401.88,52030.16,23036.127999999997,1161.687,,5312.96,35238.2075,1047.4104,,,,,,,,,,,,,,,,32200.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,29,,,,,,,,29,326,44,142,14,,,,,,,,,,,,,63,11,30,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575673,
