Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 8815 [10585],"MELILITITE, OLIVINE [10585]",,,,QUATERNARY [10585],,,,PORPHYRITIC [10585] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10585] ,156029.803,21576.239999999998,,37418.0457,,,,93897.84,115066.70000000001,85330.16,1781.2534,,17433.15,18546.425,6066.251899999999,,,,,,,,,,,,,,,,58500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,206,,,,,,,,,1310,,,,,,,,,,,,,,,,,88.9,179.7,,74.2,13.5,3.94,,1.56,,,,,1.48,0.188,7.1,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,439023,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 8816 [10585],"MELILITITE, OLIVINE [10585]",,,,QUATERNARY [10585],,,,PORPHYRITIC [10585] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10585] ,150888.018,22774.92,,37047.57,,,,94597.41,115066.70000000001,87440.79999999999,1781.2534,,17848.225,18917.353499999997,5891.6835,,,,,,,,,,,,,,,,57699.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,202,,,,,,,,,1195,,,,,,,,,,,,,,,,,90.7,184.7,,65.3,12,4,,1.41,,,,,1.41,0.162,7,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,439024,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 8817 [10585],"MELILITITE, OLIVINE [10585]",,,,QUATERNARY [10585],,,,PORPHYRITIC [10585] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [10585] ,156029.803,17980.199999999997,,38847.0234,,,,85269.81000000001,110778.5,91662.07999999999,1703.8076,,10874.965,17211.0824,5018.8414999999995,,,,,,,,,,,,,,,,75100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,277,,,,,,,,43,1148,,,,,,,,,,,,,,,,1028,81.5,164.4,,68,12.3,3.65,,1.35,,,,,1.68,0.221,5.6,8,,,,,,,,,,,9.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,439025,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 1 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,232595.65600000002,419.538,,5186.6598,,,,66692.34,7289.9400000000005,224933.91999999998,1316.5786,,1992.36,5341.3704,130.9263,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,,,,1335,,,,,,,,0,69,,,,,,,,,,,,,,,,125,7.6,12.1,,4,0.58,0.16,,0.061,,,,,0.1,,0.02,0.51,,,,,,,,,,,2,0.17,,,,,,,,,,,,,,,,,,,,,,,,,439027,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 2 [10585],"PERIDOTITE, GARNET, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,215394.048,3176.502,,17359.4328,,,,80061.90000000001,15937.81,215888.31999999998,1161.687,,2905.5249999999996,2003.0139000000001,130.9263,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2185,,,,1850,,,,,,,,0,23,,,,,,,,,,,,,,,,64,1.2,2.6,,1.6,0.43,0.15,,81,,,,,26,,0.42,0.15,,,,,,,,,,,0.15,0.03,,,,,,,,,,,,,,,,,,,,,,,,,439028,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 3 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,206466.0395,419.538,,10055.769,,,,58608.42,12364.31,255508.04799999998,929.3496,,166.03,2893.2423,130.9263,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360,,,,2280,,,,,,,,0,33,,,,,,,,,,,,,,,,95,1.8,2,,0.6,0.15,0.056,,0.037,,,,,0.18,0.036,0.04,0,,,,,,,,,,,0.55,0.16,,,,,,,,,,,,,,,,,,,,,,,,,439029,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 4 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,192863.681,359.604,,7250.738700000001,,,,65759.58,13007.54,266543.68,1161.687,,1162.21,6676.713,174.5684,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,,,,2340,,,,,,,,0,83,,,,,,,,,,,,,,,,36,3.2,7.8,,4,0.88,0.28,,0.106,,,,,0.16,0.025,0.11,0.95,,,,,,,,,,,0.33,0.08,,,,,,,,,,,,,,,,,,,,,,,,,439030,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 5 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,199267.54050000003,179.802,,3175.506,,,,62339.46,9791.390000000001,275709.888,1084.2412000000002,,747.135,3635.0993,174.5684,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,2460,,,,,,,,0,45,,,,,,,,,,,,,,,,36,1.9,4.5,,2.5,0.48,0.16,,0.053,,,,,0.05,,0.15,0.87,,,,,,,,,,,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,439031,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 6 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,207354.16600000003,419.538,,11537.671800000002,,,,58064.31,13221.95,254241.66399999996,929.3496,,830.1500000000001,5415.5561,174.5684,,,,,,,,,,,,,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3575,,,,2165,,,,,,,,0,91,,,,,,,,,,,,,,,,104,5.8,12.3,,6.4,0.92,0.28,,0.09,,,,,0.23,,0.07,0.24,,,,,,,,,,,1.05,0.3,,,,,,,,,,,,,,,,,,,,,,,,,439032,
[10585],INTRAPLATE VOLCANICS,SAHARA BASINS/ALGERIA / IN TERIA DISTRICT,,26.48,26.48,8.47,8.47,SUBAERIAL,,,s 7 [10585],"LHERZOLITE, SPINEL, XENOLITH [10585]",,,,,,,,,MANTLE XENOLITH,,,,,WHOLE_ROCK [10585] ,201698.2025,659.274,,11008.420800000002,,,,61406.700000000004,20940.710000000003,243386.944,1006.7954,,2905.5249999999996,8382.9841,130.9263,,,,,,,,,,,,,,,,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,,,,2155,,,,,,,,4,85,,,,,,,,,,,,,,,,254,5.8,14.6,,7.5,1.39,0.44,,0.16,,,,,0.32,,0.15,0.88,,,,,,,,,,,0.95,0.17,,,,,,,,,,,,,,,,,,,,,,,,,439033,
