Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6019 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,237036.28850000002,6472.872,,79811.0508,,14267.76,87446.25,104313.66,77259.07,36061.792,1703.8076,,2739.4950000000003,16617.5968,567.3473,,,,,,,,,,,,,,,,10700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,87,,,,,,,,9,112,30,53,5,,,,,,,,,,,,,135,5.95,14.46,,9.5,3.21,1.07,3.67,,3.84,,2.15,,2.36,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578731,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6020 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,239840.89850000004,6233.1359999999995,,80499.07710000001,,33990.840000000004,63116.759999999995,99028.02,77044.65999999999,36182.399999999994,1626.3618,,2490.45,16914.3396,567.3473,,,,,,,,,,,,,,,,5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,76,,,,,,,,6,111,26,53,4,,,,,,,,,,,,,115,5.69,13.8,,9.99,3.37,1.06,3.84,,3.95,,2.29,,2.45,0.44,,,,,,,,,,,,,,,0.51237,,,0.70883,,,,,,,,,,,,,,,,,,,,,578732,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6022 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,232408.682,5154.324,,88279.0668,,12169.56,74698.53,87912.63,85764,41609.76,1548.9160000000002,,2241.405,14392.0258,523.7052,,,,,,,,,,,,,,,,7900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,,125,,,,,,,,6,117,26,40,3,,,,,,,,,,,,,99,4.14,9.93,,7.11,2.52,0.84,3.1,,2.9,,1.77,,1.81,0.3,,,,,,,,,,,,,,,0.51248,,,0.7078,,,,,,,,,,,,,,,,,,,,,578733,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6024 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,228108.28,4554.9839999999995,,90872.39670000001,,23499.84,64360.439999999995,89700.42,82762.26,47278.335999999996,1471.4702,,1245.225,13872.7259,436.42100000000005,,,,,,,,,,,,,,,,8200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,,,,117,,,,,,,,5,105,19,30,4,,,,,,,,,,,,,80,3.35,8.58,,7.24,2.63,0.9,3.18,,3.01,,1.89,,1.87,0.36,,,,,,,,,,,,,,,0.51268,,,0.70405,,,,,,,,,,,,,,,,,,,,,578734,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6029 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,228341.99750000003,6412.938,,83251.1823,,14127.880000000001,88923.12,106023.72,79903.45999999999,42454.015999999996,1703.8076,,913.165,15059.697099999998,567.3473,,,,,,,,,,,,,,,,13300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,119,,,,,,,,3,105,29,43,4,,,,,,,,,,,,,47,2.98,8.66,,7.18,2.78,0.98,3.42,,3.57,,2.09,,2.22,0.4,,,,,,,,,,,,,,,0.51292,,,0.70317,,,,,,,,,,,,,,,,,,,,,578735,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s 6045 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,231333.58150000003,4794.72,,87855.66600000001,,11959.74,66070.5,87834.90000000001,81833.15,48424.111999999994,1471.4702,,1411.255,13946.9116,392.77889999999996,,,,,,,,,,,,,,,,11100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,185,,,,,,,,5,106,19,19,4,,,,,,,,,,,,,211,3.6,9.5,,7.48,2.37,0.82,2.94,,2.99,,1.59,,1.88,0.33,,,,,,,,,,,,,,,0.51256,,,0.70714,,,,,,,,,,,,,,,,,,,,,578736,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s LR-16A [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,238672.31100000002,5034.455999999999,,85685.7369,,7623.460000000001,79673.25,85036.62,80761.1,42514.32,1394.0244,,1660.3000000000002,15875.739800000001,436.42100000000005,,,,,,,,,,,,,,,,7700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,117,,,,,,,,6,92,25,75,6,,,,,,,,,,,,,44,4.01,10.05,,7.33,2.24,0.83,2.95,,3.29,,2.1,,2.05,0.34,,,,,,,,,,,,,,,0.51248,,,0.7075,,,,,,,,,,,,,,,,,,,,,578737,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s LR-16B [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,239560.43750000003,6592.74,,83674.5831,,5805.0199999999995,85891.65000000001,92731.89,74114.39,39800.63999999999,1471.4702,,3901.705,16246.6683,392.77889999999996,,,,,,,,,,,,,,,,9800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,123,,,,,,,,19,108,17,39,7,,,,,,,,,,,,,67,7.92,14.81,,10.2,3.41,0.97,4.02,,3.56,,2.33,,2.39,0.45,,,,,,,,,,,,,,,0.51173,,,0.7214,,,,,,,,,,,,,,,,,,,,,578738,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s LR-34 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,233997.96100000004,4674.852,,90184.3704,,6014.84,72833.01,79906.43999999999,83619.9,46072.255999999994,1394.0244,,1494.27,15282.2542,349.1368,,,,,,,,,,,,,,,,10100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,,,,169,,,,,,,,4,107,24,60,8,,,,,,,,,,,,,24,2.99,7.63,,5.7,1.83,0.73,2.23,,2.65,,1.76,,1.66,0.27,,,,,,,,,,,,,,,0.51261,,,0.70424,,,,,,,,,,,,,,,,,,,,,578739,
[15856],INTRAPLATE VOLCANICS,SAO FRANCISCO CRATON / BRAZIL_PROTEROZOIC / UAUA BLOCK / UAUA DIKES,,-9.83,-9.83,-39.47,-39.47,SUBAERIAL,,,s LR-38 [15856],"BASALT, THOLEIITIC [15856]",2000000000 [15856],2400000000 [15856],PALEO [15856],PROTEROZOIC [15856],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15856] ,232315.19500000004,5154.324,,86585.4636,,6644.299999999999,82471.53,91099.56000000001,81976.09000000001,44504.352,1471.4702,,1162.21,15504.811299999998,392.77889999999996,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,148,,,,,,,,4,113,27,70,6,,,,,,,,,,,,,24,3.29,8.49,,6.53,2.03,0.78,2.54,,3.16,,1.98,,1.8,0.36,,,,,,,,,,,,,,,0.51239,,,0.70474,,,,,,,,,,,,,,,,,,,,,578740,
