Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / AURIZONA GROUP / MATARA FORMATION,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK101A [13193],"SCHIST, TREMOLITE [13193]",2240000000 [13193],2240000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [13193] ,213804.76900000003,2277.4919999999997,,65256.6483,3215.74,,,85736.18999999999,56675.71,121512.55999999998,1626.3618,,332.06,3264.1708,130.9263,,,,,,,,,,,,,,,,61000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,177,,,,89.8,603,142,47,9.9,,,,,1.3,25,97,20,0.7,0.2,,,,,,,0,,,,0,32.6,82.6,9.1,34.9,139.5,33.1,12.78,25.58,5.23,31.44,5.17,13.72,1.92,13.44,1.76,0.6,0,25,,,,,,,,2.2,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,614829,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / AURIZONA GROUP / MATARA FORMATION,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK87 [13193],"SCHIST, TALC-TREMOLITE [13193]",2240000000 [13193],2240000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [13193] ,225911.33550000002,2756.964,,77641.1217,1094.72,,,65293.200000000004,100415.35,70314.46399999999,1084.2412000000002,,1328.24,7121.8272,261.8526,,,,,,,,,,,,,,,,25000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,165,,,,79.8,167,270,16,11.3,,,,,3,152,9,23,1.2,0.6,,,,,,,0,,,,0.3,40.6,1.6,4.5,0.67,2.8,1.3,0.49,1.43,0.28,1.5,0.37,1.11,0.18,1.03,0.15,0.8,0,125,,,,,,,,0.4,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,614830,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / AURIZONA GROUP / MATARA FORMATION,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK89 [13193],AMPHIBOLITE [13193],2240000000 [13193],2240000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [13193] ,271159.0435,9409.637999999999,,55677.2052,0,,,137737.56,49028.420000000006,2834.2879999999996,2013.5908,,2656.48,12685.7547,2531.2418,,,,,,,,,,,,,,,,9000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,0,,,,22.2,6,8,104,23.4,,,,,2.8,111,242,208,10.1,0.7,,,,,,,1,,,,0,83,34.1,70.9,13.43,66.5,23.7,7.75,29.68,5.79,33.42,7.69,21.91,3.03,18.52,2.77,6.7,0.7,65,,,,,,,,0.8,,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,614831,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / AURIZONA GROUP / PIROCAUA FORMATION,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK168A [13193],DACITE [13193],2240000000 [13193],2240000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,332907.207,4015.578,,71501.8101,27.368000000000002,,,38398.62,1357.93,4100.6720000000005,464.6748,,18512.345,25445.6951,610.9894,,,,,,,,,,,,,,,,22000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,13,,,,35.7,15.5,113.8,75,22.5,,,,,60.3,113,52,231,8.2,0.5,,,,,,,2,,,,0.9,909,28.9,64.9,8.4,35.9,8.5,2.4,7.69,1.4,8.16,1.8,5.41,0.82,5.29,0.82,7,0.6,151,,,,,,,,9.7,,4.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,614832,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / AURIZONA GROUP / PIROCAUA FORMATION,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK608 [13193],"ANDESITE, BASALTIC [13193]",2240000000 [13193],2240000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,368946.4455000001,2037.756,,41969.6043,328.416,,,29381.94,285.88,15618.735999999999,154.8916,,9712.755,1112.7855,218.21050000000002,,,,,,,,,,,,,,,,45000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,107,,,,39.2,96.7,90,60,9.2,,,,,37.6,46,18,41,1.5,1.3,,,,,,,,,,,0.9,132,8.1,17.6,2.45,12.8,2.4,0.73,2.7,0.42,2.78,0.51,1.47,0.27,1.39,0.24,1,0.1,3,,,,,,,,2.6,,0.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,614833,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / SERRO DO JACARA VOLCANIC UNIT,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK22B [13193],BASALT [13193],2150000000 [13193],2170000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,241009.48600000003,6293.07,,95159.3298,0,,,86047.11,55746.6,28584.096,1703.8076,,6641.200000000001,25148.9523,698.2736,,,,,,,,,,,,,,,,21000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,276,,,,52.2,5.6,96.9,86,19.6,,,,,17,480,26,23,4.1,0.6,,,,,,,1,,,,0.6,433,13.2,34.3,5.15,25.6,5.2,1.69,4.5,0.77,4.12,0.84,2.7,0.42,2.64,0.38,1.2,0.3,118,,,,,,,,1.1,,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,614834,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / SERRO DO JACARA VOLCANIC UNIT,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK185A [13193],"ANDESITE, BASALTIC [13193]",2150000000 [13193],2170000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,249563.54650000003,6592.74,,87855.66600000001,20.526,,,70190.18999999999,53602.5,23880.384,1084.2412000000002,,6807.23,23516.866899999997,1352.9051,,,,,,,,,,,,,,,,28000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,234,,,,49.8,14.7,184.6,106,21.4,,,,,23.4,545,32,117,4.1,1.4,,,,,,,0,,,,1,393,18.7,41.8,5.84,28,6,1.76,5.7,0.91,6.14,1.23,3.38,0.45,2.98,0.52,3.3,0.3,128,,,,,,,,0.8,,1.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,614835,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / SERRO DO JACARA VOLCANIC UNIT,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s AF534 [13193],ANDESITE [13193],2150000000 [13193],2170000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,275693.163,4734.786,,85526.96160000001,41.052,,,56742.9,35663.53,16040.864,851.9038,,8716.575,26929.409099999997,1003.7683000000001,,,,,,,,,,,,,,,,32000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,118,,,,30.5,13,49,64,17.8,,,,,27.5,376,24,119,4.1,1.1,,,,,,,0,,,,1.2,462,18.2,39.8,5.31,21.82,4.6,1.5,4.44,0.82,3.94,0.89,2.48,0.36,2.07,0.3,3.8,0.3,87,,,,,,,,5.8,,2.5,0.9,0.511703,,,,,,,,,,,,,,,,,,,,,,,,614836,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / SERRO DO JACARA VOLCANIC UNIT,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK185B [13193],ANDESITE [13193],2150000000 [13193],2170000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,311732.40150000004,2996.7,,84891.8604,47.894,,,29537.399999999998,16152.22,8321.952,697.0122,,6475.17,24629.6524,436.42100000000005,,,,,,,,,,,,,,,,46000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,83,,,,27.5,18.4,16.1,43,19,,,,,15.7,440,6,104,3.3,0.4,,,,,,,0,,,,0.5,376,9.3,18.6,1.97,7,1.5,0.49,1.22,0.18,1.22,0.22,0.63,0.1,0.71,0.11,3,0.2,123,,,,,,,,3.5,,1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,614837,
[13193],INTRAPLATE VOLCANICS,SAO LUIS CRATON CRATON / BRAZIL_PROTEROZOIC / SERRO DO JACARA VOLCANIC UNIT,,-1.25,-1.5,-45.5,-46,SUBAERIAL,,,s EK22C [13193],ANDESITE [13193],2150000000 [13193],2170000000 [13193],PALEO [13193],PROTEROZOIC [13193],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [13193] ,311919.3755,2457.294,,83145.33210000001,27.368000000000002,,,32180.219999999998,32090.030000000002,9286.815999999999,464.6748,,2822.51,31380.5511,567.3473,,,,,,,,,,,,,,,,17000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,66,,,,106.5,15.4,46,52,18.9,,,,,10,513,8,84,2.8,2.4,,,,,,,2,,,,0.7,303,9.8,23.6,3.02,12.55,2.49,0.59,1.7,0.3,1.45,0.26,0.94,0.14,0.8,0.08,2.6,0.2,597,,,,,,,,3.3,,1.4,0.6,0.511597,,,,,,,,,,,,,,,,,,,,,,,,614838,
