Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 1-7/P-01 [14121],BASALT [14121],942000000 [14121],1005000000 [14121],,PROTEROZOIC [14121],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14121] ,217357.27500000002,11986.8,,71978.136,,23010.260000000002,76719.51,,56318.36,52464.479999999996,1084.2412000000002,,8301.5,11127.855,654.6315,,,,,,,,,,,,,,,,50900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,190,128,,,29,62,,,,,,,,11,84,18,49,40,,,,,,,,,,,,,278,33.7,72,8.4,29.6,6,1.7,6.8,0.85,4.5,0.8,1.78,0.23,1.43,0.15,2.1,2.7,,,,,,,,,2.3,,3.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,515311,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 3-1/P-99 [14121],BASALT [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [14121] ,220863.0375,16062.312,,67955.8284,,28675.399999999998,90399.99,,51243.99,35519.056,1239.1328,,4814.87,27151.9662,916.4841,,,,,,,,,,,,,,,,34100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,301,73,,,45,47,,,,,,,,12,120,28,44,21.9,,,,,,,,,,,,,129,18.4,43.3,5.8,23.2,5.7,1.8,7.1,1.03,6,1.21,3.07,0.42,2.46,0.27,1.7,1.7,,,,,,,,,1.5,,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,515312,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 311 [14121],NOT GIVEN [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,214739.639,23374.26,,75206.56710000001,,43222.92,70734.3,,65680.93,34976.32,3407.6152,,10625.92,20475.2532,3753.2206,,,,,,,,,,,,,,,,7600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,321,202,,,41,94,,,,,,,,28,224,23,92,6.9,,,,,,,,,,,,,149,7.4,18.5,2.8,14.7,3.8,1.6,4.7,0.84,5.7,1.1,3.29,0.48,3.11,0.41,2.3,0.5,,,,,,,,,3.6,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,515313,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 315 [14121],NOT GIVEN [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,218151.9145,22954.721999999998,,76000.4436,,46580.04,64127.25,,65252.11000000001,35217.536,2168.4824000000003,,10625.92,21068.7388,3404.0838000000003,,,,,,,,,,,,,,,,12300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,384,229,,,50,63,,,,,,,,35,272,29,100,7.7,,,,,,,,,,,,,283,8.2,20.5,3.1,16.1,4.3,1.7,5.2,1,6.7,1.37,4.04,0.6,3.66,0.56,2.7,0.6,,,,,,,,,6.9,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,515314,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 265-14K [14121],NOT GIVEN [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,228949.663,10368.581999999999,,79387.65000000001,,23150.14,68557.86,,70898.24,37328.176,1703.8076,,8218.485,17507.8252,610.9894,,,,,,,,,,,,,,,,22100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,438,275,,,44,89,,,,,,,,41,302,28,103,8,,,,,,,,,,,,,991,7.9,19.9,3.2,16,4.4,1.7,5.5,0.91,6.5,1.29,3.81,0.52,3.6,0.38,2.8,0.6,,,,,,,,,3.8,,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,515315,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 262-2K [14121],NOT GIVEN [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,225537.3875,10548.384,,77323.5711,,44202.08,55343.76,,83905.78,39257.903999999995,1548.9160000000002,,3154.57,17878.7537,567.3473,,,,,,,,,,,,,,,,12100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,411,166,,,48,81,,,,,,,,9,207,28,116,7,,,,,,,,,,,,,246,6.9,17.6,3.1,14.5,4.2,1.7,5.3,0.93,6.2,1.35,3.91,0.54,3.52,0.47,2.9,0.5,,,,,,,,,2.1,,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,515316,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 256-7K [14121],DOLERITE [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,232502.16900000002,7791.42,,71872.2858,,17764.760000000002,76253.13,,79117.29000000001,39499.119999999995,1548.9160000000002,,4565.825000000001,15727.3684,523.7052,,,,,,,,,,,,,,,,25099.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,322,171,,,43,55,,,,,,,,25,146,25,102,6.5,,,,,,,,,,,,,120,9.1,22.6,3.3,15.8,4.1,1.4,4.7,0.76,5.6,1.16,3.39,0.5,3.07,0.43,2.5,0.5,,,,,,,,,4.8,,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,515317,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 256-19K [14121],DOLERITE [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,233951.2175,7911.288,,72189.8364,,40565.2,57520.200000000004,,54888.96,41067.024,1471.4702,,2158.39,19659.210499999997,654.6315,,,,,,,,,,,,,,,,45100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,329,122,,,44,50,,,,,,,,11,91,20,58,5.3,,,,,,,,,,,,,57,7.9,20.2,3.1,14.7,3.8,1,4.1,0.71,5.1,1,2.98,0.4,2.67,0.38,1.6,0.3,,,,,,,,,32.3,,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,515318,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 303-3 [14121],DOLERITE [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,225256.9265,10788.119999999999,,70178.6826,,25947.739999999998,89156.31000000001,,71827.35,38715.168,2168.4824000000003,,8218.485,15875.739800000001,1047.4104,,,,,,,,,,,,,,,,13100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,390,174,,,50,63,,,,,,,,28,224,29,109,6.6,,,,,,,,,,,,,234,7.8,19.8,3.1,15,4.2,1.7,5.5,0.94,6.3,1.37,4.04,0.6,3.84,0.47,2.8,0.4,,,,,,,,,7.8,,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,515319,
[14121],INTRAPLATE VOLCANICS,SIBERIAN CRATON / VERKHOYANSK-KOLYMA FOLD BELT / SETTE-DABAN RIFT,,60,64,136,138,SUBAERIAL,,,s 264-14K [14121],DOLERITE [14121],942000000 [14121],1010000000 [14121],,PROTEROZOIC [14121],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [14121] ,231987.99050000004,14743.764,,69384.8061,,36158.979999999996,75709.02,,47884.9,26352.847999999998,1858.6992,,11207.025000000001,29674.28,2007.5366000000001,,,,,,,,,,,,,,,,29100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,440,76,,,52,27,,,,,,,,31,280,40,183,9.6,,,,,,,,,,,,,588,22.7,49.9,7.6,34.3,8.1,2.3,8.7,1.22,8.6,1.84,5.16,0.73,4.37,0.56,4.6,0.6,,,,,,,,,6.6,,3.5,1.3,,,,,,,,,,,,,,,,,,,,,,,,,515320,
