Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.4378,-30.4378,-53.9017,-53.9017,SUBAERIAL,,,s RM32C [8782],SHOSHONITE [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,247132.88450000001,7431.816,,76741.395,,,,73454.84999999999,38951.15,32745.071999999996,1316.5786,,27893.039999999997,24332.9096,1920.2524,,,,,,,,,,,,,,,,25000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,86,495,24,252,14,,,,,,,,,,,,,120,51,100,,48,8.6,2,,0.9,,,,,1.4,0.3,5.9,0.8,,,,,,,,,,,12.4,4.2,,,,,,,,,,,,,,,,,,,,,,,,,614876,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.4369,-30.4369,-53.9036,-53.9036,SUBAERIAL,,,s RM33A [8782],SHOSHONITE [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,251199.56900000002,6652.674,,81610.5042,,,,55965.6,49385.770000000004,34855.712,1239.1328,,26730.83,20475.2532,1745.6840000000002,,,,,,,,,,,,,,,,18000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,75,671,23,200,15,,,,,,,,,,,,,1011,52,103,,49,8.4,2.1,,0.7,,,,,1.5,0.2,5.7,0.9,,,,,,,,,,,11.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,614877,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.5003,-30.5003,-53.8247,-53.8247,SUBAERIAL,,,s RM15A [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,221050.01150000002,10368.581999999999,,90872.39670000001,,,,96929.31000000001,62035.96,24242.207999999995,1858.6992,,6309.14,28635.6802,1003.7683000000001,,,,,,,,,,,,,,,,12000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,22,437,24,140,6,,,,,,,,,,,,,241,12.5,29.3,,16,5,1.9,,0.9,,,,,2.9,0.4,3.6,,,,,,,,,,,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,614878,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.5061,-30.5061,-53.8211,-53.8211,SUBAERIAL,,,s RM27A [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,223106.7255,10848.054,,94418.3784,,,,78196.38,60749.5,27257.407999999996,2168.4824000000003,,8135.47,30638.694099999997,1003.7683000000001,,,,,,,,,,,,,,,,26000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,33,496,22,130,7,,,,,,,,,,,,,178,12.3,29.1,,16,4.6,1.6,,0.6,,,,,2.5,0.3,3.7,0.1,,,,,,,,,,,1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,614879,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.4706,-30.4706,-54.0522,-54.0522,SUBAERIAL,,,s RM57FC [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,216235.431,16122.246,,82510.23090000001,,,,79906.43999999999,65037.7,26292.544,1471.4702,,7554.365000000001,24332.9096,3447.7259000000004,,,,,,,,,,,,,,,,52300.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,14,482,41,174,14,,,,,,,,,,,,,542,35.5,74.6,9.7,39,9,2.4,8.7,1.5,7.5,1.5,3.9,0.5,3.2,0.5,4.4,1.1,,,,,,,,,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,614880,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.49,-30.49,-54.0014,-54.0014,SUBAERIAL,,,s RM80DC [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,241663.89500000002,9289.77,,78540.8484,,,,76486.31999999999,39737.32,34312.976,1316.5786,,13614.46,29303.3515,4276.9258,,,,,,,,,,,,,,,,33900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,35,458,50,259,18,,,,,,,,,,,,,933,58,112,13.8,51.9,10.9,2.7,10.1,1.7,8.7,1.7,4.6,0.7,4,0.6,6.4,1.1,,,,,,,,,,,4.6,1,,,,,,,,,,,,,,,,,,,,,,,,,614881,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.4356,-30.4356,-53.9014,-53.9014,SUBAERIAL,,,s RM31 [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,298363.76050000003,4375.182,,77058.9456,,,,32180.219999999998,19654.25,10794.416,542.1206000000001,,35198.36,30045.208499999997,698.2736,,,,,,,,,,,,,,,,23000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,79,233,36,372,21,,,,,,,,,,,,,1069,74,135,,52,8.7,1.6,,1,,,,,3.8,0.5,8.6,1.6,,,,,,,,,,,10.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,614882,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.4372,-30.4372,-53.8878,-53.8878,SUBAERIAL,,,s RM171-C [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,325615.221,2217.558,,77958.6723,,,,19665.69,9148.16,3738.848,309.7832,,37190.72,25000.5809,392.77889999999996,,,,,,,,,,,,,,,,15600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,91,173,28,305,13,,,,,,,,,,,,,1070,48.1,84.2,8.9,31.5,5.4,0.9,4.3,0.8,4.7,1,2.9,0.5,3,0.5,0.5,1.1,,,,,,,,,,,10.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,614883,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.3681,-30.3681,-53.9503,-53.9503,SUBAERIAL,,,s RM11A [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,345621.439,1198.68,,62875.018800000005,,,,18810.66,500.29,904.56,619.5664,,41341.47,27003.5948,130.9263,,,,,,,,,,,,,,,,14000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,92,10,57,674,38,,,,,,,,,,,,,171,117,238,,101,19,0.6,,2.7,,,,,6.5,1,13.6,1.9,,,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,614884,
[8782],INTRAPLATE VOLCANICS,SUL RIO GRANDENSE SHIELD / BRAZIL_PROTEROZOIC / RAMADA PLATEAU,,-30.3669,-30.3669,-53.9425,-53.9425,SUBAERIAL,,,s RM10A [8782],NOT GIVEN [8782],,,NEO [8782],PROTEROZOIC [8782],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [8782] ,349080.45800000004,1198.68,,63668.8953,,,,15079.619999999999,428.82,904.56,154.8916,,42420.665,25445.6951,87.2842,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,93,10,63,672,42,,,,,,,,,,,,,158,107,221,,89,19,0.7,,2.7,,,,,6.8,1.1,14,1.8,,,,,,,,,,,11.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,614885,
