Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM16B [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,228201.76700000002,6952.343999999999,,87908.5911,,11400.22,63194.490000000005,,91767.48,32805.376000000004,1006.7954,,4482.81,18101.3108,305.4947,,,,,,,,,,,,,,,,12900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,200,98,,,,55,,58,,,,,,19,250,23,76,,,,,,,,,,,,,,28,3,12.4,,9.15,2.778,0.6,2.48,,2.6,0.6,2.04,,1.68,0.24,,,,,,,,,,,,,,,0.5128,,,,,,,,,,,,,,,,,,,,,,,,614551,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM29 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,238672.31100000002,17800.398,,54989.178900000006,,14967.160000000002,107111.93999999999,,62107.42999999999,32745.071999999996,1703.8076,,3486.6299999999997,16914.3396,1091.0525,,,,,,,,,,,,,,,,24000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,89,39,,,46.4,43,,150,,,,,,5,110,61,190,,,,,,,,,,,,,,35,14.2,36,,23.5,6.9,2.1,,1.5,,,,,6.1,0.72,5.23,,,,,,,,,,,,2.5,0.46,,,,,,,,,,,,,,,,,,,,,,,,,614552,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM40B [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,216562.6355,16421.916,,69966.98220000001,,20282.6,92887.34999999999,,62607.72,43237.96799999999,1703.8076,,3652.66,25668.2522,960.1262,,,,,,,,,,,,,,,,20900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,360,142,,,,78,,100,,,,,,11,85,46,160,,,,,,,,,,,,,,20,6.9,22.6,,18.04,5.42,1.14,5.57,,6.5,1.4,4.6,,4.14,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614553,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM179 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,219834.68050000002,18160.001999999997,,68696.7798,,699.4000000000001,142012.71,,60106.270000000004,29126.832,1858.6992,,3237.585,16840.1539,1309.263,,,,,,,,,,,,,,,,23900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,290,23,,,53.6,35,,152,,,,,,7,41,50,210,,,,,,,,,,,,,,18,18.8,45,,25.7,8.4,2.3,,1.4,,,,,5.2,0.64,6.45,,,,,,,,,,,,4.7,0.91,,,,,,,,,,,,,,,,,,,,,,,,,614554,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM180 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,219227.015,12106.668,,81187.1034,,5944.9,94364.22,,78545.53,51379.007999999994,1316.5786,,3735.675,5934.856,829.1999000000001,,,,,,,,,,,,,,,,19100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,340,250,,,,75,,105,,,,,,6,190,31,120,,,,,,,,,,,,,,17,4.9,16.9,,13.44,3.75,1,3.91,,4.34,0.94,2.9,,2.39,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614555,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM184 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,215487.53500000003,14803.698,,75418.2675,,16435.9,96929.31000000001,,85120.77,42514.32,2168.4824000000003,,2822.51,9569.9553,872.8420000000001,,,,,,,,,,,,,,,,16299.999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,480,110,,,,57,,147,,,,,,8,130,33,120,,,,,,,,,,,,,,12,5.8,20.1,,14.94,4.15,1.2,4.21,,4.5,1,3.16,,2.7,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614556,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM188 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,215066.84350000002,20437.494,,64780.322400000005,,28185.820000000003,109599.3,,69182.95999999999,32805.376000000004,1548.9160000000002,,6226.125,17804.568,1440.1893,,,,,,,,,,,,,,,,20200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,620,70,,,48.4,39,,142,,,,,,9,94,53,200,16.5,,,,,,,,,,,,,19,16.9,42,,27.254,7.842,2.6,,1.5,,,,,7.2,0.83,5.87,1.8,,,,,,,,,,,2.3,0.66,0.512597,,,,,,,,,,,,,,,,,,,,,,,,614557,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM191 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,229650.81550000003,17081.19,,65680.0491,,28465.58,102214.95,,62464.78,30513.823999999997,1703.8076,,5146.93,14614.5829,1396.5472,,,,,,,,,,,,,,,,16600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,420,36,,,,32,,166,,,,,,8,110,57,230,,,,,,,,,,,,,,22,11.9,33.6,,22.79,6.39,1.5,6.89,,8.2,1.7,5.41,,4.88,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614558,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM201 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,214131.97350000002,13365.282,,72295.6866,,19303.44,99649.86,,73328.22,39499.119999999995,1626.3618,,5146.93,25445.6951,785.5577999999999,,,,,,,,,,,,,,,,19600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,240,56,,,,57,,137,,,,,,7,93,37,120,,,,,,,,,,,,,,10,5.6,18.2,,14.4,4.07,1.2,4.34,,4.9,1.1,3.31,,2.81,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614559,
[7538],INTRAPLATE VOLCANICS,TOCANTINS PROVINCE / BRAZIL_PROTEROZOIC / BRASILIA BELT / JUSQUELANDIA SEQUENCE,,-15.0867,-15.2078,-49.1586,-49.2997,SUBAERIAL,,,s RM205 [7538],BASALT [7538],1300000000 [7538],1300000000 [7538],MESO [7538],PROTEROZOIC [7538],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [7538] ,210299.00650000002,13245.413999999999,,70972.5591,,26297.44,89389.5,,77616.42,43177.664,1548.9160000000002,,7056.275,24036.1668,741.9157,,,,,,,,,,,,,,,,16000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,300,66,,,55.2,55,,130,,,,,,8,110,33,100,,,,,,,,,,,,,,64,5.9,16.7,,15.018,4.794,1.5,,1.3,,,,,3.6,0.48,3.05,0.32,,,,,,,,,,,0.66,,0.512894,,,,,,,,,,,,,,,,,,,,,,,,614560,
