Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5195],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / OTTAWA ISLANDS / PETER^S FLOW,,59.5,60,-80,-81,SUBAERIAL,,,s G31 [5195],THOLEIITE [5195],1900000000 [5195],1900000000 [5195],,PROTEROZOIC [5195],,,,OLIVINE CUMULATE [5195] ,VOLCANIC ROCK,,,MODERATELY ALTERED,,WHOLE_ROCK [5195] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.812,,,,,,,,,0.126,0.578,,,,,,,,,,,,,,0.512904,,,,,,,,,,,,,,,,,0.282872,,,,,,,176561,
[5195],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / OTTAWA ISLANDS / PETER^S FLOW,,59.5,60,-80,-81,SUBAERIAL,,,s G36 [5195],THOLEIITE [5195],1900000000 [5195],1900000000 [5195],,PROTEROZOIC [5195],,,,,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5195] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,1.78,,,,,,,,,0.203,0.996,,,,,,,,,,,,,,0.512852,,,,,,,,,,,,,,,,,0.282833,,,,,,,176562,
[5195],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / OTTAWA ISLANDS / CHARLES^ FLOW,,59.5,60,-80,-81,SUBAERIAL,,,s G55 [5195],"BASALT, KOMATIITIC [5195]",1900000000 [5195],1900000000 [5195],,PROTEROZOIC [5195],,,,PYROXENE SPINIFEX [5195] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5195] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,2.42,,,,,,,,,0.253,1.38,,,,,,,,,,,,,,0.512161,,,,,,,,,,,,,,,,,0.282635,,,,,,,176563,
[5591],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / UNGAVA PENINSULA / POVUNGNITUK FORMATION,,61,62,-72,-78,SUBAERIAL,,,s VA3 [5591],PYROXENITE [5591],1430000000 [5591],1650000000 [5591],,PROTEROZOIC [5591],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5591] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0864,16.96,,,,,,,,,,,,,,,,,,,,1.776,0.6531,,,,,,,,,,,,,,,,,,,,,,,,0.513147,,,0.70635,,,,,,,,,,,,,,,,,,,,,178651,
[5591],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / UNGAVA PENINSULA / POVUNGNITUK FORMATION,,61,62,-72,-78,SUBAERIAL,,,s VA13 [5591],PYROXENITE [5591],1430000000 [5591],1650000000 [5591],,PROTEROZOIC [5591],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5591] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,6.2,,,,,,,,,,,,,,,,,,,,1.131,3.668,,,,,,,,,,,,,,,,,,,,,,,,0.512792,,,0.71779,,,,,,,,,,,,,,,,,,,,,178653,
[5591],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / UNGAVA PENINSULA / POVUNGNITUK FORMATION,,61,62,-72,-78,SUBAERIAL,,,s VA19 [5591],GABBRO [5591],1430000000 [5591],1650000000 [5591],,PROTEROZOIC [5591],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5591] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,84.98,,,,,,,,,,,,,,,,,,,,7.784,2.44,,,,,,,,,,,,,,,,,,,,,,,,0.5127,,,0.70704,,,,,,,,,,,,,,,,,,,,,178655,
[5591],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / UNGAVA PENINSULA / CHUKOTAT FORMATION,,61,62,-72,-78,SUBAERIAL,,,s SS120 [5591],NOT GIVEN [5591],1430000000 [5591],1490000000 [5591],,ARCHEAN [5591],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [5591] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.176,1.436,,,,,,,,,,,,,,,,,,,,,,,,0.512918,,,,,,,,,,,,,,,,,,,,,,,,178659,
[5591],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / UNGAVA PENINSULA / CHUKOTAT FORMATION,,61,62,-72,-78,SUBAERIAL,,,s SS123 [5591],NOT GIVEN [5591],1430000000 [5591],1490000000 [5591],,ARCHEAN [5591],,,,GABBROIC TEXTURE [5591] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [5591] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.073,2.036,,,,,,,,,,,,,,,,,,,,,,,,0.512907,,,,,,,,,,,,,,,,,,,,,,,,178660,
[5195],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / OTTAWA ISLANDS / CHARLES^ FLOW,,59.5,60,-80,-81,SUBAERIAL,,,s G55 [5195],"BASALT, KOMATIITIC [5195]",1900000000 [5195],1900000000 [5195],,PROTEROZOIC [5195],,,,PYROXENE SPINIFEX [5195] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [5195] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282639,,,,,,,182823,
[5266],INTRAPLATE VOLCANICS,TRANS-HUDSON OROGEN / CIRCUM-SUPERIOR BELT / OTTAWA ISLANDS,,59.5,60,-80,-81,SUBAERIAL,,,s G18 [5266],KOMATIITE [5266],,,,,,,,,VOLCANIC ROCK,,,,HE3_HE4(R/R(A)) from OLIVINE [5266],MINERAL / COMPONENT (INCL. GROUNDMASS) [5266] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,189658,
