Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10581],INTRAPLATE VOLCANICS,URALS / NORTH URALS / MAIN URAL FAULT ZONE / MALINOVKA COMPLEX,,61,61,63,63,SUBAERIAL,,,s 1005 [10581],MONZODIORITE [10581],,,,ORDOVICIAN [10581],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10581] ,292614.31000000006,5993.4,,54777.4785,,49307.7,12281.34,,21298.06,26594.064,1626.3618,,19425.51,48740.0049,2051.1787,,,,,,,,,,,,,,,,2100.,,,,,,,,,,,,,,17.31,3.86,,,,,,,,,,,,,12.37,,3.28,132.6,,,2.91,10.14,,,31.4,,,,,23.56,270.6,62.35,563.99,114.29,0.93,,,,,,,,,,,1.34,1228.06,57.36,133.92,16,65.77,13.6,5.47,12.5,1.86,10.87,2.21,5.66,0.77,4.93,0.72,12,4.93,4.73,,,,,,,,,,6.25,1.73,,,,,,,,,,,,,,,,,,,,,,,,,512331,
[10581],INTRAPLATE VOLCANICS,URALS / NORTH URALS / MAIN URAL FAULT ZONE / MALINOVKA COMPLEX,,61,61,63,63,SUBAERIAL,,,s 8089 [10581],MONZODIORITE [10581],,,,ORDOVICIAN [10581],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10581] ,296260.303,1078.812,,91401.6477,,11400.22,5596.5599999999995,,6718.179999999999,904.56,154.8916,,40179.26,22552.4528,480.0631,,,,,,,,,,,,,,,,9600.,,,,,,,,,,,,,,7.66,3.48,,,,,,,,,,,,,6.31,,12.31,756.5,,,2.77,26.1,,,25.88,,,,,207.36,22.15,37.48,160.66,27.02,1.65,,,,,,,,,,,4.4,1066.79,23,56.46,5.9,23.4,5.69,0.49,5.65,0.97,6.02,1.28,3.53,0.57,3.93,0.67,5.8,2.1,2.75,,,,,,,,,,15.56,2.27,,,,,,,,,,,,,,,,,,,,,,,,,512332,
[10581],INTRAPLATE VOLCANICS,URALS / NORTH URALS / MAIN URAL FAULT ZONE / MALINOVKA COMPLEX,,61,61,63,63,SUBAERIAL,,,s 5019 [10581],GRANITE [10581],,,,ORDOVICIAN [10581],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [10581] ,345107.26050000003,2037.756,,43504.4322,,19093.62,8394.84,,17438.68,13749.311999999998,309.7832,,14859.685,36128.4359,480.0631,,,,,,,,,,,,,,,,12500.,,,,,,,,,,,,,,5.74,7.21,,,,,,,,,,,,,0.73,,3.81,248.17,,,1.01,,,,37.17,,,,,36.08,14.67,184.06,364.82,133.84,4.45,,,,,,,,,,,0.29,500.15,85.28,193.97,21.77,81.78,20.92,2.78,22.4,4.15,27.36,6.03,15.78,2.25,13.66,1.83,12.32,7.8,2.34,,,,,,,,,,14.31,4.83,,,,,,,,,,,,,,,,,,,,,,,,,512333,
[10581],INTRAPLATE VOLCANICS,URALS / NORTH URALS / MAIN URAL FAULT ZONE / MALINOVKA COMPLEX,,61,61,63,63,SUBAERIAL,,,s 02119 [10581],TRACHYRHYOLITE [10581],,,,ORDOVICIAN [10581],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10581] ,329494.9315,1138.7459999999999,,75788.74320000001,,3357.12,4896.99,,1643.8100000000002,301.52,154.8916,,98040.71500000001,1928.8282,130.9263,,,,,,,,,,,,,,,,5100.,,,,,,,,,,,,,,5.24,2.32,,,,,,,,,,,,,1.58,,10.22,297.11,,,27.26,250.9,,,25.21,,,,,100.48,45.65,175.41,756.71,175.9,1.99,,,,,,,,,,,0.41,3044.78,152.88,198.11,25.94,105.64,24.91,5.01,26.56,4.83,30.93,6.42,16.52,2.34,14.41,2.21,25.59,4.9,2.53,,,,,,,,,,13.99,3.59,,,,,,,,,,,,,,,,,,,,,,,,,512334,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / KABANSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 34147 [15224],BASALT [15224],,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,234184.93500000003,5394.0599999999995,,93889.1274,,33501.26,41896.469999999994,,27301.539999999997,40283.07199999999,2091.0366,,17931.24,26113.3664,872.8420000000001,,,,,4400.,,,,,,,,,,,43200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,135,144,,,44,80,211,71,,,,,,47,114,18,62,,,,,,,,,,,,,,,7,17.1,,14,3.72,1.34,,0.57,,,,,1.8,0.25,1.7,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518128,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / PAVDINSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 30350 [15224],"ANDESITE, BASALTIC [15224]",,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,247834.03700000004,4075.512,,86532.53850000001,,65184.08,1165.95,,39094.09,51861.439999999995,,,1245.225,18472.2393,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,253,,,33.4,100,116,77,,,,,,11,344,,79,,,,,,,,,,,,,,,6.9,11.4,,7,2.87,0.84,,0.46,,,,,1.6,0.32,1.7,0.03,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,518130,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / PAVDINSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 30390 [15224],BASALT [15224],,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,247039.39750000002,4195.379999999999,,91825.0485,,15316.859999999999,43140.15,,54031.32,35217.536,851.9038,,4399.795,19733.3962,654.6315,,,,,6000.,,,,,,,,,,,35400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,44,,,24.6,,164,72,,,,,,5,337,,121,,,,,,,,,,,,,,,9.5,17.7,,9,3.86,1.05,,0.41,,,,,2,0.37,2.6,0.04,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,518131,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / PAVDINSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 30597 [15224],"ANDESITE, BASALTIC [15224]",,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,251293.056,5154.324,,92724.7752,,60847.799999999996,1010.49,,41738.479999999996,38654.864,,,830.1500000000001,25074.7666,610.9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,33,,,21.9,,146,73,,,,,,,256,,99,,,,,,,,,,,,,,,8.4,14.1,,10,3.49,0.87,,0.46,,,,,1.9,0.39,2.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,518132,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / IMENNOVSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 6/95 [15224],BASALT [15224],,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,233717.50000000003,4015.578,,75524.1177,,22240.920000000002,35833.530000000006,,73328.22,37810.60799999999,1084.2412000000002,,1494.27,25223.138,698.2736,,,,,14300.,,,,,,,,,,,54400.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,300,209,,,33.3,,129,86,,,,,,2.2,311,,85,,,,,,,,,,,,,,,11.6,22.7,,14,3.87,0.99,,0.62,,,,,2.1,0.36,2.1,0.13,,,,,,,,,,,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,518133,
[15224],INTRAPLATE VOLCANICS,URALS / CENTRAL URALS / TAGIL ISLAND ARC / IMENNOVSKII COMPLEX,AREA OF URAL SUPERDEEP HOLE SD-4,58.29,58.29,59.75,59.75,SUBAERIAL,,,s 4/95 [15224],BASALT [15224],,,,PALEOZOIC [15224],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [15224] ,241897.61250000002,4015.578,,86532.53850000001,,30004.260000000002,30858.81,,67181.8,23458.255999999998,1006.7954,,1743.3149999999998,22478.267099999997,610.9894,,,,,2800.0000000000005,,,,,,,,,,,60100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,23,,,19.4,,135,85,,,,,,1.2,193,,86,,,,,,,,,,,,,,,11.1,22.2,,13,3.43,0.96,,0.52,,,,,2.1,0.27,1.6,0.06,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,518134,
