Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / GUENA METATONALITE,GUENA,-4.4,-4.4,12.25,12.25,SUBAERIAL,,,s MG1 [5988],GNEISS [5988],,,,PROTEROZOIC [5988],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5988] ,252227.92600000004,5993.4,,102568.8438,,,,51612.719999999994,34948.829999999994,20623.967999999997,542.1206000000001,,27727.01,32122.4081,130.9263,,,,,,,,,,,,,,,,21200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,512,,,,,,,,,,,,,,,,1244,80.5,140.9,,53.3,7.4,2,5.8,,2.8,,1.3,,0.8,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202246,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / GUENA METATONALITE,GUENA,-4.4,-4.4,12.25,12.25,SUBAERIAL,,,s MG2 [5988],GNEISS [5988],,,,PROTEROZOIC [5988],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5988] ,276628.033,5993.4,,87432.2652,,,,47648.49,31160.920000000002,17849.984,697.0122,,23991.335000000003,26335.923499999997,1309.263,,,,,,,,,,,,,,,,16800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,431,,,,,,,,,,,,,,,,898,66.3,111.1,,43.2,6.1,1.8,5.3,,2.6,,1.2,,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202247,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / GUENA METATONALITE,GUENA,-4.4,-4.4,12.25,12.25,SUBAERIAL,,,s MG3 [5988],GNEISS [5988],,,,PROTEROZOIC [5988],,,,,METAMORPHIC ROCK,,,,,WHOLE_ROCK [5988] ,264614.9535,5813.597999999999,,89602.1943,,,,50291.31,35877.939999999995,18754.543999999998,619.5664,,24821.485,26484.294899999997,174.5684,,,,,,,,,,,,,,,,25299.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,455,,,,,,,,,,,,,,,,1047,55.9,102.1,,38.6,5.4,1.5,4.4,,2.6,,1.5,,1.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202248,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / LES SARAS GRANODIORITE,LES SARAS,-4.36,-4.36,12.35,12.35,SUBAERIAL,,,s 88457 [5988],GRANODIORITE [5988],,,,PROTEROZOIC [5988],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,268494.664,3835.776,,103627.3458,,,,33657.090000000004,26158.02,12362.319999999998,232.3374,,31960.775,36128.4359,1527.4734999999998,,,,,,,,,,,,,,,,23100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,162.7,385.83,15.7,218,15,,,,,,,,,,,,,1586,117.4,214.7,,77.81,12.37,2.1,9.2,,4.38,,1.44,,1.01,0.14,,,,,,,,,,,,,58,,0.510978,,,0.737864,,,,,,,,,,,,,,,,,,,,,202249,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO,"PK8, MOUNT MFOUBOU",-4.5,-4.5,12.3,12.3,SUBAERIAL,,,s PK-8.2 [5988],GRANITE [5988],1050000000 [5988],1050000000 [5988],,PROTEROZOIC [5988],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,339731.75800000003,1798.0199999999998,,66050.5248,,,,24640.41,4574.08,3618.24,232.3374,,41424.485,21736.4101,174.5684,,,,,,,,,,,,,,,,6700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.1,42.88,54.7,147,19,,,,,,,,,,,,,710,85.9,175.6,,74.1,13.27,1.9,9.2,,9.7,,6,,6.9,1.3,,,,,,,,,,,,,30,,0.511296,,,0.887236,,,,,,,,,,,,,,,,,,,,,202250,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO,"PK8, MOUNT MFOUBOU",-4.5,-4.5,12.3,12.3,SUBAERIAL,,,s PK-8.4 [5988],GRANITE [5988],1050000000 [5988],1050000000 [5988],,PROTEROZOIC [5988],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,366983.2185000001,899.0099999999999,,57529.583699999996,,,,12747.72,6074.95,1929.7279999999998,232.3374,,39017.05,17952.9394,87.2842,,,,,,,,,,,,,,,,4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.2,56.72,57.7,103,13,,,,,,,,,,,,,586,80.8,154.2,,56.82,9.58,1.7,8.3,,10.8,,5.7,,6.3,1.2,,,,,,,,,,,,,35,,0.511259,,,0.851253,,,,,,,,,,,,,,,,,,,,,202251,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / MOUNT KANDA GRANITE,MOUNT KANDA,-4.2,-4.36,12.06,12.15,SUBAERIAL,,,s K.2 [5988],GRANITE [5988],,,,PROTEROZOIC [5988],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,352305.75950000004,659.274,,63827.670600000005,,,,20442.989999999998,2644.39,1507.6,154.8916,,33953.135,24629.6524,130.9263,,,,,,,,,,,,,,,,11200.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,345.6,21.02,227.8,185,78,,,,,,,,,,,,,127,282.5,475.1,,228.59,47.85,1.9,42.4,,39.2,,21.7,,19.8,2.9,,,,,,,,,,,,,92,,0.511668,,,1.296202,,,,,,,,,,,,,,,,,,,,,202252,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / MOUNT KANDA GRANITE,MOUNT KANDA,-4.2,-4.36,12.06,12.15,SUBAERIAL,,,s K.3 [5988],GRANITE [5988],,,,PROTEROZOIC [5988],,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,353053.65550000005,599.34,,64039.371,,,,21064.829999999998,2787.33,1567.904,154.8916,,34285.195,25742.4379,130.9263,,,,,,,,,,,,,,,,10600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,345.3,21.81,267.1,216,72,,,,,,,,,,,,,155,269.6,458,,232.16,51,1.9,47.3,,43.3,,22.6,,21.2,3.1,,,,,,,,,,,,,99,,0.511648,,,1.281281,,,,,,,,,,,,,,,,,,,,,202253,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / BIBABAMBA GRANITE,"BIBABAMBA, 2 KM NE OF MOUNT KANDA",-4.2,-4.2,12,12,SUBAERIAL,,,s SM.1A [5988],GRANITE [5988],,,,PROTEROZOIC [5988],,,,PORPHYRITIC TO GRANOPHYRIC [5988] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,366562.52700000006,1798.0199999999998,,56100.606,,,,12592.26,9076.69,3377.0240000000003,154.8916,,16852.045,21958.9672,87.2842,,,,,,,,,,,,,,,,11000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202254,
[5988],INTRAPLATE VOLCANICS,WEST-AFRICAN COASTAL BELTS - PAN-AFRICAN / WEST CONGOLIAN BELT / CONGO / BIBABAMBA GRANITE,"BIBABAMBA, 2 KM NE OF MOUNT KANDA",-4.2,-4.2,12,12,SUBAERIAL,,,s SM.1B [5988],GRANITE [5988],,,,PROTEROZOIC [5988],,,,PORPHYRITIC TO GRANOPHYRIC [5988] ,PLUTONIC ROCK,,,,,WHOLE_ROCK [5988] ,365534.17000000004,1378.482,,59805.363000000005,,,,9016.679999999998,7861.700000000001,3738.848,154.8916,,18346.315,21068.7388,87.2842,,,,,,,,,,,,,,,,10500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4,8.07,33.5,221,11,,,,,,,,,,,,,885,30.3,63.5,,25.08,5.29,1.1,6.3,,6.8,,3.6,,4,0.8,,,,,,,,,,,,,25,,0.51156,,,0.769299,,,,,,,,,,,,,,,,,,,,,202255,
