Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-33,CC,PC. 2 [2118]",THOLEIITE [2118],,,,,,,,"FINE- TO MEDIUM-GRAINED, SLIGHTLY GLOMEROPORPHYRITIC [2118] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2118] ,234745.85700000002,8330.826,,78434.9982,,,,82160.61,80975.51,43117.36,1626.3618,,5312.96,16024.111200000001,305.4947,,,,,,,,,,,,,,,,17000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138180,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-34-3,142-150 [2118]",THOLEIITE [2118],,,,,,,,"FINE- TO MEDIUM-GRAINED, SLIGHTLY GLOMEROPORPHYRITIC [2118] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [2118] ,232969.60400000002,7911.288,,76212.144,,,,81771.95999999999,85978.40999999999,44685.263999999996,1703.8076,,83.015,16024.111200000001,829.1999000000001,,,,,,,,,,,,,,,,2700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138181,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-35-3,13-20 [2118]","BASALT, ALKALINE [2118]",,,,,,,,"FINE-GRAINED, NONPORPHYRITIC [2118] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2118] ,228809.43250000002,20737.163999999997,,83357.0325,,,,89078.58,45311.979999999996,46675.296,3330.1693999999998,,7637.38,24629.6524,1440.1893,,,,,,,,,,,,,,,,31000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138182,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-35-4,87-97 [2118]","BASALT, ALKALINE [2118]",,,,,,,,"FINE-GRAINED, NONPORPHYRITIC [2118] ",VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [2118] ,232268.4515,20017.956,,82563.156,,,,81461.04000000001,50672.229999999996,41670.064,1161.687,,6890.245,27003.5948,1265.6209,,,,,,,,,,,,,,,,22500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138183,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-37-1,126-133 [2118]","BASALT, ALKALINE [2118]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2118] ,226659.23150000002,5633.795999999999,,84468.4596,,,,69412.89,93554.23,42695.231999999996,1703.8076,,5562.005,23442.6812,741.9157,,,,,,,,,,,,,,,,30500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138184,
[2118],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 261 / INDIAN OCEAN,,-12.9472,-12.9472,117.8927,117.8927,SUBAQUATIC,,,"s 27-261-38-5,110-120 [2118]","BASALT, ALKALINE [2118]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2118] ,233437.03900000002,5993.4,,80869.5528,,,,73454.84999999999,84620.48,45831.03999999999,1936.145,,5063.915,16246.6683,349.1368,,,,,,,,,,,,,,,,16800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138185,
[5580],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / INDIAN OCEAN,,-12.32,-12.32,118.3,118.3,SUBAQUATIC,-5404,-5404,s V28-343 [5580],"CLAY, SILICIC [5580]",,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [5580] ,260641.75600000002,4123.459199999999,,87114.7146,,,,45549.780000000006,5431.72,17669.072,2416.30896,,20753.75,33977.0506,637.17466,,,,,,,,,,,,,,,,100100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,126,77,,,,70.8,155.9,57,,,,,,,132,26.3,129,,,,,,,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141334,
[1593],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 765 / INDIAN OCEAN,HOLE 765C,-15.9757,-15.9757,117.5748,117.5748,SUBAQUATIC,-5724.3,-5724.3,"s 123-765C-63R-01,122-124 [1593]",THOLEIITE [1593],,,UPPER [1593],JURASSIC [1593],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1593] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,7,,7,3.23,1.1,,0.9,,1.4,,,4.1,0.59,2.9,2.4,,,,,,,,,,,0.3,0.19,,,,,,18.184,,15.418,,37.528,,,,,,,,,,,,,,,43273,
[1593],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 765 / INDIAN OCEAN,HOLE 765D,-15.9757,-15.9757,117.5748,117.5748,SUBAQUATIC,-5724.3,-5724.3,"s 23-765D-01R-01,94-96 [1593]",THOLEIITE [1593],,,UPPER [1593],JURASSIC [1593],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1593] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,8,,8,2.98,1.03,,0.8,,1.4,,0.5,3.6,0.6,2.5,1.3,,,,,,,,,,,0.3,0.11,0.51309,,,,,18.121,,15.49,,37.68,,,,,,,,,,,,,,,43274,
[1593],OCEAN-BASIN FLOOD BASALT,ARGO ABYSSAL PLAIN / SITE 765 / INDIAN OCEAN,HOLE 765D,-15.9757,-15.9757,117.5748,117.5748,SUBAQUATIC,-5724.3,-5724.3,"s 23-765D-07R-02,9-11 [1593]",THOLEIITE [1593],,,UPPER [1593],JURASSIC [1593],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1593] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,7,,8,3.07,1.06,,0.9,,1.3,,0.5,3.7,0.55,2.3,1.8,,,,,,,,,,,0.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,43275,
