Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4590],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 452 / PACIFIC OCEAN,,17.67,17.67,148.63,148.63,SUBAQUATIC,,,s 452C [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2829,,,,,,,105980,
[4590],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 585 / PACIFIC OCEAN,HOLE 585,13.4833,13.4833,156.8152,156.8152,SUBAQUATIC,-6122,-6122,s 89-585-21 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282813,,,,,,,105982,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-57R-2,109-115 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,509.19,509.19,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,227453.871,8510.627999999999,,87485.19030000002,,41334.54,36921.75,,60963.909999999996,44745.568,1239.1328,,6973.259999999999,20623.6246,436.42100000000005,,20500.,,,5800.,,,,,,,,,,,27000.,,,,,,,,,,,,,,,,,,,,,,,,234,,,,48.8,,423,167,,,,88,162,119,20,,,,,8,161,28,101,7,,,,,,,,,,,,0.09,56,9.07,19.88,2.65,12.73,3.19,1.22,4.16,,4.61,0.87,2.52,,2.36,0.39,2.3,0.46,,,,,,,,,4,,0.62,0.17,,,,,,,,,,,,,,,,,,,,,,,,,130326,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-57R-3,1-6 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,509.61,509.61,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,231380.325,7012.277999999999,,78329.148,,28675.399999999998,49980.39,,83619.9,47459.248,1548.9160000000002,,830.1500000000001,19659.210499999997,174.5684,,11100.000000000002,,,1200.,,,,,,,,,,,11700.,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,357,156,,,,103,157,92,15,,,,,4,98,25,64,4,,,,,,,,,,,,,10,2,12,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,130327,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-57R-3,37-42 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,509.97,509.97,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,233530.526,7072.2119999999995,,76741.395,,24898.64,56431.979999999996,,83548.43,46976.816,1626.3618,,747.135,19065.724899999997,130.9263,,6300.,,,2200.,,,,,,,,,,,10200.,,,,,,,,,,,,,,,,,,,,,,,,275,,,,49.4,,354,138,,,,100,155,90,17,,,,,2,104,24,67,4,,,,,,,,,,,,0.2,26,3.17,8.6,,15,2.32,0.88,,0.57,,,,,2.37,0.356,1.76,0.19,,,,,,,,,6,,0.22,0.4,,,,,,,,,,,,,,,,,,,,,,,,,130328,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-58R-1,9-13 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,516.09,516.09,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,236335.13600000003,6772.541999999999,,76476.7695,,26227.5,56976.090000000004,,83762.84000000001,46313.471999999994,1471.4702,,664.12,15578.997,130.9263,,5699.999999999999,,,1800.,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,189,,,,46.5,,359,125,,,,96,153,91,16,,,,,1,102,25,66,3,,,,,,,,,,,,0.1,9,3.93,9.93,1.46,7.94,2.25,0.89,3.34,,4.08,0.82,2.47,,2.49,0.43,1.9,0.186,,,,,,,,,6,,0.28,0.076,,,,,,,,,,,,,,,,,,,,,,,,,130329,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-58R-1,96-100 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,516.96,516.96,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,231614.0425,6532.8060000000005,,75206.56710000001,,21471.579999999998,66692.34,,84048.72,48544.72,1626.3618,,581.105,14837.14,130.9263,,5400.,,,1000.,,,,,,,,,,,9800.,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,332,150,,,,98,153,95,17,,,,,2,99,24,65,4,,,,,,,,,,,,,16,5,25,,23,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,130330,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-58R-2,18-23 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,517.68,517.68,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,237270.00600000002,6652.674,,75153.64199999999,,23150.14,64438.16999999999,,83548.43,45228.,1394.0244,,830.1500000000001,14911.325699999998,130.9263,,4400.,,,1000.,,,,,,,,,,,9700.,,,,,,,,,,,,,,,,,,,,,,,,302,,,,47.8,,342,131,,,,95,159,91,21,,,,,1,97,25,64,4,,,,,,,,,,,,0.1,32,3.83,10.02,1.46,7.76,2.23,0.87,3.28,,4.08,0.83,2.44,,2.38,0.41,1.6,0.165,,,,,,,,,6,,0.26,0.09,,,,,,,,,,,,,,,,,,,,,,,,,130331,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-58R-2,91-96 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,518.41,518.41,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,229884.53300000002,7132.145999999999,,75524.1177,,24199.239999999998,62339.46,,83834.31,46373.776,1548.9160000000002,,1992.36,15578.997,130.9263,,6400.,,,1600.,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,279,,,,,,346,151,,,,96,148,94,16,,,,,6,98,26,65,4,,,,,,,,,,,,,11,2,26,,25,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,130332,
[2432],OCEAN-BASIN FLOOD BASALT,EAST MARIANA BASIN / SITE 802 / PACIFIC OCEAN,HOLE 802A,12.0963,12.0963,153.2104,153.2104,SUBAQUATIC,-5980,-5980,"s 129-802A-58R-3,23-28 [2432]",THOLEIITE [2432],,,MIDDLE [2432],CRETACEOUS [2432],,,,"PHYRIC, NONVESICULAR [2432] ",VOLCANIC ROCK,519.23,519.23,SLIGHTLY ALTERED,,WHOLE_ROCK [2432] ,235867.70100000003,7311.947999999999,,78223.2978,,25807.86,49436.280000000006,,85478.12000000001,44263.136,1239.1328,,664.12,17285.2681,87.2842,,6500.,,,6200.,,,,,,,,,,,15000.,,,,,,,,,,,,,,,,,,,,,,,,217,,,,48.6,,349,134,,,,100,156,93,16,,,,,1,106,25,65,4,,,,,,,,,,,,0.045,18,4.08,10.31,1.51,8.21,2.38,0.91,3.5,,4.17,0.83,2.48,,2.51,0.43,1.8,0.16,,,,,,,,,4,,0.26,0.097,,,,,,,,,,,,,,,,,,,,,,,,,130335,
