Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4590],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462,7.2375,7.2375,-165.0305,-165.0305,SUBAQUATIC,-5189,-5189,s 89-462-59-2 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282756,,,,,,,105981,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-94-1,123 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77600,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128744,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-94-3,117 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79500,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128745,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-94-6,38-40 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77600,,,,,,,,,,,,,,,,0.85,93,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70372,,,,,,,,,,,,,,,,,,,,,128746,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-96-3,118-120 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77800,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128747,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-98-7,70-72 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80100,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128748,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-99-1,143-145 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78400,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128749,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-100-2,74 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77200,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128750,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-100-2,133-135 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77900,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128751,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-102-4,3-5 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77800,,,,,,,,,,,,,,,,0.4,97,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70375,,,,,,,,,,,,,,,,,,,,,128752,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-103-1,76-78 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79400,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128753,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-104-1,88-90 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78900,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128754,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-105-2,7-9 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78600,,,,,,,,,,,,,,,,0.31,99,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70373,,,,,,,,,,,,,,,,,,,,,128755,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-106-1,24 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78000,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128756,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-108-2,36-38 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76400,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128757,
[2446],OCEAN-BASIN FLOOD BASALT,NAURU BASIN / SITE 462 / PACIFIC OCEAN,HOLE 462A,7.2472,7.2472,-165.0417,-165.0417,SUBAQUATIC,-5100,-5100,"s 89-462A-109-1,106-108 [2446]",THOLEIITE [2446],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2446] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79600,,,,,,,,,,,,,,,,0.43,102,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70379,,,,,,,,,,,,,,,,,,,,,128758,
