Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4590],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN,,18.64,18.64,-156.36,-156.36,SUBAQUATIC,,,s 801-27R-1 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282641,,,,,,,105983,
[4590],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN,,18.64,18.64,-156.36,-156.36,SUBAQUATIC,,,s 801-33R-1 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282723,,,,,,,105984,
[4590],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN,,18.64,18.64,-156.36,-156.36,SUBAQUATIC,,,s 801-8R-1 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282922,,,,,,,105985,
[4590],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN,,18.64,18.64,-156.36,-156.36,SUBAQUATIC,,,s 801-18R-1 [4590],NOT GIVEN [4590],,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [4590] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282821,,,,,,,105986,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-57R-1,17-24 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,498.17,498.17,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,231660.78600000002,13005.677999999998,,83939.2086,,63015.939999999995,2876.0099999999998,,28302.12,30393.215999999997,1161.687,,46820.46,19733.3962,2400.3155,,33800.,,,13400.,,,,,,,,,,,49400.00000000001,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,165,203,,,,122,63,137,21,,,,,93,340,22,348,52,,,,,,,,,,,,,475,48,95,,56,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,130308,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-57R-1,40-45 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,498.4,498.4,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,213711.282,11687.13,,78170.3727,,47838.96,8239.380000000001,,73399.69,24181.904,929.3496,,30632.535,26929.409099999997,2400.3155,,22100.,,,51000.,,,,,,,,,,,80399.99999999999,,,,,,,,,,,,,,,,,,,,,,,,128,,,,16.3,,188,140,,,,83,30,80,22,,,,,82,466,25,330,48,,,,,,,,,,,,3.53,251,37.1,79.8,,36,7.96,2.48,,0.94,,,,,1.44,0.197,7.51,3.18,,,,,,,,,4,,3.57,1.93,,,,,,,,,,,,,,,,,,,,,,,,,130309,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-57R-2,86-91 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,499.36,499.36,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,229463.84150000004,12046.733999999999,,84521.38470000001,,39376.22,21919.859999999997,,34520.01,47760.768,542.1206000000001,,26730.83,21810.5958,2443.9576,,36100.,,,13799.999999999998,,,,,,,,,,,53000.,,,,,,,,,,,,,,,,,,,,,,,,1054,,,,17.8,,185,127,,,,82,65,144,23,,,,,20,493,23,340,50,,,,,,,,,,,,0.14,339,36.5,78.3,,37,7.75,2.46,,0.87,,,,,1.29,0.177,7.12,3.21,,,,,,,,,1,,3.64,1.58,,,,,,,,,,,,,,,,,,,,,,,,,130310,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-58R-1,47-51 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,507.67,507.67,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,233156.57800000004,13245.413999999999,,83039.4819,,38816.7,31169.73,,32375.910000000003,40807.7168,1161.687,,5146.93,28635.6802,2705.8102,,30400.,,,2200.,,,,,,,,,,,32100.,,,,,,,,,,,,,,,,,,,,,,,,263,,,,18.6,,183,80,,,,43,24,101,22,,,,,22,525,27,360,54,,,,,,,,,,,,0.15,388,46.07,93.87,10.81,43.77,8.4,2.72,7.44,,5.55,0.91,2.36,,1.59,0.24,8.1,3.33,,,,,,,,,1,,4.3,1.23,,,,,,,,,,,,,,,,,,,,,,,,,130312,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-58R-2,32-37 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,509.05,509.05,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,228762.689,12646.073999999999,,83780.4333,,40005.68,29381.94,,45311.979999999996,38956.384,1548.9160000000002,,4565.825000000001,30193.5799,2400.3155,,25000.,,,6400.,,,,,,,,,,,35000.,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,192,81,,,,46,83,117,24,,,,,24,578,25,362,53,,,,,,,,,,,,,368,41,95,,45,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,130314,
[2432],OCEAN-BASIN FLOOD BASALT,PIGAFETTA BASIN / SITE 800 / PACIFIC OCEAN,HOLE 800A,21.923,21.923,152.3228,152.3228,SUBAQUATIC,-5697,-5697,"s 129-800A-58R-2,106-110 [2432]","DOLERITE, ALKALINE [2432]",,,MIDDLE [2432],CRETACEOUS [2432],,,,"APHYRIC, NONVESICULAR [2432] ",PLUTONIC ROCK,509.59,509.59,MODERATELY ALTERED,,WHOLE_ROCK [2432] ,235213.29200000002,12166.601999999999,,84468.4596,,45251.18,26272.739999999998,,28016.239999999998,40584.592,1239.1328,,24323.395,28116.3803,2007.5366000000001,,31400.,,,1800.,,,,,,,,,,,35400.,,,,,,,,,,,,,,,,,,,,,,,,268,,,,17.1,,190,81,,,,43,43,114,24,,,,,27,473,24,390,58,,,,,,,,,,,,0.1,421,39,80.4,,37,7.58,2.38,,0.882,,,,,1.48,0.201,8.19,3.71,,,,,,,,,3,,4.22,1.48,,,,,,,,,,,,,,,,,,,,,,,,,130317,
