Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2118],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 259 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-29.617,-29.617,112.7,112.7,SUBAQUATIC,,,"s 27-259-37-2,32-38 [2118]",THOLEIITE [2118],,,,,,,,FINE-GRAINED [2118] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [2118] ,236942.8015,9649.374,,88226.14170000001,,,,81383.31000000001,55889.54,46434.08,1006.7954,,5395.975,14021.0973,960.1262,,,,,,,,,,,,,,,,26500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138175,
[2118],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 259 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-29.617,-29.617,112.7,112.7,SUBAQUATIC,,,"s 27-259-38-2,116-129 [2118]",THOLEIITE [2118],,,,,,,,FINE-GRAINED [2118] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [2118] ,241430.17750000002,7611.6179999999995,,82616.0811,,,,77885.45999999999,71755.87999999999,43358.576,1471.4702,,2573.465,17359.4538,567.3473,,,,,,,,,,,,,,,,15900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138176,
[2118],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 259 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-29.617,-29.617,112.7,112.7,SUBAQUATIC,,,"s 27-259-39-1,85-92 [2118]",THOLEIITE [2118],,,,,,,,FINE-GRAINED [2118] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [2118] ,241289.94700000001,7611.6179999999995,,87273.4899,,,,69179.7,68039.44,47700.464,1239.1328,,1079.195,23145.9384,392.77889999999996,,,,,,,,,,,,,,,,24100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138177,
[2118],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 259 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-29.617,-29.617,112.7,112.7,SUBAQUATIC,,,"s 27-259-40-1,140-150 [2118]",THOLEIITE [2118],,,,,,,,FINE-GRAINED [2118] ,VOLCANIC ROCK,,,SLIGHTLY ALTERED,,WHOLE_ROCK [2118] ,239466.9505,8210.958,,87749.8158,,,,72910.74,60177.74,50534.752,1394.0244,,2241.405,20030.139,654.6315,,,,,,,,,,,,,,,,29100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138178,
[2118],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 260 / INDIAN OCEAN,EAST OF WHARTON BASIN,-16.15,-16.15,110.3,110.3,SUBAQUATIC,,,"s 27-260-20,PC5 [2118]",THOLEIITE [2118],,,,,,,,"MEDIUM-GRAINED, SPARSELY PORPHYRITIC [2118] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2118] ,242411.79100000003,10488.449999999999,,73248.33840000001,,,,95219.25,73256.75,35217.536,1548.9160000000002,,1162.21,20178.5104,567.3473,,,,,,,,,,,,,,,,11500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138179,
[5580],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / INDIAN OCEAN,,-17.73,-17.73,99.77,99.77,SUBAQUATIC,-5383,-5383,s V28-350 [5580],"CLAY, MANGANIFEROUS [5580]",,,,,,,,,SEDIMENTARY ROCK,,,,,WHOLE_ROCK [5580] ,225443.9005,4770.7464,,91242.8724,,,,74853.99,13364.890000000001,18814.847999999998,14869.5936,,22414.050000000003,27968.0089,4704.61838,,,,,,,,,,,,,,,,96500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,187,80.4,,,,332,240.3,67,,,,,,,184,157.2,169,,,,,,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141335,
[1908],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 257 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-39.983,-39.983,108.35,108.35,SUBAQUATIC,-5278,-5278,"s 257-14-2,78-80 [1908]",THOLEIITE [1908],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1908] ,225771.105,5154.324,,79811.0508,,20352.54,34278.93,,85692.53,54575.12,1239.1328,,3403.615,16543.411099999998,392.77889999999996,,10800.,29400.,,12600.,,,,,,,,,,,,,,1700.0000000000002,,,,,,,,,,,12,,,,,,,,,,,,,,,5156,330,335,,,,150,50,90,30,,,,,,100,25,100,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35169,
[1908],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 257 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-39.983,-39.983,108.35,108.35,SUBAQUATIC,-5278,-5278,"s 257-15-2,37-39 [1908]",THOLEIITE [1908],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1908] ,229884.53300000002,5274.192,,79652.2755,,16575.780000000002,51612.719999999994,,86978.99,52946.91199999999,1936.145,,913.165,13798.5402,349.1368,,5600.000000000001,15500.,,4200.,,,,,,,,,,,,,,1500.,,,,,,,,,,,7,,,,,,,,,,,,,,,5276,310,325,,,,130,25,90,25,,,,,,70,40,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35172,
[1908],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 257 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-39.983,-39.983,108.35,108.35,SUBAQUATIC,-5278,-5278,"s 257-17-1,91-93 [1908]",THOLEIITE [1908],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1908] ,224228.5695,5274.192,,75788.74320000001,,25877.800000000003,40108.68,,88694.27,48725.632,1161.687,,3735.675,15133.8828,480.0631,,8800.,23500.,,12900.,,,,,,,,,,,,,,1400.0000000000002,,,,,,,,,,,13,,,,,,,,,,,,,,,5276,290,220,,,,150,88,200,25,,,,,,85,25,75,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35175,
[1908],OCEAN-BASIN FLOOD BASALT,WHARTON BASIN / SITE 257 / INDIAN OCEAN,SOUTHEAST OF WHARTON BASIN,-39.983,-39.983,108.35,108.35,SUBAQUATIC,-5278,-5278,"s 257-17-3,26-28 [1908]",THOLEIITE [1908],,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1908] ,230164.99400000004,5633.795999999999,,77905.74720000001,,12519.26,50990.88,,90409.55,51379.007999999994,1316.5786,,913.165,15133.8828,436.42100000000005,,8400.,16800.,,7700.,,,,,,,,,,,,,,1300.,,,,,,,,,,,13,,,,,,,,,,,,,,,5635,290,220,,,,160,75,90,25,,,,,,85,25,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35176,
