Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 39 DS,-26.64,-26.64,-111.24,-111.25,SUBAQUATIC,-2225,-2583,s 39DS-3 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,226846.2055,13485.15,,80499.07710000001,,,,80839.2,74257.33,48785.935999999994,1316.5786,,3851.896,22033.1529,999.40409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20683,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 39 DS,-26.64,-26.64,-111.24,-111.25,SUBAQUATIC,-2225,-2583,s 39DS-5 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,227594.10150000002,13407.2358,,80128.6014,,,,81150.12,73899.98,50956.87999999999,1316.5786,,2515.3545,21958.9672,1003.7683000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20684,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 40 DS,-26.62,-26.62,-111.16,-111.17,SUBAQUATIC,-1767,-1978,s 40DS-2 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,228201.76700000002,14468.0676,,79811.0508,,,,82238.34,74328.8,46614.992,1394.0244,,2963.6355,22700.8242,1195.7935400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20686,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 40 DS,-26.62,-26.62,-111.16,-111.17,SUBAQUATIC,-1767,-1978,s 40DS-3 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,226425.514,14108.4636,,78646.6986,,,,82471.53,72399.11,51318.704,1394.0244,,3494.9314999999997,21884.7815,1187.0651200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20687,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 40 DS,-26.62,-26.62,-111.16,-111.17,SUBAQUATIC,-1767,-1978,s 40DS-4 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,228108.28,14318.232599999998,,80499.07710000001,,,,81927.42,73471.15999999999,47700.464,1394.0244,,3636.057,22255.71,1217.6145900000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20688,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 40 DS,-26.62,-26.62,-111.16,-111.17,SUBAQUATIC,-1767,-1978,s 40DS-6 [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,226565.7445,14354.193,,78487.92330000001,,,,82782.45,72470.58,49569.888,1394.0244,,3594.5495,22033.1529,1169.6082800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20689,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 40 DS,-26.62,-26.62,-111.16,-111.17,SUBAQUATIC,-1767,-1978,s 40DS-7GL [801],THOLEIITE [801],,,,,,,,"VESICULAR, PHYRIC [801] ",VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [801] ,236615.597,14456.080799999998,,80022.7512,,,,81072.39,73399.69,45408.912,1394.0244,,2922.1279999999997,22923.381299999997,1173.97249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,331,245,,,39.4,114,60.3,110,,,,,,6.01,226,40,183,14,,,,,,,,,,,,0.08,51.8,9.97,26.1,4.02,19.7,5.71,1.84,6.64,1.05,6.42,1.32,3.84,0.55,3.44,0.48,4.45,0.9,,,,,,,,,0.81,,0.77,0.28,0.513037,,,,,,,,,,,,,,,,,,,,,,,,20690,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 91 DS,-26.58,-26.58,-110.96,-110.97,SUBAQUATIC,-1465,-1593,s 91DS-4GL [801],THOLEIITE [801],,,,,,,,NEARLY APHYRIC [801] ,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [801] ,237924.415,13215.447,,77058.9456,,,,78818.22,73113.81,44926.479999999996,1316.5786,,2922.1279999999997,21142.9245,1008.13251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,292,268,,,39.7,120,62.8,109,,,,,,4.14,178,31.3,146,11,,,,,,,,,,,,0.06,42.8,8.38,21.8,3.23,16.2,4.66,1.64,5.54,0.91,5.59,1.14,3.16,0.43,2.92,0.41,3.67,0.76,,,,,,,,,0.7,,0.61,0.24,0.513023,,,,,,,,,,,,,,,,,,,,,,,,20696,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 91 DS,-26.58,-26.58,-110.96,-110.97,SUBAQUATIC,-1465,-1593,s 91DS-7 [801],THOLEIITE [801],,,,,,,,NEARLY APHYRIC [801] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,229417.098,13790.813400000001,,81504.65400000001,,,,82704.72,75901.14,56143.024,1394.0244,,3171.1730000000002,21736.4101,1069.23145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,352,293,,,48,187,70.9,113,,,,,,4.86,228,35.6,159,12.1,,,,,,,,,,,,0.05,38.6,9.11,23.1,3.5,16.5,4.77,1.64,5.76,0.94,5.79,1.16,3.27,0.45,2.99,0.42,3.74,0.71,,,,,,,,,0.61,,0.64,0.27,,,,,,,,,,,,,,,,,,,,,,,,,20697,
[801],OCEAN ISLAND,AHU VOLCANIC FIELD / AHU VOLCANIC FIELD / PACIFIC OCEAN,DREDGE S080 91 DS,-26.58,-26.58,-110.96,-110.97,SUBAQUATIC,-1465,-1593,s 91DS-1 [801],THOLEIITE [801],,,,,,,,NEARLY APHYRIC [801] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [801] ,224415.5435,8540.595,,82192.6803,,,,84570.24,74328.8,60123.088,1394.0244,,929.768,18398.0536,493.15573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,235,352,,,53.6,246,80.6,78.8,,,,,,1.48,122,25.8,63.1,4.62,,,,,,,,,,,,0.02,17.1,3.67,9.84,1.53,7.94,2.66,1.04,3.38,0.62,4.17,0.87,2.64,0.38,2.59,0.37,1.85,0.33,,,,,,,,,0.35,,0.24,0.12,0.51307,,,,,,,,,,,,,,,,,,,,,,,,20698,
