Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[103],OCEAN ISLAND,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND / INDIAN OCEAN,,-37.83,-37.83,77.55,77.55,SUBAERIAL,,,s NA20 [103],BASALT [103],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [103] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000438,0.0000143,,,,,,,,,,,,,,,,,,,,,,,1.139,,,,,,,,,,,10103,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND / INDIAN OCEAN,,-37.83,-37.83,77.55,77.55,SUBAERIAL,,,s NA4-4 [1258],THOLEIITE [1258],0 [1258],690000 [1258],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,,,,,,,,13250,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND / INDIAN OCEAN,,-37.83,-37.83,77.55,77.55,SUBAERIAL,,,s NA6-6 [1258],THOLEIITE [1258],0 [1258],690000 [1258],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,,,,,,,,13251,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND / INDIAN OCEAN,,-37.83,-37.83,77.55,77.55,SUBAERIAL,,,s NA7-2 [1258],THOLEIITE [1258],0 [1258],690000 [1258],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7038,,,,,,,,,,,,,,,,,,,,,13252,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND / INDIAN OCEAN,,-37.83,-37.83,77.55,77.55,SUBAERIAL,,,s NA9-6 [1258],THOLEIITE [1258],0 [1258],690000 [1258],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7039,,,,,,,,,,,,,,,,,,,,,13253,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / ST. PAUL ISLAND / INDIAN OCEAN,,-38.75,-38.75,77.5,77.5,SUBAERIAL,,,s SP1-4 [1258],THOLEIITE [1258],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7039,,,,,,,,,,,,,,,,,,,,,13254,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / ST. PAUL ISLAND / INDIAN OCEAN,,-38.75,-38.75,77.5,77.5,SUBAERIAL,,,s SP3-1 [1258],THOLEIITE [1258],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7036,,,,,,,,,,,,,,,,,,,,,13255,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / ST. PAUL ISLAND / INDIAN OCEAN,,-38.75,-38.75,77.5,77.5,SUBAERIAL,,,s SP7-7 [1258],THOLEIITE [1258],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7035,,,,,,,,,,,,,,,,,,,,,13256,
[1258],OCEAN ISLAND,AMSTERDAM-ST. PAUL / ST. PAUL ISLAND / INDIAN OCEAN,,-38.75,-38.75,77.5,77.5,SUBAERIAL,,,s SP11-7 [1258],THOLEIITE [1258],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1258] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,,,,,,,,,,,,,,,,,,,,,13257,
[1260][1659],OCEAN ISLAND,AMSTERDAM-ST. PAUL / ST. PAUL ISLAND / INDIAN OCEAN,,-38.75,-38.75,77.5,77.5,SUBAERIAL,,,s 21 [1260],"BASALT, OLIVINE [1260] / BASALT [1659]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1260] ,226472.25750000004,10488.449999999999,,96852.933,,46510.100000000006,47415.299999999996,,71470,25930.719999999998,1548.9160000000002,,3735.675,21513.853,1527.4734999999998,,2000.,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,265,132,,,,519,,118,21.3,,,,,10.3,299,28.6,197,22.6,,,,,,,,,,,,,138,13.5,34.2,,17.5,4.75,1.62,,0.89,,,,,2.64,0.38,4.11,3.2,,,,,,,,,1.1,,1.79,0.33,0.512896,,,0.70365,,18.75,,15.561,,38.9,,,,,,,,,,,,,,,1357-21,
