Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[181],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s A-15220 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12,14.4,,,,,,,,,,,,,,,,,,,,,,,,0.51305,,,,,,,,,,,,,,,,,,,,,,,,10195,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,GRAZING VALLEY,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-107 [829],BASALT [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,226939.6925,17980.199999999997,,80869.5528,,,,94286.49,67610.62000000001,32142.032,1239.1328,,7803.41,24778.0238,2007.5366000000001,,,4200.,,,,,,,,,,,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,304,28,,,,39,,93,26,,,,,18,436,40,188,33,,,,,,,,,,,,,201,23.3,53.4,,31.4,7.36,2.44,,1.08,,,,,2.9,0.36,4.88,2.27,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,13267,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,CRICKET VALLEY,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-64 [829],BASALT [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,236428.62300000002,15103.367999999999,,82616.0811,,,,83792.93999999999,61178.32000000001,31538.992000000002,1316.5786,,10708.935,26781.037699999997,1963.8945,,,3100.,,,,,,,,,,,,,-4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,201,27,,,,34,,87,26,,,,,28,414,41,244,41,,,,,,,,,,,,,289,29.9,65.5,,32.7,8.13,2.67,,1.23,,,,,3.16,0.47,5.96,3.03,,,,,,,,,,,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,13268,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,COTAR HILL,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-60 [829],HAWAIITE [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,224088.339,21815.976,,77641.1217,,,,93509.18999999999,65180.63999999999,29548.96,1626.3618,,11705.115,27597.0804,4451.4942,,,4100.,,,,,,,,,,,,,5400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,294,2.6,,,,12,,132,24,,,,,27,551,40,235,58,,,,,,,,,,,,,379,35.3,75.2,,39.3,8.98,3.12,,1.3,,,,,2.88,0.38,5.36,3.85,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,13269,
[3356],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,SOUTHWEST BAY,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-157 [3356],HAWAIITE [3356],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3356] ,222919.7515,22954.721999999998,,82245.6054,,,,96773.84999999999,59463.04,23397.951999999997,1548.9160000000002,,13697.474999999999,29377.5372,4756.9889,,,7000.,,,,,,,,,,,,,6100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,287,1.8,,,,13,,140,24,,,,,32,533,47,256,63,,,,,,,,,,,,,395,37.3,83.1,,46,10.6,3.54,,1.5,,,,,3.38,0.45,5.67,4.06,,,,,,,,,2,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,13270,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,COMMAND HILL,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-100 [829],BASALT [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,222171.85550000003,16002.377999999999,,83621.65800000001,,,,89389.5,73971.45,40102.159999999996,1316.5786,,5395.975,20846.1817,2574.8839,,,3300.,,,,,,,,,,,,,-4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,248,156,,,,97,,92,23,,,,,11,385,31,145,27,,,,,,,,,,,,,144,17.5,42.9,,24,5.95,2.2,,1.09,,,,,2.43,0.29,3.51,2.02,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,13271,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,SISTERS PEAK,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-161 [829],HAWAIITE [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,231754.27300000002,19238.814,,81610.5042,,,,88301.28,58319.520000000004,26714.671999999995,1626.3618,,12452.25,28784.0516,4320.5679,,,3400.0000000000005,,,,,,,,,,,,,-3000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,214,6.7,,,,12,,119,24,,,,,30,498,48,306,62,,,,,,,,,,,,,343,36.3,87.1,,42.8,10.8,3.56,,1.41,,,,,3.49,0.44,6.61,3.91,,,,,,,,,,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,13272,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,ENGLISH BAY ROAD,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-171 [829],MUGEARITE [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,249563.54650000003,13125.545999999998,,81557.5791,,,,75475.83,53173.68,19719.408,1858.6992,,13780.49,31974.036699999997,5673.473,,,11600.,,,,,,,,,,,,,4600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,83,2,,,,8,,147,27,,,,,32,479,64,364,69,,,,,,,,,,,,,374,44,104,,56.8,13.3,4.62,,1.84,,,,,4.65,0.59,7.87,4.27,,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,13273,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,LETTERBOX,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-176 [829],BENMOREITE [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,267840.255,9109.967999999999,,88067.36640000001,,,,58142.04,34662.95,13869.919999999998,1781.2534,,21251.84,41173.0635,3229.5153999999998,,,1700.0000000000002,,,,,,,,,,,,,1300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,44,2,,,,5,,139,28,,,,,56,431,63,530,97,,,,,,,,,,,,,584,56.4,118,,62.7,13.6,4.3,,2.04,,,,,4.84,0.66,11.3,5.77,,,,,,,,,2,,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,13274,
[829],OCEAN ISLAND,ASCENSION / ASCENSION / ATLANTIC OCEAN,SOUTHEAST RIM OF DARK SLOPE CRATER,-7.93,-7.93,-14.37,-14.37,SUBAERIAL,,,s AI-4 [829],HAWAIITE [829],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [829] ,226659.23150000002,17320.926,,85844.5122,,,,92498.7,60535.090000000004,25387.983999999997,1394.0244,,13448.43,27745.4518,4145.9995,,,7000.,,,,,,,,,,,,,4000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,245,41,,,,50,,142,27,,,,,34,721,43,320,64,,,,,,,,,,,,,449,43.4,92.3,,51.7,10.7,3.76,,1.6,,,,,2.95,0.38,6.92,3.95,,,,,,,,,3,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,13275,
