Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R36 [4683],BASANITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,201137.28050000002,19958.022,,58799.7861,,,,88301.28,86693.11,73993.00799999999,1626.3618,,12618.28,15282.2542,2531.2418,,,,,,,,,,,,,,,,10400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,419,413,,,,225,,,20,,,,,27,576,19,205,43.5,,,,,,,,,,,,,383,32.63,69.27,8.3,36,7.71,2.4,7.816,0.9,4.94,0.8,1.88,0.24,1.35,,5.98,,,,,,,,,,3,,3.86,0.9,0.5127,,,0.7043,,,,,,,,,,,,,,,,,,,,,100052,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R50 [4683],TEPHRITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,206419.296,20437.494,,93201.1011,,,,74309.88,67038.86,24664.336,1781.2534,,27976.055,29006.6087,4145.9995,,,,,,,,,,,,,,,,20099.999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,215,8,,,,34,,,25,,,,,77,1331,30,408,132.7,,,,,,,,,,,,,1201,,216.84,,,,,,,,,,,,,,,,,,,,,,,11,,12.47,1.7,,,,,,,,,,,,,,,,,,,,,,,,,100053,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R49 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,217637.73600000003,8690.429999999998,,99657.96329999999,,,,45083.4,39665.85,9528.032,2400.8197999999998,,35530.420000000006,61870.873799999994,1876.6103,,,,,,,,,,,,,,,,53700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,8,,,,31,,,40,,,,,121,2726,43,1168,337.7,,,,,,,,,,,,,1886,,409.3,,,,,,,,,,,,,,,,,,,,,,,36,,47.55,9.68,,,,,,,,,,,,,,,,,,,,,,,,,100054,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R25 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,241850.86900000004,4255.313999999999,,111407.33550000002,,,,32024.760000000002,21512.469999999998,3316.7200000000003,1858.6992,,43748.905,77449.87079999999,610.9894,,,,,,,,,,,,,,,,14200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,59,4,,,,31,,,38,,,,,158,2251,31,1075,262.3,,,,,,,,,,,,,1764,140.37,220.75,19.24,58.07,8.06,2.52,7.633,0.93,5.57,1.11,3.13,0.47,2.87,,17.53,,,,,,,,,,35,,50.41,10.41,0.5127,,,0.7043,,,,,,,,,,,,,,,,,,,,,100055,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R123 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,235260.0355,5873.531999999999,,111936.58649999999,,,,36533.1,22441.58,5367.056,1858.6992,,43084.785,70253.8579,741.9157,,,,,,,,,,,,,,,,23700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,80,5,,,,30,,,43,,,,,169,1937,39,1190,320.5,,,,,,,,,,,,,1578,152.01,246.42,22.37,68.15,10.14,3.02,8.728,1.11,6.81,1.33,3.51,0.52,3.13,,17.29,,,,,,,,,,36,,57.86,6.06,0.5127,,,0.7045,,,,,,,,,,,,,,,,,,,,,100056,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R40 [4683],"BASALT, ALKALINE [4683]",1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,214879.8695,17440.793999999998,,62769.1686,,,,88767.66,69611.78,68384.73599999999,1394.0244,,4648.84,22033.1529,2225.7471,,,,,,,,,,,,,,,,16100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,397,238,,,,220,,,,,,,,10,724,22,724,49.5,,,,,,,,,,,,,437,33.76,72.2,9.07,38.87,8.4,2.64,8.243,0.93,5.15,0.84,2.03,0.26,1.43,,5.72,,,,,,,,,,,,3.97,0.83,0.5127,,,0.7045,,,,,,,,,,,,,,,,,,,,,100058,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R132 [4683],TRACHYTE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,224228.5695,16661.652,,88067.36640000001,,,,74853.99,56318.36,22794.911999999997,1858.6992,,26730.83,30564.5084,3796.8627,,,,,,,,,,,,,,,,20700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,114,10,,,,68,,,29,,,,,87,1256,36,506,155.1,,,,,,,,,,,,,1217,92.64,172.21,19.04,73.67,12.43,3.9,11.858,1.32,7.06,1.24,3.04,0.39,2.13,,8.47,,,,,,,,,,10,,13.86,2.58,,,,,,,,,,,,,,,,,,,,,,,,,100059,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R137 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,240635.538,4255.313999999999,,111354.4104,,,,31014.27,18725.14,3015.2,2013.5908,,45741.265,76485.4567,480.0631,,,,,,,,,,,,,,,,21800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,27,,,43,,,,,159,1820,30,1267,291.1,,,,,,,,,,,,,1588,,240.63,,,,,,,,,,,,,,,,,,,,,,,33,,46.52,9.86,,,,,,,,,,,,,,,,,,,,,,,,,100060,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R68 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,268868.612,2637.096,,105797.27489999999,,,,28060.53,20297.48,1809.12,1858.6992,,42005.59,59719.4885,305.4947,,,,,,,,,,,,,,,,6300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,1427,29,852,173.9,,,,,,,,,,,,,1537,131.08,217.18,19.68,59.84,8.14,2.6,5.74,0.92,5.18,1.02,2.97,0.41,2.76,,16.25,,,,,,,,,,20,,25.45,5.38,,,,,,,,,,,,,,,,,,,,,,,,,100061,
[4683],OCEAN ISLAND,AUSTRAL-COOK ISLANDS / RAROTONGA / PACIFIC OCEAN,,-21.25,-21.25,-159.75,-159.75,SUBAERIAL,,,s R114 [4683],PHONOLITE [4683],1000000 [4683],2000000 [4683],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4683] ,265175.8755,2277.4919999999997,,106961.62710000001,,,,26739.12,22155.7,2894.5919999999996,1781.2534,,45077.145,47998.147899999996,261.8526,,,,,,,,,,,,,,,,22400.000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,1633,26,797,162.9,,,,,,,,,,,,,1730,127.18,213.82,19.04,58.76,8.03,2.43,5.47,0.87,5.11,0.97,2.89,0.42,2.57,,15.6,,,,,,,,,,19,,25.03,5.2,0.5127,,,0.7041,,,,,,,,,,,,,,,,,,,,,100063,
