Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-39 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,288874.83,1857.954,,88755.3927,,,,32568.870000000003,5288.78,964.8639999999999,1316.5786,,34119.165,41247.2492,130.9263,,,,,,,,,,,,,,,,55500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,14,91,1237,205,,,,,,,,,,,,,343,,234,,105,20.4,2.21,,2.95,,,,,9.13,1.52,27.9,14.1,,,,,,,,,,,18,7,,,,,,,,,,,,,,,,,,,,,,,,,10636,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-42 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,275973.624,1917.888,,93889.1274,,,,34978.5,5717.6,783.952,1471.4702,,31296.655,38724.935399999995,174.5684,,,,,,,,,,,,,,,,74700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,25,98,1348,225,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7.8,,,,,,,,,,,,,,,,,,,,,,,,,10637,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-43 [735],TRACHYTE [735],,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,VOLCANIC GLASS [735] ,293315.4625,2037.756,,88967.0931,,,,33890.280000000006,5217.3099999999995,904.56,1316.5786,,36277.555,42285.849,130.9263,,,,,,,,,,,,,,,,42800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,25,102,1332,222,,,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,21,8.1,,,,,,,,,,,,,,,,,,,,,,,,,10638,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-72 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,315471.8815,239.736,,77746.9719,,,,37621.32,4931.429999999999,60.303999999999995,1703.8076,,36028.51,48665.8192,130.9263,,,,,,,,,,,,,,,,1800.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,11,85,984,183,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.6,,,,,,,,,,,,,,,,,,,,,,,,,10639,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-73 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,315612.112,239.736,,78117.4476,,,,38320.89,4931.429999999999,241.21599999999998,1703.8076,,36526.600000000006,46811.176699999996,130.9263,,,,,,,,,,,,,,,,4400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,11,85,984,185,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6.7,,,,,,,,,,,,,,,,,,,,,,,,,10640,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 89-75 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,317154.6475,239.736,,76953.0954,,,,38476.35,5074.37,,1703.8076,,36692.63,48888.376299999996,130.9263,,,,,,,,,,,,,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10,89,1021,189,,,,,,,,,,,,,498,,211,,96,19.7,3.47,,2.82,,,,,8.38,1.28,23,11.8,,,,,,,,,,,15,5.9,,,,,,,,,,,,,,,,,,,,,,,,,10642,
[735],OCEAN ISLAND,AZORES / TERCEIRA / SANTA BARBARA / ATLANTIC OCEAN,PICO DO CARNHEIROS VENT,38.72,38.72,-27.22,-27.22,SUBAERIAL,,,s 91-43 [735],TRACHYTE [735],,,,,,,,DENSE [735] ,VOLCANIC ROCK,,,,,VOLCANIC GLASS [735] ,311498.684,2337.426,,74465.61570000001,,,,37388.13,4717.02,542.736,1703.8076,,37273.735,50520.46169999999,130.9263,,,,,,,,,,,,,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,10,95,1077,177,,,,,,,,,,,,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,10643,
[696],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s S1 [696],"BASALT, ALKALINE [696]",,,,,,,1350,,VOLCANIC ROCK,,,,,WHOLE_ROCK [696] ,211794.79850000003,24513.005999999998,,74677.3161,,,,96229.74,74400.27,46795.903999999995,1316.5786,,14112.55,23442.6812,2531.2418,,,,,,,,,,,,,,,,-5100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,278,297,,,24,89,67,83,23,,,,,43,789,33,317,61,,,,,,,,,,,,0.29,519,53.7,93.5,,47.9,9.05,3.07,,1.2,,,,,2.05,0.32,7.28,3.44,,,,,,,,,7,,4.539,1.252,0.51281,,,0.70423,,19.712,,15.646,,39.72,,,,,,,,,,,,,,,11130,
[696],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s S2 [696],"BASALT, ALKALINE [696]",,,,,,,1790,,VOLCANIC ROCK,,,,,WHOLE_ROCK [696] ,248114.49800000002,17141.124,,87749.8158,,,,62650.380000000005,48599.6,21528.528,1006.7954,,36858.66,31009.622599999995,2182.105,,,,,,,,,,,,,,,,-3200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,170,46,,,24,27,45,83,19,,,,,65,714,28,302,52,,,,,,,,,,,,0.43,1485,53.7,108,,48.2,9.05,4.19,,1.01,,,,,2.05,0.28,6.92,3.44,,,,,,,,,5,,5.48,1.469,0.51272,,,0.70502,,19.792,,15.762,,40.071,,,,,,,,,,,,,,,11131,
[696],OCEAN ISLAND,AZORES / SAO MIGUEL / AGUA DE PAO / ATLANTIC OCEAN,FOGO A,37.8,37.8,-25.5,-25.5,SUBAERIAL,,,s S7 [696],"BASALT, ALKALINE [696]",,,,,,,1652,,VOLCANIC ROCK,,,,,WHOLE_ROCK [696] ,214225.46050000002,23733.863999999998,,80181.5265,,,,94519.68000000001,68039.44,40343.376,1316.5786,,15606.82,25371.5094,3011.3048999999996,,,,,,,,,,,,,,,,-3500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,271,153,,,42,68,56,104,23,,,,,45,888,37,348,68,,,,,,,,,,,,0.35,548,53.6,117,,58.2,11.3,3.54,,1.39,,,,,2.66,0.36,7.95,4.78,,,,,,,,,7,,4.946,1.38,0.51279,,,0.70444,,19.797,,15.656,,39.802,,,,,,,,,,,,,,,11133,
