Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[10315],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-67.1583,-67.1583,163.4616,163.4616,SUBAQUATIC,-512,-532,s 2200 [10315],BASANITE [10315],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,210299.00650000002,16182.18,,82086.8301,,23989.420000000002,56509.71,,68825.61,56022.41599999999,1471.4702,,9380.695,32048.222400000002,3054.9469999999997,,3200.,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,200,,,,200,,50,,,,,,14,800,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413388,
[10315],OCEAN ISLAND,BALLENY ISLANDS / BORRADAILE ISLAND / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 4 [10315],BASANITE [10315],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,210626.21100000004,16122.246,,99287.48760000001,,1608.6200000000001,77263.62,,69468.84000000001,44202.831999999995,2245.9282,,13033.355000000001,31083.8083,2836.7365,,1200.,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413389,
[10315],OCEAN ISLAND,BALLENY ISLANDS / BUCKLE ISLAND / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 5 [10315],"HAWAIITE, NEPHELINE [10315]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [10315] ,223106.7255,14324.226,,89284.64370000002,,17624.88,68946.51,,61750.08,34976.32,1394.0244,,16519.985,36350.993,2836.7365,,1400.0000000000002,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413390,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13700 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,215487.53500000003,16062.312,,84415.5345,,13568.359999999999,75398.09999999999,,67038.86,43177.664,1858.6992,,12286.22,30861.2512,2400.3155,,1300.,900.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,181,,,,101,65,82,22,,,,,31,696,35,228,65,,,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58885,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13702 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,213430.821,16721.586,,84362.6094,,13778.18,76564.05,,66324.15999999999,48182.896,1858.6992,,11124.01,30045.208499999997,2356.6734,,6600.,500.,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,190,,,,141,76,64,19,,,,,27,636,34,214,59,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58886,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13704 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,214879.8695,16002.377999999999,,84150.909,,13638.3,75942.20999999999,,66538.57,47700.464,1858.6992,,10957.980000000001,26781.037699999997,2400.3155,,4000.,600.,,100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,249,,,,170,72,78,20,,,,,28,613,31,207,61,,,,,,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58887,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13706 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,216141.94400000002,16002.377999999999,,83621.65800000001,,13778.18,76564.05,,66181.22,47881.376,1781.2534,,10874.965,30490.3227,2313.0313,,2700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,201,,,,128,74,67,17,,,,,32,656,34,215,61,,,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58888,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13709 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,208756.471,18100.068,,85156.4859,,13008.84,72288.90000000001,,76472.9,46856.20799999999,1781.2534,,8218.485,29303.3515,2443.9576,,6300.,800.,,1100.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,202,,,,95,63,82,19,,,,,28,675,34,230,74,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58889,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,,-66.4,-67.44,162.55,164.78,SUBAERIAL,,,s 13710 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,215627.76550000004,16062.312,,83304.10740000001,,13568.359999999999,75553.56000000001,,66181.22,46976.816,1936.145,,11290.04,29377.5372,2313.0313,,5500.,900.,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,211,,,,162,71,78,17,,,,,33,628,29,215,60,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58890,
[2100],OCEAN ISLAND,BALLENY ISLANDS / SABRINA / ATLANTIC OCEAN,MONOLITH,-66.95,-66.95,163.4,163.4,SUBAERIAL,,,s 13715 [2100],BASANITE [2100],,,,,,,,PORPHYRITIC [2100] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2100] ,212776.41200000004,15822.576,,81451.7289,,13918.06,77496.81000000001,,64537.409999999996,54394.20799999999,1858.6992,,10874.965,28858.2373,2094.8208,,8400.,1000.,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,265,,,,185,64,81,18,,,,,22,607,32,198,56,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58891,
