Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-1 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09,14.48,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,,,,,,,,,,,,,,,,,,,,,,10191,
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-2 [181],TRACHYTE [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.16,14.37,,,,,,,,,,,,,,,,,,,,,,,,0.51282,,,,,,,,,,,,,,,,,,,,,,,,10192,
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-3 [181],BASALT [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.51,7.75,,,,,,,,,,,,,,,,,,,,,,,,0.51284,,,,,,,,,,,,,,,,,,,,,,,,10193,
[181],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-5 [181],BASALT [181],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [181] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.91,17,,,,,,,,,,,,,,,,,,,,,,,,0.51285,,,,,,,,,,,,,,,,,,,,,,,,10194,
[1210],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-1 [1210],TRACHYTE [1210],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1210] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922,14.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283092,,,,,,,10307,
[1210],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-2 [1210],TRACHYTE [1210],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1210] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926,15.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283028,,,,,,,10308,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-1 [507],TRACHYTE [507],,,,,,,1955,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70365,,,,,,,,,,,,,,,,,,,,,14676,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-2 [507],TRACHYTE [507],,,,,,,1955,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7037,,,,,,,,,,,,,,,,,,,,,14677,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-13 [507],TRACHYTE [507],,,,,,,1955,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70372,,,,,,,,,,,,,,,,,,,,,14678,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-3 [507],BASALT [507],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,11456.07,20771.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70367,,,,,,,,,,,,,,,,,,,,,14679,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-5 [507],BASALT [507],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,1826.33,16469.2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70375,,,,,,,,,,,,,,,,,,,,,14680,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-17 [507],BASALT [507],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,1245.225,17507.8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70367,,,,,,,,,,,,,,,,,,,,,14681,
[507],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,,-54.43,-54.43,3.42,3.42,SUBAERIAL,,,s BV-18 [507],BASALT [507],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [507] ,,,,,,,,,,,,,6060.095,18917.353499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70368,,,,,,,,,,,,,,,,,,,,,14682,
[752],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,HIGHEST PART OF WESTWIND STRANDA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s N420A [752],BENMOREITE [752],,,,,,,,"GLASSY, VITROPHYRIC [752] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [752] ,281582.84400000004,7192.079999999999,,77746.9719,,11959.74,62417.189999999995,,27944.77,6512.832,2555.7114,,24323.395,35089.8361,1702.0419000000002,,1900.,2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,28,,,,,61,313,62,690,98,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,20191,
[752],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,HIGHEST PART OF WESTWIND STRANDA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s N421A [752],BENMOREITE [752],,,,,,,,PORPHYRITIC [752] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [752] ,281255.63950000005,8031.156,,77905.74720000001,,45391.060000000005,24718.140000000003,,25800.67,5306.7519999999995,2091.0366,,24074.35,35312.3932,1614.7576999999999,,8700.,8400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,5,,,29,,,,,58,321,61,676,95,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20193,
[750],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,SJÖELEFANTSTRANDA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s 1 [750],"BASALT, TRANSITIONAL [750]",,,,,,,,"GLOMEROPORPHYRITIC, PILOTAXITIC, VESICULAR [750] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [750] ,228715.94550000003,14144.423999999999,,98705.3115,,15806.439999999999,52312.29,,79831.99,24845.248,1084.2412000000002,,6558.185,23961.981099999997,1920.2524,6800.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,36,,,,25,84,119,,,,,,25,480,20,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20196,
[750],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,SJÖELEFANTSTRANDA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s 2 [750],"BASALT, TRANSITIONAL [750]",,,,,,,,GLOMEROPORPHYRITIC [750] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [750] ,229510.58500000002,18040.134,,81716.3544,,21751.34,61095.780000000006,,71541.47,27619.232,1239.1328,,8716.575,24332.9096,2487.5996999999998,8700.,,,,600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,30,,,,28,88,147,,,,,,24,406,28,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20197,
[750],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,SJÖELEFANTSTRANDA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s 3 [750],"BASALT, TRANSITIONAL [750]",,,,,,,,"GLOMEROPORPHYRITIC, PILOTAXITIC [750] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [750] ,227921.306,21336.504,,74730.2412,,43572.62,55421.49,,62250.37,23217.04,1394.0244,,10459.89,24926.3952,2662.1681,15700.,,,,400.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,25,,,,7,51,135,,,,,,28,393,37,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20198,
[750],OCEAN ISLAND,BOUVET / BOUVET / ATLANTIC OCEAN,LARSÖYA,-54.43,-54.43,3.4,3.4,SUBAERIAL,,,s 4 [750],"BASALT, TRANSITIONAL [750]",,,,,,,,"GLOMEROPORPHYRITIC, PILOTAXITIC, VESICULAR [750] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [750] ,236007.93150000004,20677.23,,73565.88900000001,,82669.08,8317.11,,66324.15999999999,27558.928,1394.0244,,8467.53,25594.0665,2531.2418,6800.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20199,
