Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN3 [1240],BASALT [1240],4800000 [1240],4800000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,214973.35650000002,20617.296,,66421.00050000001,,,,101748.56999999999,75615.26,51137.792,1316.5786,,12784.31,19065.724899999997,2793.0944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,302,561,,,,256,65,110,,,,,,33.8,713,29,291,52,,,,,,,,,,,,,526,41,87,,57.76,12.23,,,,,,,,,,,,,,,,,,,,2.86,,4,1.16,0.512926,,,0.70334,,18.955,,15.598,,38.8,,,,,,,,,,,,,,,15558,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN4 [1240],BASANITE [1240],4800000 [1240],4800000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,208055.3185,23793.798,,66050.5248,,,,106645.56000000001,78188.18,49208.064,1394.0244,,9878.785,20697.8103,3927.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,311,396,,,,229,52,123,,,,,,41.2,924,34,474,63,,,,,,,,,,,,,725,61,136,,85.11,17.03,,,,,,,,,,,,,,,,,,,,4.41,,6,2.07,0.512858,,,0.70364,,18.98,,15.585,,38.92,,,,,,,,,,,,,,,15559,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN8 [1240],BASALT [1240],4800000 [1240],4800000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,222732.7775,23014.656,,81557.5791,,,,98794.83,64751.82000000001,27438.319999999996,1161.687,,15357.775000000001,23813.609699999997,3491.3680000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,321,137,,,,104,41,110,,,,,,35.4,757,36,404,54,,,,,,,,,,,,,579,51,120,,36.4,7.67,,,,,,,,,,,,,,,,,,,,3.32,,5,1.09,0.512935,,,0.70353,,19.272,,15.64,,39.26,,,,,,,,,,,,,,,15561,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN11 [1240],BASALT [1240],4800000 [1240],4800000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,214646.15200000003,22834.854,,69861.132,,,,99649.86,71184.12000000001,48725.632,1316.5786,,14693.655,19065.724899999997,3709.5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,300,335,,,,225,60,118,,,,,,33.2,937,32,365,52,,,,,,,,,,,,,606,47,109,,69.15,14.43,,,,,,,,,,,,,,,,,,,,2.92,,4,1.15,0.512909,,,0.70338,,19.217,,15.644,,39.18,,,,,,,,,,,,,,,15563,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN12 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,202913.5335,18399.737999999998,,60122.9136,,,,109987.95,72041.76,77490.64,1394.0244,,10791.95,15578.997,3927.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,265,514,,,,406,38,142,,,,,,21.4,833,32,305,65,,,,,,,,,,,,,571,50,107,,51.42,10.93,,,,,,,,,,,,,,,,,,,,3.35,,6,1.57,0.512936,,,0.70334,,18.983,,15.61,,38.87,,,,,,,,,,,,,,,15565,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN17 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,201744.946,18339.804,,66103.4499,,,,111464.81999999999,78474.06,55841.50399999999,1548.9160000000002,,7969.44,20475.2532,4800.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,300,376,,,,267,56,136,,,,,,36.7,963,35,322,68,,,,,,,,,,,,,648,61,125,,70.42,14.66,,,,,,,,,,,,,,,,,,,,3.74,,7,1.67,0.512922,,,0.7034,,18.971,,15.616,,38.95,,,,,,,,,,,,,,,15568,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN18 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,200997.05000000002,18339.804,,65944.67460000001,,,,112397.58,79831.99,56625.456,1548.9160000000002,,5229.945,21588.0387,4582.4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,307,379,,,,252,52,137,,,,,,48.7,931,36,311,65,,,,,,,,,,,,,618,62,122,,33.76,7.21,,,,,,,,,,,,,,,,,,,,3.72,,7,1.62,0.512931,,,0.70336,,18.895,,15.618,,38.89,,,,,,,,,,,,,,,15569,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN19 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,202913.5335,16421.916,,65044.9479,,,,107111.93999999999,75257.90999999999,65248.928,1548.9160000000002,,9712.755,22255.71,4145.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,251,345,,,,245,49,142,,,,,,47.6,944,37,312,67,,,,,,,,,,,,,640,67,136,,68.69,14.14,,,,,,,,,,,,,,,,,,,,3.64,,9,1.8,0.512913,,,0.70337,,18.89,,15.629,,38.93,,,,,,,,,,,,,,,15570,
[1240],OCEAN ISLAND,CAMEROON LINE / PAGALU (ANNOBON) / ATLANTIC OCEAN,,-1.26,-1.26,5.37,5.37,SUBAERIAL,,,s AN20 [1240],BASANITE [1240],,1000000 [1240],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [1240] ,203661.42950000003,17620.595999999998,,65680.0491,,,,109443.84,76187.02,64103.152,1781.2534,,10791.95,20401.067499999997,4407.8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,275,348,,,,269,60,134,,,,,,29.5,855,35,313,68,,,,,,,,,,,,,665,58,119,,74.3,15.58,,,,,,,,,,,,,,,,,,,,3.72,,7,1.34,0.512922,,,0.7034,,18.909,,15.629,,38.96,,,,,,,,,,,,,,,15571,
[1197][1194][8037],OCEAN ISLAND,CAMEROON LINE / SAO TOME / ATLANTIC OCEAN,,0.42,0.42,6.58,6.58,SUBAERIAL,,,s ST106 [1197],"BASALT, ALKALINE [1197]",,,,,,,,"OLIVINE-PHYRIC, VERY FINE-GRAINED GROUNDMASS [8037] ",VOLCANIC ROCK,,,FRESH,HE3_HE4(R/R(A)) from OLIVINE [8037],WHOLE_ROCK [1197] / MINERAL / COMPONENT (INCL. GROUNDMASS) [8037] ,,,,,,,,,,79601.27999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,836,28,273,62,,,,,,,,,,,,,528,56,112,,51,,,,,,,,,,,,,,,,,,,,,,,,,0.512899,,,0.70315,,19.944,,15.653,,39.56,,,,,,,,,,7.14,,,,,1572-ST106,
