Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4750],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN,HOLE 956B,27.6149,27.6149,-16.1633,-16.1633,SUBAQUATIC,-3453.4,-3453.4,"s 157-956B-44R-4,G1 [4750]",BASALT [4750],,,,MIOCENE [4750],,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4750] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100107,
[4750],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN,HOLE 956B,27.6149,27.6149,-16.1633,-16.1633,SUBAQUATIC,-3453.4,-3453.4,"s 157-956B-44R-4,G3 [4750]",BASALT [4750],,,,MIOCENE [4750],,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4750] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100110,
[4750],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / SITE 956 / ATLANTIC OCEAN,HOLE 956B,27.6149,27.6149,-16.1633,-16.1633,SUBAQUATIC,-3453.4,-3453.4,"s 157-956B-44R-5,G4 [4750]",BASALT [4750],,,,MIOCENE [4750],,,,,VOLCANIC ROCK,,,,,VOLCANIC GLASS [4750] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100113,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s T4 [4744],"BASALT, ALKALINE [4744]",,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,204222.35150000002,27689.507999999998,,79705.20060000001,,,,98406.18000000001,80189.34000000001,35338.144,1471.4702,,10625.92,21958.9672,3316.7996000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,,41,,,123,19,,,,,31,1007,31,424,57,,,,,,,,,,,,,308,0,184,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,103116,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AII-MC [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,315518.625,4674.852,,78064.5225,,,,26972.31,4002.32,2170.944,1084.2412000000002,,36194.54,47627.219399999994,261.8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,5,,,160,32,,,,,98,60,71,1029,155,,,,,,,,,,,,,686,113,377,,,,,,,,,,,,,,,,,,,,,,,6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,103120,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIII-BTTS [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,317061.1605,4495.049999999999,,81240.0285,,,,24251.760000000002,2429.98,1688.5120000000002,851.9038,,34202.18,51929.99,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,5,,,122,32,,,,,82,52,53,825,131,,,,,,,,,,,,,1419,90,300,,,,,,,,,,,,,,,,,,,,,,,9,,17,,,,,,,,,,,,,,,,,,,,,,,,,,103121,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AII-BTO [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,321127.84500000003,4255.313999999999,,77111.8707,,,,25495.44,4145.259999999999,1688.5120000000002,1394.0244,,36609.615,50149.5332,392.77889999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,4,,,150,34,,,,,94,46,66,1037,146,,,,,,,,,,,,,635,81,364,,,,,,,,,,,,,,,,,,,,,,,5,,21,,,,,,,,,,,,,,,,,,,,,,,,,,103122,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIV-BTO [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,315051.19000000006,4914.588,,81028.3281,,,,26272.739999999998,3787.9100000000003,2593.0719999999997,1006.7954,,33870.12,51484.8758,305.4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,5,,,141,35,,,,,83,67,57,855,135,,,,,,,,,,,,,1031,87,274,,,,,,,,,,,,,,,,,,,,,,,8,,19,,,,,,,,,,,,,,,,,,,,,,,,,,103123,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AIV-BTO-TS [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,314817.4725,4255.313999999999,,78805.47390000001,,,,23396.73,3430.56,2834.2879999999996,1006.7954,,34617.255,53858.818199999994,436.42100000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,5,,,120,31,,,,,83,45,54,834,119,,,,,,,,,,,,,935,104,328,,,,,,,,,,,,,,,,,,,,,,,6,,13,,,,,,,,,,,,,,,,,,,,,,,,,,103124,
[4744],OCEAN ISLAND,CANARY ISLANDS / GRAN CANARIA / MOGAN FORMATION / ATLANTIC OCEAN,IGNIMBRITE A,27.5,28,-15.5,-15.8,SUBAERIAL,,,s AV-BTTS [4744],NOT GIVEN [4744],,,,MIOCENE [4744],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4744] ,315612.112,4794.72,,82880.7066,,,,24407.22,4574.08,1990.032,1006.7954,,30383.49,53042.7755,523.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,5,,,123,28,,,,,71,69,53,711,112,,,,,,,,,,,,,1575,80,315,,,,,,,,,,,,,,,,,,,,,,,9,,7,,,,,,,,,,,,,,,,,,,,,,,,,,103125,
