Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 82LI4A [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,14069.7935,1018.878,,1640.6781,,,,39953.219999999994,250145,75380.,3020.3862,,830.1500000000001,74.1857,27669.0914,,,,,,,,,,,,,,,,365000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,,,60,14,,192,,,,,,4.43,1700,129,251,88,,,,,,,,,,,,0.07,275,698,1500,184,705,113,30.6,79,9.64,45.3,7.36,17.1,1.96,11.5,1.03,1.85,6.76,,,,,,,,,3.05,,11.38,10.19,0.512874,,,0.703285,,19.738,,15.592,,39.229,,,,,,,,,,,,,,,105533,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 82LI4AB [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,3.5,7.48,,,,,,19.691,,15.592,,39.146,,,,,,,,,,,,,,,105534,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 82LI13A [4819],"CARBONATITE, CALCITE [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,0.13,0.11,0.51289,,,0.703263,,19.646,,15.586,,39.184,,,,,,,,,,,,,,,105536,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 82LI13B [4819],"CARBONATITE, CALCITE [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,0.08,0.14,,,,,,19.678,,15.592,,39.239,,,,,,,,,,,,,,,105537,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"PENSAMENTO, DIKE",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI19A [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,22904.315000000002,659.274,,4022.3076,,,,35600.340000000004,215124.7,101310.72,1394.0244,,1660.3000000000002,2967.428,261.8526,,,,,,,,,,,,,,,,423000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,3,,,,8,,30,,,,,,4.75,642,5.05,17.3,9.56,,,,,,,,,,,,0.08,344,14.1,22.6,2.42,8.56,1.55,0.49,1.36,0.18,0.9,0.15,0.37,0.05,0.27,0.04,0.29,0.26,,,,,,,,,1.53,,0.63,0.83,0.512844,,,0.703627,,19.324,,15.572,,39.125,,,,,,,,,,,,,,,105538,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"PENSAMENTO, DIKE",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI19BA [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703623,,,,,,,,,,,,,,,,,,,,,105540,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"ARRUELA, NORTH OF TARRAFAL, INTRUSION",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI34A [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38,,167.7,0.62,0.512871,,,0.703381,,19.523,,15.569,,39.34,,,,,,,,,,,,,,,105542,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"ARRUELA, NORTH OF TARRAFAL, INTRUSION",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI34B [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,8.22,0.07,0.512874,,,0.703384,,19.51,,15.561,,39.058,,,,,,,,,,,,,,,105543,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"ARRUELA, NORTH OF TARRAFAL, INTRUSION",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI34C [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,,133.7,0.85,0.512885,,,0.703373,,19.515,,15.562,,39.219,,,,,,,,,,,,,,,105544,
[4819],OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO / ATLANTIC OCEAN,"ARRUELA, NORTH OF TARRAFAL, INTRUSION",14.9,14.9,-24.3,-24.3,SUBAERIAL,,,s 80LI11A [4819],"CARBONATITE, MAGNESIO [4819]",,,,,,,,,PLUTONIC ROCK,,,,,WHOLE_ROCK [4819] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87,,19,2.46,,,,,,19.596,,15.582,,39.168,,,,,,,,,,,,,,,105545,
