Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / NANUE / PACIFIC OCEAN,TAMON,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 26 [2047],"BASALT, OLIVINE-NEPHELINE [2047]",,,,,,,,"VERY FINE-GRAINED, CLATHRATE GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,167668.9345,24033.533999999996,,56153.5311,,43572.62,50757.69,,93411.29000000001,96365.792,1239.1328,,10376.875,19659.210499999997,3753.2206,,16500.,12000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136322,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / PONAPE / PACIFIC OCEAN,,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 124 [2047],"BASALT, NEPHELINE-OLIVINE-TI-AUGITE [2047]",,,,,,,,VERY FINE-GRAINED [2047] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,167809.165,23374.26,,57688.359000000004,,36438.74,63427.68,,107776.76,84485.904,1471.4702,,3735.675,16395.039699999998,1789.3261,,33700.,6500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136323,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / KITIU / PACIFIC OCEAN,ONE RIVER,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 30 [2047],"BASALT, NEPHELINE-OLIVINE-TI-AUGITE [2047]",,,,,,,,"FINE- TO MEDIUM-GRAINED, CLATHRATE GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,178980.8615,18279.87,,60916.7901,,30703.659999999996,61406.700000000004,,96198.62000000001,85511.072,1239.1328,,3984.72,12092.2691,3665.9364,,25600.,21000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136324,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / KITIU / PACIFIC OCEAN,ROY OCK,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 32 [2047],PICRITE [2047],,,,,,,,VERY COARSE-GRAINED [2047] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,188656.766,19059.012,,62186.9925,,25947.739999999998,80683.74,,83048.14,84304.992,1548.9160000000002,,8218.485,14540.3972,1309.263,,14300.,2300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136325,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / PONAPE / PACIFIC OCEAN,,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 150 [2047],"BASANITE, NEPHELINE-OLIVINE-TI-AUGITE [2047]",,,,,,,,MEDIUM-GRAINED [2047] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,194452.96000000002,15822.576,,54936.253800000006,,25038.52,70501.11,,77902.3,86717.152,1548.9160000000002,,8467.53,32048.222400000002,1658.3998000000001,,8100.000000000001,6500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136326,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / NANUE / PACIFIC OCEAN,NAMMATOL,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 29 [2047],"BASANITE, NEPHELINE-OLIVINE-TI-AUGITE [2047]",,,,,,,,"COARSE-GRAINED, PILOTAXITIC GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,198052.2095,21815.976,,77323.5711,,27416.48,72522.09,,80403.75,52162.96,1316.5786,,10376.875,20994.5531,2138.4629,,12000.,6200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136327,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / PARÄM / PACIFIC OCEAN,NORTH END OF ISLAND,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 19 [2047],"BASALT, OLIVINE-TI-AUGITE [2047]",,,,,,,,"FINE-GRAINED, PILOTAXITIC GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,200716.589,20916.966,,75735.8181,,39236.340000000004,62184,,66967.39,37448.784,1548.9160000000002,,11788.13,23294.3098,3927.789,,32500.,11100.000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136328,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / ZYOKAZI / PACIFIC OCEAN,MOKIR,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 1 [2047],"BASALT, OLIVINE-TI-AUGITE [2047]",,,,,,,,"FINE-GRAINED, INTERGRANULAR GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,204783.27350000004,17980.199999999997,,74889.0165,,23569.780000000002,74853.99,,56032.479999999996,52404.17599999999,1548.9160000000002,,9380.695,22700.8242,1789.3261,,34700.,8300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136329,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / ZYOKAZI / PACIFIC OCEAN,MOKIR,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 2 [2047],"BASALT, AUGITE [2047]",,,,,,,,"VERY FINE-GRAINED, APHYRIC, PILOTAXITIC GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,205951.86100000003,17380.859999999997,,87802.7409,,34060.78,62650.380000000005,,63965.649999999994,27016.192000000003,1703.8076,,15108.730000000001,28413.1231,3447.7259000000004,,31200.,6899.999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136330,
[2047],OCEAN ISLAND,CAROLINE ISLANDS / NATTO / PACIFIC OCEAN,MOUNT NATTO,6.9,6.9,-158.25,-158.25,SUBAERIAL,,,s 8 [2047],"BASALT, OLIVINE [2047]",,,,,,,,"MEDIUM-GRAINED, INTERGRANULAR GROUNDMASS [2047] ",VOLCANIC ROCK,,,,,WHOLE_ROCK [2047] ,206232.32200000001,19118.946,,99340.4127,,28465.58,61173.51,,61535.67,33529.024,1703.8076,,7637.38,25964.995,1745.6840000000002,,19300.,7600.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136331,
