Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[620],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,CHATHAM BAY,5.6,5.6,-87,-87,SUBAERIAL,,,s 4C400 [620],TRACHYTE [620],,,,,,,,SLIGHTLY PORPHYRITIC [620] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [620] ,272982.04000000004,6592.74,,100557.69,,32871.8,14768.699999999999,,12149.9,4160.976,697.0122,,39847.2,40802.134999999995,1091.0525,,14000.,8100.000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13624,
[620],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,CHATHAM BAY,5.6,5.6,-87,-87,SUBAERIAL,,,s 4C401 [620],"BASALT, ALKALINE, OLIVINE [620]",,,,,,,,PORPHYRITIC-TRACHYTIC [620] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [620] ,225771.105,20377.559999999998,,100557.69,,45461.,21764.399999999998,,50029,22312.48,1548.9160000000002,,17682.195,25223.138,2574.8839,,13000.,18000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13625,
[620],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,CHATHAM BAY,5.6,5.6,-87,-87,SUBAERIAL,,,s 4C402 [620],"BASALT, ALKALINE, OLIVINE [620]",,,,,,,,PORPHYRITIC-TRACHYTIC [620] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [620] ,228108.28,20976.899999999998,,98440.68600000002,,37068.2,28760.100000000002,,51458.4,22915.519999999997,1316.5786,,18429.33,23739.424,2225.7471,,13000.,16000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13626,
[620],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,CHATHAM BAY,5.6,5.6,-87,-87,SUBAERIAL,,,s 4C404 [620],"BASALT, ALKALINE, OLIVINE [620]",,,,,,,,PORPHYRITIC-TRACHYTIC [620] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [620] ,227173.41000000003,19778.219999999998,,101086.941,,58050.200000000004,8550.300000000001,,44311.4,15679.039999999999,1471.4702,,19093.449999999997,31157.994,2662.1681,,15000.,18000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13627,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s 1 [625],"PHONOLITE, TRACHYTIC [625]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,264100.775,,,,,197230.8,,,20226.010000000002,5909.7919999999995,,,35281.375,49556.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15298,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s 2 [625],ANDESITE [625],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,221096.755,10788.119999999999,,105744.34980000001,,1888.38,58064.31,,65752.4,37207.568,2710.6029999999996,,11622.099999999999,20771.996,2618.526,,19000.,7000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15299,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s 3 [625],ANDESITE [625],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,218058.42750000002,9589.44,,106273.6008,,13778.18,57131.549999999996,,66467.1,32383.248,2013.5908,,13697.474999999999,20401.067499999997,3840.5048,,16000.,4500.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15300,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s V1 [625],"BASALT, PICRITIC [625]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,215954.97000000003,20976.899999999998,,86267.913,,,,83171.09999999999,64966.229999999996,43901.312,,,11456.07,25594.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15301,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s V2 [625],"BASALT, ALKALINE, OLIVINE [625]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,229370.35450000002,19178.88,,91401.6477,,,,78507.3,60034.8,26654.368,,,15855.865,28264.7517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15302,
[625],OCEAN ISLAND,COCOS ISLAND / COCOS ISLAND / PACIFIC OCEAN,,5.54,5.54,-87.09,-87.09,SUBAERIAL,,,s V3 [625],TRACHYBASALT [625],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [625] ,242598.765,10728.186,,102410.06850000001,,,,61639.89,32161.5,15558.431999999999,,,31794.745,35089.8361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15303,
