Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[103],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s 85KA37 [103],BASALT [103],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [103] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000184,,,,,,,,,,,,,,,,,,,,,,,1.235,,,,,,,,,,,10104,
[174][183][173][459],OCEAN ISLAND,COMOROS / INDIAN OCEAN,,-12,-12,44,44,SUBAERIAL,,,s AJ-21-9 [174],BASALT [174],1500000 [459],1500000 [459],,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [174] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,42.8,,,,,,,,2.08,0.256,,,,,36.5,68.4,9.11,38.1,7.06,2.13,,,,,,,,,4.25,,,0.000446,0.0000355,,,,,,4.24,,,0.864,0.51288,,,0.70319,,20.418,,15.681,,40.072,,,,1.231,,494,,,,,,,,,1359-AJ-21-9,
[1303][459],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s GC-5 [1303] / s 72-GC-5 [459],"HAWAIITE [1303] / BASALT, ALKALINE [459]",,,,,,,,"FINE-GRAINED TO CRYPTOCRYSTALLINE , SLIGHTLY TO HIGHLY VESICULAR, SPARSELY TO COARSELY PORPHYRITIC [1303] ",VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1303] ,218759.58000000002,15882.509999999998,,77429.4213,,11120.460000000001,82316.06999999999,,76044.08,41067.024,1394.0244,,10625.92,28042.1946,2051.1787,,,6800.000000000001,,,,,,,,,,,,,1200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,253,145,,,53,115,94,107,,,,,,31,557,29,224,52,,,,,,,,,,,,,374,42,74.7,9.44,35.7,8.64,2.61,7.91,1.13,6.07,,3.19,,2.75,,,,,0.000283,0.0000377,,,,,,,,5.6,,0.51266,,,0.70393,,19.259,,15.548,,39.31,,,,1.263,,294,,,,,,,,,1405-GC-5,
[850][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K10 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [850] ,218899.81050000002,15343.104,,71290.1097,,25528.1,61251.24,,73828.51,55720.896,1394.0244,,10957.980000000001,23442.6812,1963.8945,2500.,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,428,,,,169,,,,,,,,32,599,27,233,51,,,,,,,,,,,,,384,40.4,76,,38,7.14,2.27,7.1,1.01,,1.2,,0.34,2.04,0.28,5.4,3.09,,0.000234,0.0000758,,,,,,3.416,,4.8,1.103,0.512682,,,0.70388,,19.601,,15.597,,39.639,,,,,0.1566,,14.9,,,,,,,,1405-K10,
[850][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K11 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [850] ,218525.86250000002,14623.895999999999,,69966.98220000001,,20072.780000000002,68791.05,,73685.57,57288.799999999996,1471.4702,,10708.935,22626.638499999997,1963.8945,4000.,,,,300.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,,530,,,,185,,,,,,,,32,547,28,232,51,,,,,,,,,,,,,368,40.9,81.7,9.52,36.6,6.83,2.1,6.24,0.89,,0.9,2.44,0.33,2.07,0.3,5.5,2.95,,0.000272,0.0000844,,,,,,3.463,,4.742,1.098,0.512659,,,0.703912,,19.581,,15.599,,39.629,,,,,0.1563,,15.6,,,,,,,,1405-K11,
[850][7510][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K13 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]",WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ,220863.0375,15403.037999999999,,72083.9862,,19793.02,68091.48,,73971.45,56082.72,1394.0244,,11040.995,24407.0953,2007.5366000000001,1800.,,,,0,,,,,,,,,,,,,,,,1.36e-7,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,171,,,,,,,,30.3,562,26,236,51.4,,,,,,,,,,,,0.248,371,41.9,84.9,9.77,37.9,7.21,2.34,6.7,0.985,5.3,0.971,2.57,0.332,2.08,0.3,5.59,3.07,,0.00026,0.0000463,,,,,,3.544,,4.861,1.128,0.512694,,,0.703872,,19.594,,15.587,,39.601,,,,,0.1563,,25.6,,5.24,,,,,,1405-K13,
[850][7510],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K18 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from CLINOPYROXENE [7510]",WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ,223106.7255,14504.027999999998,,72295.6866,,31053.360000000004,58452.96,,77473.48,49569.888,1394.0244,,8467.53,21810.5958,1527.4734999999998,1400.0000000000002,,,,100.,,,,,,,,,,,,,,,,2.51e-8,,,,,,,,,,,,,,,,,,,,,,,30.7,,,297,,,,140,,,,,,,,21.67,438.1,27,184,37,,,,,,,,,,,,,303,30.7,63.2,7.55,29.98,6.36,2.01,6.19,0.9,,0.99,2.53,0.34,2.08,0.27,4.8,2.4,,,,,,,,,2.489,,3.389,0.699,0.512671,,,0.703914,,19.47,,15.569,,39.513,,,,,,,,,5.31,,,,,,1405-K18,
[850][7510][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K19 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]",WHOLE_ROCK [850] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ,220769.5505,13125.545999999998,,67373.6523,,20142.719999999998,72288.90000000001,,83476.95999999999,65972.57599999999,1394.0244,,8550.545,20549.4389,1483.8314,500.,,,,100.,,,,,,,,,,,,,,,,1.24e-8,,,,,,,,,,,,,,,,,,,,,,,34.2,,,434,,,,256,,,,,,,,23,428.4,25,165,40,,,,,,,,,,,,,320,31.8,61,,28.92,5.9,1.98,5.4,0.88,,1.2,,0.36,1.75,0.28,4.4,2.59,,0.000218,0.0000719,,,,,,2.414,,3.524,0.83,0.512717,,,0.703744,,19.469,,15.584,,39.472,,,,,0.1498,,17.2,,5.48,,,,,,1405-K19,
[850][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K26 [850],"BASALT, ALKALINE [850]",,,,,,,,INTERGRANULAR MATRIX [850] ,VOLCANIC ROCK,,,,,WHOLE_ROCK [850] ,218946.55400000003,16781.519999999997,,78805.47390000001,,34830.12,55965.6,,80618.15999999999,36845.744,1394.0244,,11207.025000000001,24703.8381,2007.5366000000001,1400.0000000000002,,,,200.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,98,,,,61,,,,,,,,34,575,30,218,55,,,,,,,,,,,,,461,42.1,81,,40,7.6,2.47,6.9,1.12,,1.2,,0.44,2.28,0.29,5.9,3.32,,0.000265,6.7e-6,,,,,,3.102,,5.167,1.155,0.512697,,,0.703782,,19.324,,15.549,,39.364,,,,,0.1536,,192,,,,,,,,1405-K26,
[7510][13472],OCEAN ISLAND,COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA / INDIAN OCEAN,,-11.35,-11.35,43.2,43.2,SUBAERIAL,,,s K41 [7510],"BASALT, ALKALINE [7510]",,,,,,,,INTERGRANULAR MATRIX [7510] ,VOLCANIC ROCK,,,,"HE(CCMSTP/G) from OLIVINE [7510], HE3_HE4 from OLIVINE [7510]",WHOLE_ROCK [7510] / MINERAL / COMPONENT (INCL. GROUNDMASS) [7510] ,216609.37900000004,13724.885999999999,,65309.5734,,,,91099.56000000001,77187.6,69168.688,1394.0244,,8052.455,23071.752699999997,1614.7576999999999,,,500.,,,,,,,,,,,,,-6200.,,,,,4.7e-8,,,,,,,,,,,,,,,,,,,,,,,30,,247,551,,,58,318,91,97,,,,,,24.2,449,23,192,42.1,,,,,,,,,,,,0.245,301,31,63.8,7.59,30.7,6.17,1.97,5.65,0.824,4.56,0.845,2.23,0.288,1.77,0.251,4.18,2.35,,0.000264,0.0001009,,,,,,2.5,,3.62,0.913,0.512712,,,0.703724,,19.466,,15.581,,39.492,,,,,0.1515,,14.2,,5.77,,,,,,1405-K41,
