Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,Unique Id,
[1285],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s SF-1 [1285],BASALT [1285],,,,,,,,VESICULAR [1285] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1285] ,223901.36500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,10.6,,,,,,,,,,,,,,,,,,,,,,,,0.512657,,,0.70433,,,,,,,,,,,,,,,,,,,,,20611,
[1285],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s SF-5 [1285],BASALT [1285],,,,,,,,VESICULAR [1285] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1285] ,216889.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7,12.5,,,,,,,,,,,,,,,,,,,,,,,,0.512442,,,0.704175,,,,,,,,,,,,,,,,,,,,,20612,
[1285],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s SF-8 [1285],BASALT [1285],,,,,,,,VESICULAR [1285] ,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [1285] ,210345.75000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,0.512612,,,0.704195,,,,,,,,,,,,,,,,,,,,,20613,
[712],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 99653 [712],BASANITE [712],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [712] ,212963.38600000003,,,,,,,,,,,,27145.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1447,,,,,,,,,,,,,,,,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512585,,,0.70412,,18.96,,15.569,,38.871,,,,,,,,,,,,,,,29790,
[712],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 99656 [712],BASANITE [712],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [712] ,,,,,,,,,,,,,25402.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,1359,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512552,,,0.704122,,19.312,,15.602,,39.329,,,,,,,,,,,,,,,29791,
[712],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN AMBROSIO / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 99657 [712],TEPHRITE [712],,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [712] ,,,,,,,,,,,,,19259.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,1218,,,,,,,,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512732,,,0.703983,,18.913,,15.569,,38.844,,,,,,,,,,,,,,,29792,
[2048],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 1 [2048],"BASANITE, NEPHELINE [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7043,,,,,,,,,,,,,,,,,,,,,35105,
[2048],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 2 [2048],"BASANITE, NEPHELINE [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7042,,,,,,,,,,,,,,,,,,,,,35106,
[2048],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,,-26,-26,-80,-80,SUBAERIAL,,,s 3 [2048],"BASALT, TEPHRITIC [2048]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2048] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704,,,,,,,,,,,,,,,,,,,,,35107,
[1480],OCEAN ISLAND,DESVENTURADOS ISLANDS / SAN FELIX / PACIFIC OCEAN,"DREDGE 20, VICINITY OF SAN FELIX",-26.055,-26.055,-78.655,-78.655,SUBAQUATIC,-3730,-3730,s D20-4G [1480],NOT GIVEN [1480],,,,,,,,,VOLCANIC ROCK,,,FRESH,,VOLCANIC GLASS [1480] ,240027.87250000003,17081.19,,88967.0931,,,,64904.549999999996,51386.93,17970.592,929.3496,,25070.53,40802.134999999995,5149.7678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36526,
